,Num_iterations,PE,Freq,NextFreq,TimeFreq1,TimeTotal,TimeFreq2,Delay
0,20000000,GPU,4,3,784918,1719570,934652,52.345713599615785
1,20000000,GPU,3,4,934680,1719710,785030,1770.6182662290882
2,20000000,GPU,4,2,784908,1939900,1154992,207.65857689067462
3,20000000,GPU,2,4,1155170,1940430,785260,1603.1480461408853
4,20000000,GPU,4,1,784844,2357120,1572276,143.46471255874891
5,20000000,GPU,1,4,1572460,2358090,785630,1764.713929874542
6,20000000,Little,5,2,664905,1819950,1155045,-20.34954847608127
7,20000000,Little,4,3,784794,1719470,934676,-183.3113992645636
8,20000000,Little,3,4,934608,1719620,785012,1334.8182697890459
9,20000000,Little,2,5,1155080,1820560,665480,1338.569568960944
10,20000000,Little,5,3,664960,1599690,934730,-219.39490377378777
11,20000000,Little,4,2,784828,1940030,1155202,-364.59640441669006
12,20000000,Little,3,5,934626,1600000,665374,1600.8814106010107
13,20000000,Little,2,4,1155130,1940420,785290,1534.915296354718
14,20000000,Big,7,0,2316350,4632600,2316250,2316214.7810332086
15,20000000,Big,6,1,664969,2237260,1572291,-37.36897440983932
16,20000000,Big,5,2,664958,1820050,1155092,37.99217725036676
17,20000000,Big,4,3,784862,1719610,934748,-911.6039734834071
18,20000000,Big,3,4,934589,1719670,785081,1871.730988764495
19,20000000,Big,2,5,1155100,1820660,665560,1293.918046801834
20,20000000,Big,1,6,1572360,2238220,665860,1732.7249884282219
21,20000000,Big,0,7,333665,0,333665,3491264.9827758837
22,20000000,Big,7,1,2316310,3888740,1572430,591.4967138421838
23,20000000,Big,6,0,665070,2980870,2315800,-686136.3055866678
24,20000000,Big,5,3,664916,1599580,934664,-222.0296925023093
25,20000000,Big,4,2,784895,1939960,1155065,116.54985027231807
26,20000000,Big,3,5,934594,1599970,665376,1265.4537529260322
27,20000000,Big,2,4,1155040,1940400,785360,1805.9520601394938
28,20000000,Big,1,7,1572380,3888500,2316120,316.97108987540827
29,20000000,Big,0,6,373547,0,373547,-529700.0926680369
30,20000000,Big,7,2,2316310,3472260,1155950,1655.6897041725874
31,20000000,Big,6,3,664974,1599590,934616,-103.53233425035408
32,20000000,Big,5,0,664912,2980930,2316018,-686598.1782624807
33,20000000,Big,4,1,784835,2357060,1572225,14.948987820318264
34,20000000,Big,3,6,934606,1599960,665354,1711.7374552303552
35,20000000,Big,2,7,1155060,3471370,2316310,-39.792274899883736
36,20000000,Big,1,4,1572470,2358090,785620,1675.1467187498015
37,20000000,Big,0,5,424381,0,424381,-437623.5418597866
38,20000000,GPU,3,2,934640,2089790,1155150,-254.41286950841092
39,20000000,GPU,2,3,1155140,2090030,934890,1194.7689041319616
40,20000000,GPU,1,0,1572460,3888710,2316250,2359980.487883381
41,20000000,GPU,0,1,60402,0,60402,88893.00623590592
42,20000000,Big,7,5,2317480,2983800,666320,1836.1731442493274
43,20000000,Big,6,4,665045,1449860,784815,-188.50109655523218
44,20000000,Big,5,7,665062,2980900,2315838,173.97921949252054
45,20000000,Big,4,6,784796,1450000,665204,2251.187565147055
46,20000000,Big,3,1,935615,2508200,1572585,-505.6377947075742
47,20000000,Big,2,0,1155060,3471210,2316150,-3007162.2805002946
48,20000000,Big,1,3,1572430,2507700,935270,1716.0692901926714
49,20000000,Big,0,2,736986,0,736986,-1917140.6915365756
50,20000000,GPU,4,4,784944,1569690,784746,0.0
51,20000000,GPU,3,3,934638,1869300,934662,0.0
52,20000000,GPU,2,2,1155090,2310180,1155090,0.0
53,20000000,GPU,1,1,1572510,3144930,1572420,0.0
54,20000000,GPU,0,0,87311,0,87311,0.0
55,20000000,Big,7,6,2316170,2982360,666190,1865.459879739132
56,20000000,Big,6,7,665011,2980900,2315889,153.39113848166113
57,20000000,Big,5,4,664953,1453450,788497,-20632.72001335894
58,20000000,Big,4,5,784932,1450040,665108,635.5828421140519
59,20000000,Big,3,2,934581,2089780,1155199,-334.76619843479364
60,20000000,Big,2,3,1155080,2090040,934960,2021.6930708332955
61,20000000,Big,1,0,1572380,3888340,2315960,13892399.44368349
62,20000000,Big,0,1,1003360,0,1003360,8854951.958697714
63,20000000,GPU,3,0,934720,3250670,2315950,2458277.838838923
64,20000000,GPU,2,1,1155140,2727570,1572430,-27.678096470419092
