Num_iterations,PE,Freq,NextFreq,TimeFreq1,TimeTotal
20000000,GPU,4,3,784918,1719570
20000000,GPU,3,4,934680,1719710
20000000,GPU,4,2,784908,1939900
20000000,GPU,2,4,1155170,1940430
20000000,GPU,4,1,784844,2357120
20000000,GPU,1,4,1572460,2358090
20000000,Little,5,2,664905,1819950
20000000,Little,4,3,784794,1719470
20000000,Little,3,4,934608,1719620
20000000,Little,2,5,1155080,1820560
20000000,Little,5,3,664960,1599690
20000000,Little,4,2,784828,1940030
20000000,Little,3,5,934626,1600000
20000000,Little,2,4,1155130,1940420
20000000,Big,7,0,2316350,4632600
20000000,Big,6,1,664969,2237260
20000000,Big,5,2,664958,1820050
20000000,Big,4,3,784862,1719610
20000000,Big,3,4,934589,1719670
20000000,Big,2,5,1155100,1820660
20000000,Big,1,6,1572360,2238220
20000000,Big,0,7,333665,0
20000000,Big,7,1,2316310,3888740
20000000,Big,6,0,665070,2980870
20000000,Big,5,3,664916,1599580
20000000,Big,4,2,784895,1939960
20000000,Big,3,5,934594,1599970
20000000,Big,2,4,1155040,1940400
20000000,Big,1,7,1572380,3888500
20000000,Big,0,6,373547,0
20000000,Big,7,2,2316310,3472260
20000000,Big,6,3,664974,1599590
20000000,Big,5,0,664912,2980930
20000000,Big,4,1,784835,2357060
20000000,Big,3,6,934606,1599960
20000000,Big,2,7,1155060,3471370
20000000,Big,1,4,1572470,2358090
20000000,Big,0,5,424381,0
20000000,GPU,3,2,934640,2089790
20000000,GPU,2,3,1155140,2090030
20000000,GPU,1,0,1572460,3888710
20000000,GPU,0,1,60402,0
20000000,Big,7,5,2317480,2983800
20000000,Big,6,4,665045,1449860
20000000,Big,5,7,665062,2980900
20000000,Big,4,6,784796,1450000
20000000,Big,3,1,935615,2508200
20000000,Big,2,0,1155060,3471210
20000000,Big,1,3,1572430,2507700
20000000,Big,0,2,736986,0
20000000,GPU,4,4,784944,1569690
20000000,GPU,3,3,934638,1869300
20000000,GPU,2,2,1155090,2310180
20000000,GPU,1,1,1572510,3144930
20000000,GPU,0,0,87311,0
20000000,Big,7,6,2316170,2982360
20000000,Big,6,7,665011,2980900
20000000,Big,5,4,664953,1453450
20000000,Big,4,5,784932,1450040
20000000,Big,3,2,934581,2089780
20000000,Big,2,3,1155080,2090040
20000000,Big,1,0,1572380,3888340
20000000,Big,0,1,1003360,0
20000000,GPU,3,0,934720,3250670
20000000,GPU,2,1,1155140,2727570
20000000,GPU,1,2,1572450,2727910
20000000,GPU,0,3,42814,0
20000000,Big,7,3,2316250,3251970
20000000,Big,6,2,664950,1820000
20000000,Big,5,1,664891,2237240
20000000,Big,4,0,784847,3100800
20000000,Big,3,7,934654,3250630
20000000,Big,2,6,1155100,1820630
20000000,Big,1,5,1572380,2238220
20000000,Big,0,4,500888,0
20000000,Little,5,0,664892,2980850
20000000,Little,4,1,784917,2357240
20000000,Little,1,4,1572450,2357970
20000000,Little,0,5,665027,0
20000000,GPU,3,1,934675,2507040
20000000,GPU,2,0,1155170,3471270
20000000,GPU,1,3,1572630,2507830
20000000,GPU,0,2,49413,0
20000000,Big,7,4,2316220,3102260
20000000,Big,6,5,664878,1329850
20000000,Big,5,6,664980,1329890
20000000,Big,4,7,784826,3100920
20000000,Big,3,0,934612,3250820
20000000,Big,2,1,1155090,2727550
20000000,Big,1,2,1572470,2727990
20000000,Big,0,3,596433,0
20000000,GPU,4,0,784812,3100860
20000000,GPU,0,4,41853,0
20000000,Little,5,1,664973,2237280
20000000,Little,4,0,784879,3100910
20000000,Little,1,5,1572440,2238430
20000000,Little,0,4,784813,0
20000000,Little,3,0,934769,3250880
20000000,Little,2,1,1155090,2727580
20000000,Little,1,2,1572410,2728030
20000000,Little,0,3,934704,0
20000000,Little,3,1,934578,2506930
20000000,Little,2,0,1155140,3471240
20000000,Little,1,3,1572350,2507610
20000000,Little,0,2,1155380,0
20000000,Big,7,7,2316320,4632590
20000000,Big,6,6,665030,1329890
20000000,Big,5,5,664889,1329900
20000000,Big,4,4,784769,1569550
20000000,Big,3,3,934616,1869190
20000000,Big,2,2,1155070,2310190
20000000,Big,1,1,1572530,3144770
20000000,Big,0,0,1477330,0
20000000,Little,5,4,664951,1449780
20000000,Little,4,5,784833,1450090
20000000,Little,3,2,934696,2089830
20000000,Little,2,3,1155130,2090090
20000000,Little,1,0,1572520,3888500
20000000,Little,0,1,1572420,0
20000000,Little,5,5,664998,1329910
20000000,Little,4,4,784802,1569600
20000000,Little,3,3,934659,1869300
20000000,Little,2,2,1155170,2310200
20000000,Little,1,1,1572460,3144740
20000000,Little,0,0,2316570,0
