Num_iterations,PE,Freq,NextFreq,TimeFreq1,TimeTotal
20000000,GPU,4,3,41913,83763
20000000,GPU,3,4,42812,84137
20000000,GPU,4,2,43158,91418
20000000,GPU,2,4,48642,90769
20000000,GPU,4,1,42383,102378
20000000,GPU,1,4,60680,103341
20000000,GPU,4,0,42513,129620
20000000,GPU,0,4,87772,131373
20000000,GPU,3,0,42848,129978
20000000,GPU,2,1,49814,109844
20000000,GPU,1,2,60616,108353
20000000,GPU,0,3,87584,131889
20000000,GPU,3,1,42414,101901
20000000,GPU,2,0,48893,136025
20000000,GPU,1,3,60745,104227
20000000,GPU,0,2,88369,136619
20000000,GPU,3,2,42452,89875
20000000,GPU,2,3,48776,91562
20000000,GPU,1,0,60689,147329
20000000,GPU,0,1,87726,147527
20000000,GPU,4,4,41954,83351
20000000,GPU,3,3,42751,85001
20000000,GPU,2,2,48814,96896
20000000,GPU,1,1,60886,120735
20000000,GPU,0,0,87098,173469
20000000,Big,7,0,333705,1.81098e+06
20000000,Big,6,1,373565,1.37665e+06
20000000,Big,5,2,424382,1.16126e+06
20000000,Big,4,3,500768,1.09707e+06
20000000,Big,3,4,596567,1.098e+06
20000000,Big,2,5,737023,1.16269e+06
20000000,Big,1,6,1.00316e+06,1.37891e+06
20000000,Big,0,7,1.47741e+06,1.814e+06
20000000,Big,7,1,333713,1.33678e+06
20000000,Big,6,0,373684,1.85073e+06
20000000,Big,5,3,424324,1.02059e+06
20000000,Big,4,2,501011,1.23786e+06
20000000,Big,3,5,596383,1.02162e+06
20000000,Big,2,4,737184,1.23899e+06
20000000,Big,1,7,1.00327e+06,1.33928e+06
20000000,Big,0,6,1.47798e+06,1.85431e+06
20000000,Big,7,2,333750,1.07052e+06
20000000,Big,6,3,373656,969946
20000000,Big,5,0,424286,1.90396e+06
20000000,Big,4,1,500830,1.50377e+06
20000000,Big,3,6,596563,971325
20000000,Big,2,7,737211,1.07276e+06
20000000,Big,1,4,1.00347e+06,1.50591e+06
20000000,Big,0,5,1.48612e+06,1.91307e+06
20000000,Big,7,3,333721,929925
20000000,Big,6,2,373657,1.11054e+06
20000000,Big,5,1,424354,1.42725e+06
20000000,Big,4,0,500890,1.97782e+06
20000000,Big,3,7,596392,931410
20000000,Big,2,6,748363,1.12358e+06
20000000,Big,1,5,1.0048e+06,1.43106e+06
20000000,Big,0,4,1.47761e+06,1.9808e+06
20000000,Big,7,4,333731,834487
20000000,Big,6,5,373605,797848
20000000,Big,5,6,424275,798213
20000000,Big,4,7,500929,835742
20000000,Big,3,0,596497,2.07376e+06
20000000,Big,2,1,737368,1.7404e+06
20000000,Big,1,2,1.00306e+06,1.74082e+06
20000000,Big,0,3,1.47916e+06,2.07751e+06
20000000,Big,7,5,333784,758237
20000000,Big,6,4,373563,874341
20000000,Big,5,7,424331,758672
20000000,Big,4,6,500785,875224
20000000,Big,3,1,596536,1.59947e+06
20000000,Big,2,0,738508,2.21558e+06
20000000,Big,1,3,1.00327e+06,1.60102e+06
20000000,Big,0,2,1.50626e+06,2.24497e+06
20000000,Big,7,6,333749,707333
20000000,Big,6,7,373566,707574
20000000,Big,5,4,424435,925171
20000000,Big,4,5,500785,925561
20000000,Big,3,2,596510,1.33342e+06
20000000,Big,2,3,737420,1.33432e+06
20000000,Big,1,0,1.00323e+06,2.48038e+06
20000000,Big,0,1,1.47844e+06,2.48160e+06
20000000,Big,7,7,333698,667359
20000000,Big,6,6,373649,747189
20000000,Big,5,5,424309,848575
20000000,Big,4,4,500958,1.00167e+06
20000000,Big,3,3,596381,1.19267e+06
20000000,Big,2,2,737017,1.47395e+06
20000000,Big,1,1,1.00325e+06,2.00624e+06
20000000,Big,0,0,1.47825e+06,2.9574e+06
20000000,Little,5,2,664963,1.81978e+06
20000000,Little,4,3,784922,1.71958e+06
20000000,Little,3,4,934698,1.72011e+06
20000000,Little,2,5,1.15518e+06,1.82176e+06
20000000,Little,5,3,664983,1.59938e+06
20000000,Little,4,2,784805,1.93994e+06
20000000,Little,3,5,934658,1.60073e+06
20000000,Little,2,4,1.1552e+06,1.94126e+06
20000000,Little,5,0,664918,2.98035e+06
20000000,Little,4,1,784843,2.35714e+06
20000000,Little,1,4,1.57243e+06,2.35916e+06
20000000,Little,0,5,2.3163e+06,2.9839e+06
20000000,Little,5,1,664962,2.23702e+06
20000000,Little,4,0,784782,3.1004e+06
20000000,Little,1,5,1.57243e+06,2.23948e+06
20000000,Little,0,4,2.31625e+06,3.1036e+06
20000000,Little,3,0,934753,3.25063e+06
20000000,Little,2,1,1.15515e+06,2.72754e+06
20000000,Little,1,2,1.57246e+06,2.72859e+06
20000000,Little,0,3,2.316e+06,3.25354e+06
20000000,Little,3,1,934680,2.5069e+06
20000000,Little,2,0,1.15508e+06,3.47105e+06
20000000,Little,1,3,1.57232e+06,2.50852e+06
20000000,Little,0,2,2.31632e+06,3.47325e+06
20000000,Little,5,4,665011,1.44974e+06
20000000,Little,4,5,784789,1.45030e+06
20000000,Little,3,2,934577,2.08964e+06
20000000,Little,2,3,1.15551e+06,2.09086e+06
20000000,Little,1,0,1.57246e+06,3.88832e+06
20000000,Little,0,1,2.31642e+06,3.88872e+06
20000000,Little,5,5,664972,1.3299e+06
20000000,Little,4,4,784829,1.5696e+06
20000000,Little,3,3,934661,1.86919e+06
20000000,Little,2,2,1.16079e+06,2.31599e+06
20000000,Little,1,1,1.57233e+06,3.1541e+06
20000000,Little,0,0,2.31667e+06,4.63271e+06
