Num_iterations,PE,Freq,NextFreq,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,AVG
20000000,GPU,4,3,44029,44423,44518,42515,42854,42720,44620,44328,44539,44486,43903.2
20000000,GPU,3,4,43750,43984,42947,42848,42511,43184,44536,43773,44009,43586,43512.8
20000000,GPU,4,2,49573,49329,49333,48545,48720,48607,49980,49921,50377,50436,49482.1
20000000,GPU,2,4,43545,43630,43049,42457,42373,42267,43641,43904,43727,43813,43240.6
20000000,GPU,4,1,60654,60700,60485,60646,60528,60911,60739,60720,60533,60694,60661
20000000,GPU,1,4,43502,43476,42765,42826,42199,42143,43670,44048,43723,44110,43246.2
20000000,GPU,4,0,87713,87745,87689,87998,87113,87626,87960,87138,87926,87795,87670.3
20000000,GPU,0,4,43950,43353,42829,42286,42042,42335,43369,43829,43888,43475,43135.6
20000000,GPU,3,0,87928,87900,87741,87911,87878,87795,87793,88154,88060,88130,87929
20000000,GPU,2,1,60437,60743,60435,60717,60641,61798,60594,60421,60548,60822,60715.6
20000000,GPU,1,2,49848,49579,48836,48811,48653,48682,50106,49905,49981,49990,49439.1
20000000,GPU,0,3,44053,43332,43115,43197,42855,42862,44204,44130,43912,43567,43522.7
20000000,GPU,3,1,61292,61066,60810,60829,60650,60735,61290,60937,60907,61169,60968.5
20000000,GPU,2,0,87796,87696,87259,87712,87699,87460,87324,87416,87968,87407,87573.7
20000000,GPU,1,3,44032,43663,42933,43003,42724,42641,44305,44162,44015,44619,43609.7
20000000,GPU,0,2,50084,49466,48743,48364,48670,48783,49878,50213,50001,49878,49408
20000000,GPU,3,2,49920,48797,49130,49040,49373,48675,49972,49984,50040,49935,49486.6
20000000,GPU,2,3,44170,43355,43124,42326,42898,43426,44547,44311,44050,44000,43620.7
20000000,GPU,1,0,88224,88065,87461,87786,87456,87414,88201,87939,88025,87712,87828.3
20000000,GPU,0,1,60999,61336,60674,60420,60774,60449,60707,60590,60652,61005,60760.6
20000000,GPU,4,4,43917,43396,42982,41988,41927,43225,43647,43997,43666,44054,43279.9
20000000,GPU,3,3,44143,44105,43641,50142,42885,43249,44296,44321,43856,44446,44508.4
20000000,GPU,2,2,49922,49213,49199,48498,48553,48515,51090,49911,50133,50034,49506.8
20000000,GPU,1,1,60898,60708,60583,60702,60818,60811,60690,60959,60905,60844,60791.8
20000000,GPU,0,0,87718,87864,87749,87829,87785,87271,87535,88036,88262,87454,87750.3
20000000,Big,7,0,1477160,1477110,1477130,1485430,1477430,1476970,1476850,1476880,1483740,1477840,1478660
20000000,Big,6,1,1003180,1003330,1003110,1003100,1003500,1003050,1002860,1003150,1002900,1003570,1003170
20000000,Big,5,2,739300,738100,737050,736965,737052,736874,737086,736945,736947,738874,737519
20000000,Big,4,3,598476,597857,596898,596518,596391,596545,596409,596204,596309,598563,597017
20000000,Big,3,4,507368,502558,501764,501287,500792,500877,500827,500704,500738,503192,502011
20000000,Big,2,5,427013,426424,425687,425348,425927,424325,424464,424337,424281,426953,425476
20000000,Big,1,6,381871,375825,375240,374776,374431,373928,373535,373757,373539,376391,375329
20000000,Big,0,7,336489,336017,335629,335306,334800,334315,334073,333753,333653,336632,335067
20000000,Big,7,1,1003560,1005930,1003400,1003070,1003080,1004630,1003030,1002870,1002920,1003340,1003580
20000000,Big,6,0,1477250,1477400,1477600,1477710,1477270,1477020,1477060,1477620,1477500,1477220,1477360
20000000,Big,5,3,598533,597690,596995,596259,596330,596268,596290,596209,596387,598468,596943
20000000,Big,4,2,739046,737892,737196,737104,736896,738168,737116,736859,737069,738870,737622
20000000,Big,3,5,426886,426275,425705,425202,424960,424266,424250,424332,424242,426882,425300
20000000,Big,2,4,503231,502640,502011,501251,500717,500824,500705,500882,500785,503153,501620
20000000,Big,1,7,336592,337058,336309,335134,334804,334390,334069,333660,333716,336721,335245
20000000,Big,0,6,376440,375044,375265,374798,374472,373909,373686,373539,373543,376443,374714
