Num_iterations,PE,Freq,NextFreq,T1,AVG
20000000,GPU,0,0,453849,453849
20000000,GPU,1,1,303198,303198
20000000,GPU,2,2,228004,228004
20000000,GPU,3,3,152589,152589
20000000,GPU,4,4,115164,115164
20000000,GPU,0,1,303131,303131
20000000,GPU,1,0,453973,453973
20000000,GPU,2,3,153386,153386
20000000,GPU,3,2,228032,228032
20000000,GPU,0,4,116892,116892
20000000,GPU,4,0,454342,454342
20000000,GPU,0,2,229223,229223
20000000,GPU,1,3,153721,153721
20000000,GPU,2,0,454422,454422
20000000,GPU,3,1,303348,303348
20000000,GPU,0,3,153908,153908
20000000,GPU,1,2,228592,228592
20000000,GPU,2,1,303418,303418
20000000,GPU,3,0,453707,453707
20000000,GPU,1,4,116710,116710
20000000,GPU,4,1,303314,303314
20000000,GPU,2,4,116462,116462
20000000,GPU,4,2,228289,228289
20000000,GPU,3,4,115590,115590
20000000,GPU,4,3,152664,152664
20000000,Little,0,0,2.31626e+06,2.31626e+06
20000000,Little,1,1,1.57234e+06,1.57234e+06
20000000,Little,2,2,1.15504e+06,1.15504e+06
20000000,Little,3,3,934591,934591
20000000,Little,4,4,784870,784870
20000000,Little,5,5,664944,664944
20000000,Little,0,1,1.57256e+06,1.57256e+06
20000000,Little,1,0,2.31588e+06,2.31588e+06
20000000,Little,2,3,935407,935407
20000000,Little,3,2,1.15511e+06,1.15511e+06
20000000,Little,4,5,665556,665556
20000000,Little,5,4,784799,784799
20000000,Little,0,2,1.15728e+06,1.15728e+06
20000000,Little,1,3,936307,936307
20000000,Little,2,0,2.31575e+06,2.31575e+06
20000000,Little,3,1,1.57229e+06,1.57229e+06
20000000,Little,0,3,937338,937338
20000000,Little,1,2,1.15624e+06,1.15624e+06
20000000,Little,2,1,1.57216e+06,1.57216e+06
20000000,Little,3,0,2.31582e+06,2.31582e+06
20000000,Little,0,4,787746,787746
20000000,Little,1,5,667360,667360
20000000,Little,4,0,2.31551e+06,2.31551e+06
20000000,Little,5,1,1.57203e+06,1.57203e+06
20000000,Little,0,5,668017,668017
20000000,Little,1,4,786948,786948
20000000,Little,4,1,1.57215e+06,1.57215e+06
20000000,Little,5,0,2.31541e+06,2.31541e+06
20000000,Little,2,4,786119,786119
20000000,Little,3,5,666046,666046
20000000,Little,4,2,1.15497e+06,1.15497e+06
20000000,Little,5,3,934548,934548
20000000,Little,2,5,666717,666717
20000000,Little,3,4,785449,785449
20000000,Little,4,3,934640,934640
20000000,Little,5,2,1.15486e+06,1.15486e+06
20000000,Big,0,0,1.47711e+06,1.47711e+06
20000000,Big,1,1,1.0032e+06,1.0032e+06
20000000,Big,2,2,737179,737179
20000000,Big,3,3,596528,596528
20000000,Big,4,4,500864,500864
20000000,Big,5,5,424251,424251
20000000,Big,6,6,373727,373727
20000000,Big,7,7,333778,333778
20000000,Big,0,1,1.0032e+06,1.0032e+06
20000000,Big,1,0,1.47816e+06,1.47816e+06
20000000,Big,2,3,597021,597021
20000000,Big,3,2,736979,736979
20000000,Big,4,5,424848,424848
20000000,Big,5,4,499427,499427
20000000,Big,6,7,334004,334004
20000000,Big,7,6,373535,373535
20000000,Big,0,2,738812,738812
20000000,Big,1,3,598036,598036
20000000,Big,2,0,1.47952e+06,1.47952e+06
20000000,Big,3,1,1.00318e+06,1.00318e+06
20000000,Big,4,6,374399,374399
20000000,Big,5,7,334408,334408
20000000,Big,6,4,500827,500827
20000000,Big,7,5,424302,424302
20000000,Big,0,3,598668,598668
20000000,Big,1,2,737890,737890
20000000,Big,2,1,1.00346e+06,1.00346e+06
20000000,Big,3,0,1.47688e+06,1.47688e+06
20000000,Big,4,7,334783,334783
20000000,Big,5,6,374088,374088
20000000,Big,6,5,424233,424233
20000000,Big,7,4,500689,500689
20000000,Big,0,4,503242,503242
20000000,Big,1,5,426255,426255
20000000,Big,2,6,375248,375248
20000000,Big,3,7,335208,335208
20000000,Big,4,0,1.47421e+06,1.47421e+06
20000000,Big,5,1,1.00457e+06,1.00457e+06
20000000,Big,6,2,736796,736796
20000000,Big,7,3,596360,596360
20000000,Big,0,5,426952,426952
20000000,Big,1,4,502533,502533
20000000,Big,2,7,335611,335611
20000000,Big,3,6,374870,374870
20000000,Big,4,1,1.00324e+06,1.00324e+06
20000000,Big,5,0,1.47697e+06,1.47697e+06
20000000,Big,6,3,592715,592715
20000000,Big,7,2,736834,736834
20000000,Big,0,6,376463,376463
20000000,Big,1,7,336007,336007
20000000,Big,2,4,501825,501825
20000000,Big,3,5,424868,424868
20000000,Big,4,2,737168,737168
20000000,Big,5,3,596265,596265
20000000,Big,6,0,1.47709e+06,1.47709e+06
20000000,Big,7,1,1.00296e+06,1.00296e+06
20000000,Big,0,7,336616,336616
20000000,Big,1,6,375904,375904
20000000,Big,2,5,425830,425830
20000000,Big,3,4,501304,501304
20000000,Big,4,3,596287,596287
20000000,Big,5,2,736874,736874
20000000,Big,6,1,1.00289e+06,1.00289e+06
20000000,Big,7,0,1.47711e+06,1.47711e+06
