Num_iterations,PE,Freq,NextFreq,T1,T2,T3,AVG
256,Big,7,0,115792,104125,114625,111514
256,Big,6,1,6.02088e+06,5.70267e+06,100041,3.94119e+06
256,Big,5,2,2.97675e+06,6.87429e+06,97709,3.31625e+06
256,Big,4,3,92459,100042,100041,97514
256,Big,3,4,3.28358e+06,3.27746e+06,3.30021e+06,3.28708e+06
256,Big,2,5,3.39646e+06,3.37954e+06,3.39412e+06,3.39004e+06
256,Big,1,6,3.52396e+06,3.55017e+06,3.21067e+06,3.42826e+06
256,Big,0,7,3.83688e+06,3.79983e+06,3.79779e+06,3.8115e+06
256,Big,7,1,82542,92750,93625,89639
256,Big,6,0,111417,111125,7.84438e+06,2.68897e+06
256,Big,5,3,98000,97708,98000,97902.7
256,Big,4,2,100041,109083,109083,106069
256,Big,3,5,3.33463e+06,3.33608e+06,3.35417e+06,3.34163e+06
256,Big,2,4,1.93988e+06,3.38917e+06,3.34163e+06,2.89022e+06
256,Big,1,7,3.58254e+06,3.56854e+06,3.55892e+06,3.57e+06
256,Big,0,6,3.74733e+06,3.81238e+06,3.64417e+06,3.73462e+06
256,Big,7,2,93625,92458,92750,92944.3
256,Big,6,3,91875,92167,91875,91972.3
256,Big,5,0,119875,121333,87792,109667
256,Big,4,1,120750,121041,121042,120944
256,Big,3,6,3.36321e+06,3.34921e+06,3.35504e+06,3.35582e+06
256,Big,2,7,3.48921e+06,3.48892e+06,3.5e+06,3.49271e+06
256,Big,1,4,3.47929e+06,3.46529e+06,3.4545e+06,3.46636e+06
256,Big,0,5,3.32063e+06,3.27804e+06,3.72808e+06,3.44225e+06
256,Big,7,3,93042,2.96129e+06,92459,1.04893e+06
256,Big,6,2,100042,92167,86042,92750.3
256,Big,5,1,98291,94500,2.58533e+06,926042
256,Big,4,0,121333,120750,120750,120944
256,Big,3,7,3.395e+06,3.41279e+06,3.3215e+06,3.37643e+06
256,Big,2,6,3.42475e+06,3.43554e+06,3.43758e+06,3.43263e+06
256,Big,1,5,3.50525e+06,3.51983e+06,3.49946e+06,3.50818e+06
256,Big,0,4,3.65108e+06,3.69833e+06,3.47175e+06,3.60706e+06
256,Big,7,4,92750,92458,92167,92458.3
256,Big,6,5,92166,92167,91875,92069.3
256,Big,5,6,3.20804e+06,3.20046e+06,3.23283e+06,3.21378e+06
256,Big,4,7,3.38771e+06,3.32412e+06,3.33842e+06,3.35008e+06
256,Big,3,0,133000,133000,132417,132806
256,Big,2,1,148458,148750,147583,148264
256,Big,1,2,3.49533e+06,3.43204e+06,3.42533e+06,3.4509e+06
256,Big,0,3,3.74917e+06,3.67383e+06,3.60042e+06,3.67447e+06
256,Big,7,5,126583,95083,92458,104708
256,Big,6,4,86333,91875,91875,90027.7
256,Big,5,7,3.27221e+06,3.26842e+06,3.26463e+06,3.26842e+06
256,Big,4,6,3.30108e+06,3.27104e+06,3.27804e+06,3.28339e+06
256,Big,3,1,132417,132417,132416,132417
256,Big,2,0,150208,152250,148750,150403
256,Big,1,3,3.45217e+06,3.45683e+06,3.25529e+06,3.3881e+06
256,Big,0,2,3.6575e+06,3.44292e+06,3.39062e+06,3.49701e+06
256,Big,7,6,113750,82250,92459,96153
256,Big,6,7,3.20192e+06,3.18383e+06,3.20367e+06,3.19647e+06
256,Big,5,4,98000,98000,97709,97903
256,Big,4,5,3.25792e+06,3.26433e+06,3.262e+06,3.26142e+06
256,Big,3,2,109958,109958,109958,109958
256,Big,2,3,3.33988e+06,3.33433e+06,3.32413e+06,3.33278e+06
256,Big,1,0,77000,138541,138542,118028
256,Big,0,1,204167,204167,204167,204167
256,Little,5,2,122208,121625,28583,90805.3
256,Little,4,3,121333,121333,33541,92069
256,Little,3,4,1.30579e+06,1.32446e+06,1.30462e+06,1.31162e+06
256,Little,2,5,1.40729e+06,1.44608e+06,1.40671e+06,1.42003e+06
256,Little,5,3,121625,121333,28000,90319.3
256,Little,4,2,121333,121333,33542,92069.3
256,Little,3,5,1.31775e+06,1.225e+06,1.40992e+06,1.31756e+06
256,Little,2,4,1.44054e+06,1.29062e+06,1.43471e+06,1.38862e+06
256,Little,5,0,155750,138250,43458,112486
256,Little,4,1,135333,33833,135333,101500
256,Little,1,4,1.50646e+06,1.33875e+06,1.50854e+06,1.45125e+06
256,Little,0,5,1.80133e+06,1.82554e+06,1.81125e+06,1.81271e+06
256,Little,5,1,121333,86917,121625,109958
256,Little,4,0,151375,152542,151958,151958
256,Little,1,5,1.52892e+06,1.54729e+06,1.74708e+06,1.60776e+06
256,Little,0,4,4.34758e+06,4.36479e+06,1.78179e+06,3.49806e+06
256,Little,3,0,167709,170333,168583,168875
256,Little,2,1,162167,65041,162459,129889
256,Little,1,2,1.48662e+06,1.49217e+06,1.48725e+06,1.48868e+06
256,Little,0,3,4.34204e+06,4.38492e+06,4.34883e+06,4.3586e+06
256,Little,3,1,147583,40542,57458,81861
256,Little,2,0,162458,227208,162750,184139
256,Little,1,3,1.50442e+06,1.52512e+06,1.58696e+06,1.53883e+06
256,Little,0,2,4.34679e+06,4.45725e+06,4.33892e+06,4.38099e+06
256,Little,5,4,121625,121334,28000,90319.7
256,Little,4,5,1.26467e+06,1.30433e+06,1.26321e+06,1.2774e+06
256,Little,3,2,131250,130959,40542,100917
256,Little,2,3,1.3615e+06,1.37054e+06,1.37696e+06,1.36967e+06
256,Little,1,0,153708,153709,154000,153806
256,Little,0,1,290208,290291,291084,290528
256,Big,7,7,4556.09,4554.81,4555.91,4555.6
256,Big,6,6,5098.92,5100.38,5100.96,5100.08
256,Big,5,5,5796.66,5793.05,5796.18,5795.3
256,Big,4,4,6845.05,6839.04,6833.93,6839.34
256,Big,3,3,8138.92,8142.13,8140.89,8140.65
256,Big,2,2,10061.4,10086.1,10067.7,10071.8
256,Big,1,1,13695.3,13693.8,13700.9,13696.6
256,Big,0,0,20153.2,20151.1,20155.4,20153.2
256,Little,5,5,8817.7,8816.35,8820.04,8818.03
256,Little,4,4,10396.2,10404,10402.5,10400.9
256,Little,3,3,12389,12389.4,12389.6,12389.3
256,Little,2,2,15309.7,15311.6,15313.2,15311.5
256,Little,1,1,20843.2,20858.8,20862.9,20854.9
256,Little,0,0,30692.9,30690.5,30686.5,30690
