Num_iterations,PE,Freq,NextFreq,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,AVG
256,Big,7,0,117250,104708,116083,105583,113750,114625,105292,104708,105583,116375,110396
256,Big,6,1,100916,101500,101208,99750,100333,100625,100625,101500,100917,101208,100858
256,Big,5,2,98000,97708,98000,98583,98000,98000,98000,97708,97708,98000,97970.7
256,Big,4,3,100041,100334,100042,100042,100334,100334,100333,100041,100042,100042,100158
256,Big,3,4,3.122e+06,3.28271e+06,3.2795e+06,3.30983e+06,3.29467e+06,3.2935e+06,3.34862e+06,3.30954e+06,3.311e+06,3.31158e+06,3.2863e+06
256,Big,2,5,3.34454e+06,3.42388e+06,3.35738e+06,3.40492e+06,3.39996e+06,3.40258e+06,3.38596e+06,3.39121e+06,3.39325e+06,3.39092e+06,3.38946e+06
256,Big,1,6,3.61667e+06,3.59362e+06,3.59304e+06,3.58808e+06,3.57467e+06,3.56825e+06,3.57729e+06,3.58288e+06,5.61458e+06,3.57204e+06,3.78811e+06
256,Big,0,7,3.51838e+06,3.47725e+06,3.87308e+06,3.85904e+06,3.89346e+06,3.61346e+06,3.82463e+06,3.81908e+06,2.87962e+06,3.95971e+06,3.67177e+06
256,Big,7,1,93625,93333,92167,92458,94209,92458,92458,93333,93917,92458,93041.6
256,Big,6,0,112000,111417,112291,111708,112875,111708,113167,112583,112875,113166,112379
256,Big,5,3,6.49133e+06,97708,97709,97709,98000,98000,98000,91583,98000,98000,736604
256,Big,4,2,100041,109375,109083,109375,100334,100334,109375,100042,109666,100041,104767
256,Big,3,5,3.33054e+06,3.3145e+06,3.29788e+06,3.32967e+06,3.36496e+06,3.33579e+06,3.3355e+06,3.32938e+06,3.33725e+06,3.30692e+06,3.32824e+06
256,Big,2,4,3.37633e+06,3.38275e+06,3.38275e+06,3.19083e+06,3.12463e+06,3.37283e+06,3.38217e+06,3.37079e+06,3.38217e+06,3.35621e+06,3.33215e+06
256,Big,1,7,3.62662e+06,3.44838e+06,3.13017e+06,3.61346e+06,3.654e+06,3.62342e+06,3.55017e+06,3.60588e+06,3.6575e+06,3.61171e+06,3.55213e+06
