Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Alex,B,0,-1,0,in,62.9054,3339.25664369902
Alex,B,0,-1,0,task,82.1644,3567.80356089716
Alex,B,0,-1,1,task,122.959,3447.28737733432
Alex,B,0,-1,2,task,43.9302,3408.82853444367
Alex,B,0,-1,3,task,35.6418,3293.67726342894
Alex,B,0,-1,4,task,26.4293,3210.85731340185
Alex,B,0,-1,5,task,83.3431,3670.30447163968
Alex,B,0,-1,6,task,35.9925,3627.76953218096
Alex,B,0,-1,7,task,9.51166,3416.93846035739
Alex,B,1,-1,0,in,42.3323,3243.33716283716
Alex,B,1,-1,0,task,68.0011,3488.2994221687
Alex,B,1,-1,1,task,84.9598,3541.67198988001
Alex,B,1,-1,2,task,32.3915,3513.66137566138
Alex,B,1,-1,3,task,26.3135,3329.7769034035
Alex,B,1,-1,4,task,19.3257,3259.89685752844
Alex,B,1,-1,5,task,56.6081,3947.51660839161
Alex,B,1,-1,6,task,24.9456,3818.18105807236
Alex,B,1,-1,7,task,6.50959,3488.60839160839
Alex,B,2,-1,0,in,31.1584,3353.02359198911
Alex,B,2,-1,0,task,44.7959,3658.72955669464
Alex,B,2,-1,1,task,61.6539,3678.96826731871
Alex,B,2,-1,2,task,26.0561,3653.54358974359
Alex,B,2,-1,3,task,20.3847,3399.76969602978
Alex,B,2,-1,4,task,14.4452,3281.30377588098
Alex,B,2,-1,5,task,42.6273,4225.99823449824
Alex,B,2,-1,6,task,18.6349,4009.27417903734
Alex,B,2,-1,7,task,5.2796,3558.32012432012
Alex,B,3,-1,0,in,25.2411,3426.01094557616
Alex,B,3,-1,0,task,32.8938,3828.77564102564
Alex,B,3,-1,1,task,50.8847,3821.75204931762
Alex,B,3,-1,2,task,23.9355,3746.74410533106
Alex,B,3,-1,3,task,18.1453,3473.40229885057
Alex,B,3,-1,4,task,12.8233,3303.85700992556
Alex,B,3,-1,5,task,36.3388,4460.48717948718
Alex,B,3,-1,6,task,16.0197,4214.55693815988
Alex,B,3,-1,7,task,4.3647,3594.44444444444
Alex,B,4,-1,0,in,21.1963,3589.08791208791
Alex,B,4,-1,0,task,28.5121,3967.3169048169
Alex,B,4,-1,1,task,43.9269,3993.17125987202
Alex,B,4,-1,2,task,22.2797,3932.27106227106
Alex,B,4,-1,3,task,17.1303,3593.895759413
Alex,B,4,-1,4,task,12.3653,3366.31667257474
Alex,B,4,-1,5,task,34.3181,4750.88594164456
Alex,B,4,-1,6,task,15.0223,4388.66798642534
Alex,B,4,-1,7,task,4.3783,3766.1655011655
Alex,B,5,-1,0,in,17.9643,3764.81218128277
Alex,B,5,-1,0,task,26.2262,4205.90632509383
Alex,B,5,-1,1,task,37.3118,4208.06289487285
Alex,B,5,-1,2,task,20.6706,4169.62010796221
Alex,B,5,-1,3,task,15.3332,3708.49222003068
Alex,B,5,-1,4,task,11.9387,3499.40777833124
Alex,B,5,-1,5,task,34.4646,4942.72893772894
Alex,B,5,-1,6,task,15.0047,4611.63141025641
Alex,B,5,-1,7,task,3.97746,3801.05769230769
Alex,B,6,-1,0,in,15.8814,3938.44551282051
Alex,B,6,-1,0,task,22.5628,4413.98014888337
Alex,B,6,-1,1,task,34.0227,4478.29313340721
Alex,B,6,-1,2,task,19.9458,4387.47474747475
Alex,B,6,-1,3,task,14.7647,3785.47455621302
Alex,B,6,-1,4,task,10.8466,3537.27749621069
Alex,B,6,-1,5,task,34.2096,5174.91045991046
Alex,B,6,-1,6,task,14.8742,4728.88782051282
Alex,B,6,-1,7,task,3.92411,3954.98626373626
Alex,B,7,-1,0,in,14.165,4176.27838827839
Alex,B,7,-1,0,task,21.4186,4879.92010288562
Alex,B,7,-1,1,task,30.8353,4937.12629569013
Alex,B,7,-1,2,task,18.7076,4704.87682252388
Alex,B,7,-1,3,task,14.4627,4048.47573964497
Alex,B,7,-1,4,task,10.1795,3707.26127320955
Alex,B,7,-1,5,task,34.3846,5664.82030932031
Alex,B,7,-1,6,task,14.9216,5203.79694570136
Alex,B,7,-1,7,task,3.93409,4153.55769230769
Alex,B,0,-1,7,out,1.13604,
Alex,B,1,-1,7,out,0.512283,
Alex,B,2,-1,7,out,0.444879,
Alex,B,3,-1,7,out,0.350583,
Alex,B,4,-1,7,out,0.283034,
Alex,B,5,-1,7,out,0.25235,
Alex,B,6,-1,7,out,0.236571,
Alex,B,7,-1,7,out,0.215658,
Alex,G,0,0,0,in,54.7729,3347.87210736124
Alex,G,0,0,0,task,1.48216,3915.71614934773
Alex,G,0,0,1,task,2.46913,3764.27890694378
Alex,G,0,0,2,task,1.11974,3844.86235986236
Alex,G,0,0,3,task,2.58711,3709.83570523044
Alex,G,0,0,4,task,2.68389,3648.50873015873
Alex,G,0,0,5,task,0.68425,3553.81592932111
Alex,G,0,0,6,task,0.466987,3713.10479375697
Alex,G,0,0,7,task,73.2733,3922.62930974047
Alex,G,0,1,0,in,37.1898,3274.08051926144
Alex,G,0,1,0,task,0.805671,3809.1452991453
Alex,G,0,1,1,task,1.43217,3755.66666666667
Alex,G,0,1,2,task,1.00823,3971.22710622711
Alex,G,0,1,3,task,1.97103,3725.69236061496
Alex,G,0,1,4,task,2.00509,3669.51923076923
Alex,G,0,1,5,task,0.468358,3586.41025641026
Alex,G,0,1,6,task,0.345917,3529.48717948718
Alex,G,0,1,7,task,77.1865,3933.75605498705
Alex,G,0,2,0,in,27.4683,3373.20710059172
Alex,G,0,2,0,task,0.7021,3827.60432378079
Alex,G,0,2,1,task,1.12295,3763.81868131868
Alex,G,0,2,2,task,0.741358,3898.62637362637
Alex,G,0,2,3,task,1.36378,3685.76671694319
Alex,G,0,2,4,task,1.4509,3688.28734671126
Alex,G,0,2,5,task,0.346587,3629.41025641026
Alex,G,0,2,6,task,0.302604,3584.60805860806
Alex,G,0,2,7,task,80.0926,3971.42880936561
Alex,G,0,3,0,in,22.4032,3478.976180189
Alex,G,0,3,0,task,0.634696,3885.930115636
Alex,G,0,3,1,task,0.995837,3834.16635089049
Alex,G,0,3,2,task,0.660188,4043.11355311355
Alex,G,0,3,3,task,1.05951,3716.98340874811
Alex,G,0,3,4,task,1.14196,3693.66360089186
Alex,G,0,3,5,task,0.287729,3616.46153846154
Alex,G,0,3,6,task,0.203525,3530.30769230769
Alex,G,0,3,7,task,81.3327,3961.58665718793
Alex,G,0,4,0,in,18.8064,3599.91565452092
Alex,G,0,4,0,task,0.525729,3909.82654600302
Alex,G,0,4,1,task,0.806662,3794.11803713528
Alex,G,0,4,2,task,0.533837,4014.69230769231
Alex,G,0,4,3,task,0.847379,3765.64856711916
Alex,G,0,4,4,task,0.975538,3760.57831661092
Alex,G,0,4,5,task,0.257104,3692.82051282051
Alex,G,0,4,6,task,0.179696,3552
Alex,G,0,4,7,task,82.2396,3988.59786355457
Alex,G,0,5,0,in,16.1513,3775.87732528909
Alex,G,0,5,0,task,0.609671,3975.02765208648
Alex,G,0,5,1,task,0.803454,3866.582038651
Alex,G,0,5,2,task,0.463167,4074.53846153846
Alex,G,0,5,3,task,0.75075,3775.15837104072
Alex,G,0,5,4,task,0.79628,3761.10367892977
Alex,G,0,5,5,task,0.215104,3687.71794871795
Alex,G,0,5,6,task,0.153388,3622.02564102564
Alex,G,0,5,7,task,82.9443,4042.18750501807
Alex,G,0,6,0,in,14.1813,3926.30011655012
Alex,G,0,6,0,task,0.465733,4047.03902714932
Alex,G,0,6,1,task,0.644058,3910.00986193294
Alex,G,0,6,2,task,0.412008,4119.30769230769
Alex,G,0,6,3,task,0.661938,3843.39649321267
Alex,G,0,6,4,task,0.752646,3873.07858807859
Alex,G,0,6,5,task,0.180804,3738.28205128205
Alex,G,0,6,6,task,0.155488,3768.30769230769
Alex,G,0,6,7,task,83.4078,4055.99546882681
Alex,G,0,7,0,in,12.7189,4177.83516483517
Alex,G,0,7,0,task,0.474775,4243.24095022624
Alex,G,0,7,1,task,0.636912,3967.60683760684
Alex,G,0,7,2,task,0.37695,4189.23076923077
Alex,G,0,7,3,task,0.647587,3933.63970588235
Alex,G,0,7,4,task,0.695479,3932.32434232434
Alex,G,0,7,5,task,0.183254,3895.8717948718
Alex,G,0,7,6,task,0.134313,3718.30769230769
Alex,G,0,7,7,task,83.5434,4147.84900454801
Alex,G,1,0,0,in,55.0718,3445.42233606187
Alex,G,1,0,0,task,1.18939,4077.20871040724
Alex,G,1,0,1,task,1.97788,4025.97385373247
Alex,G,1,0,2,task,1.00815,3928.16483516483
Alex,G,1,0,3,task,2.06319,3868.01910507793
Alex,G,1,0,4,task,1.99865,3335.04585993716
Alex,G,1,0,5,task,0.611246,3946.05128205128
Alex,G,1,0,6,task,0.444354,4543.17948717949
Alex,G,1,0,7,task,25.7274,4108.49549001723
Alex,G,1,1,0,in,37.3273,3313.62749862145
Alex,G,1,1,0,task,0.873221,4060.26520864756
Alex,G,1,1,1,task,1.38419,4036.89662189662
Alex,G,1,1,2,task,0.644846,3938.92307692308
Alex,G,1,1,3,task,1.5374,3930.24007038713
Alex,G,1,1,4,task,1.45002,3353.31863788386
Alex,G,1,1,5,task,0.445258,3903.02564102564
Alex,G,1,1,6,task,0.288692,4547.89743589744
Alex,G,1,1,7,task,26.1554,4104.83885679538
Alex,G,1,2,0,in,27.3708,3405.67307692308
Alex,G,1,2,0,task,0.7889,4115.23190045249
Alex,G,1,2,1,task,1.08579,4032.73707773708
Alex,G,1,2,2,task,0.542763,3911.25641025641
Alex,G,1,2,3,task,1.1781,3918.29751131222
Alex,G,1,2,4,task,1.18974,3361.12496199453
Alex,G,1,2,5,task,0.350934,4011.84615384615
Alex,G,1,2,6,task,0.309137,4606.10256410256
Alex,G,1,2,7,task,25.7149,4125.85653476958
Alex,G,1,3,0,in,22.1954,3482.5989010989
Alex,G,1,3,0,task,0.637029,4130.99264705882
Alex,G,1,3,1,task,0.910117,4078.7962962963
Alex,G,1,3,2,task,0.471742,3930.64102564103
Alex,G,1,3,3,task,1.04113,3979.3665158371
Alex,G,1,3,4,task,1.02579,3383.60675556328
Alex,G,1,3,5,task,0.3094,3951.30769230769
Alex,G,1,3,6,task,0.240188,4576.23076923077
Alex,G,1,3,7,task,25.6827,4148.34180312441
Alex,G,1,4,0,in,18.667,3614.04273504274
Alex,G,1,4,0,task,0.616379,4193.3455882353
Alex,G,1,4,1,task,0.847875,4097.13268213268
Alex,G,1,4,2,task,0.440592,4047.28205128205
Alex,G,1,4,3,task,0.908163,3966.75339366516
Alex,G,1,4,4,task,0.967779,3390.42291042291
Alex,G,1,4,5,task,0.319638,3992.82051282051
Alex,G,1,4,6,task,0.215338,4590.23076923077
Alex,G,1,4,7,task,25.9975,4188.74581939799
Alex,G,1,5,0,in,16.0185,3828.30065359477
Alex,G,1,5,0,task,0.539,4242.37273755656
Alex,G,1,5,1,task,0.762796,4122.26386149463
Alex,G,1,5,2,task,0.450946,4119.5641025641
Alex,G,1,5,3,task,0.894688,4006.28959276018
Alex,G,1,5,4,task,0.888475,3450.1332001332
Alex,G,1,5,5,task,0.291579,4065.82051282051
Alex,G,1,5,6,task,0.211984,4633.97435897436
Alex,G,1,5,7,task,26.2129,4211.40381357773
Alex,G,1,6,0,in,14.149,3948.4662004662
Alex,G,1,6,0,task,0.466113,4313.36538461539
Alex,G,1,6,1,task,0.685271,4173.02980495288
Alex,G,1,6,2,task,0.387917,4088.4358974359
Alex,G,1,6,3,task,0.889553,4091.0492081448
Alex,G,1,6,4,task,0.807158,3538.62637362637
Alex,G,1,6,5,task,0.251329,4065.61538461539
Alex,G,1,6,6,task,0.200462,4684.07692307692
Alex,G,1,6,7,task,26.4771,4219.21493361711
Alex,G,1,7,0,in,12.6879,4178.35164835165
Alex,G,1,7,0,task,0.442342,4429.71719457013
