kernels,order,freq,transfer_time,transfer_power
14400,BL,"((0,), (0,))",38.265,3555.8479548229534
14400,BL,"((0,), (1,))",33.6407,3605.9965724637673
14400,BL,"((0,), (2,))",31.6363,3656.7518727649162
14400,BL,"((0,), (3,))",30.5893,3721.894285714285
14400,BL,"((0,), (4,))",30.1927,3780.397218045112
14400,BL,"((0,), (5,))",29.7399,3883.9099999999994
14400,LB,"((0,), (0,))",31.0077,3768.61550810381
14400,LB,"((0,), (1,))",21.3193,3983.1227696078436
14400,LB,"((0,), (2,))",16.8809,4222.745326340325
14400,LB,"((0,), (3,))",15.1476,4354.2129292929285
14400,LB,"((0,), (4,))",15.2095,4519.288989898989
14400,LB,"((0,), (5,))",15.1328,4707.8708585858585
14400,LB,"((0,), (6,))",15.0451,4924.64898989899
14400,LB,"((0,), (7,))",15.1154,5236.481313131312
14400,GB,"((0, 0), (0,))",49.5666,3500.5748024948034
14400,GB,"((0, 1), (1,))",36.2039,3643.680641025642
14400,GB,"((0, 2), (2,))",29.5401,3790.3223165401437
14400,GB,"((0, 3), (3,))",26.6119,3913.2733157894736
14400,GB,"((0, 4), (4,))",26.0584,4062.05530882353
14400,GB,"((0, 5), (5,))",27.3446,4163.764452740071
14400,GB,"((0, 6), (6,))",32.9374,4039.7176858482517
14400,GB,"((0, 7), (7,))",24.3255,4782.881323529412
14400,LG,"((0,), (0, 0))",30.8798,3773.7202725390553
14400,LG,"((0,), (0, 1))",21.4153,3981.2617623716137
14400,LG,"((0,), (0, 2))",16.9674,4229.689044289046
14400,LG,"((0,), (0, 3))",15.5059,4364.518939393939
14400,LG,"((0,), (0, 4))",15.4164,4508.509090909091
14400,LG,"((0,), (0, 5))",15.3042,4713.0990909090915
14400,LG,"((0,), (0, 6))",15.332,4917.649090909091
14400,LG,"((0,), (0, 7))",15.3078,5220.328585858585
14400,BG,"((0,), (0, 0))",30.9462,3771.3632492507486
14400,BG,"((1,), (0, 1))",21.566,4001.2442717086833
14400,BG,"((2,), (0, 2))",17.0069,4228.124500499499
14400,BG,"((3,), (0, 3))",15.4912,4378.365303030303
14400,BG,"((4,), (0, 4))",15.4732,4545.834696969696
14400,BG,"((5,), (0, 5))",15.3634,4708.452139037434
14400,BG,"((6,), (0, 6))",15.333,4952.9508513708515
14400,BG,"((7,), (0, 7))",15.327,5263.87888888889
