Graph,Component,Freq,Layer,Metric,Time,Power,Freq_Host
alex,L,0,0,in,118.3118,3126.3450439151575,
alex,L,0,0,task,61.6252,3479.4159350783734,
alex,L,0,0,out,,,
alex,L,0,0,trans,0.0,,
alex,L,0,1,in,,,
alex,L,0,1,task,74.2785,3681.9258671393063,
alex,L,0,1,out,,,
alex,L,0,1,trans,,,
alex,L,0,2,in,,,
alex,L,0,2,task,27.8662,3561.3982205513794,
alex,L,0,2,out,,,
alex,L,0,2,trans,,,
alex,L,0,3,in,,,
alex,L,0,3,task,23.5448,3556.970002228163,
alex,L,0,3,out,,,
alex,L,0,3,trans,,,
alex,L,0,4,in,,,
alex,L,0,4,task,17.7678,3532.721076146076,
alex,L,0,4,out,,,
alex,L,0,4,trans,,,
alex,L,0,5,in,,,
alex,L,0,5,task,50.1312,4078.796879721587,
alex,L,0,5,out,,,
alex,L,0,5,trans,,,
alex,L,0,6,in,,,
alex,L,0,6,task,21.5433,4035.2559523809537,
alex,L,0,6,out,,,
alex,L,0,6,trans,,,
alex,L,0,7,in,,,
alex,L,0,7,task,5.8422,3755.45,
alex,L,0,7,out,0.8397,,
alex,L,0,7,trans,,,
alex,L,1,0,in,80.4026,3164.134074003602,
alex,L,1,0,task,41.9177,3643.091956204437,
alex,L,1,0,out,,,
alex,L,1,0,trans,0.0,,
alex,L,1,1,in,,,
alex,L,1,1,task,51.7837,3908.0825272766456,
alex,L,1,1,out,,,
alex,L,1,1,trans,,,
alex,L,1,2,in,,,
alex,L,1,2,task,19.571,3712.568131868131,
alex,L,1,2,out,,,
alex,L,1,2,trans,,,
alex,L,1,3,in,,,
alex,L,1,3,task,16.8044,3694.870151515152,
alex,L,1,3,out,,,
alex,L,1,3,trans,,,
alex,L,1,4,in,,,
alex,L,1,4,task,12.699,3661.394444444443,
alex,L,1,4,out,,,
alex,L,1,4,trans,,,
alex,L,1,5,in,,,
alex,L,1,5,task,37.4187,4299.455166666664,
alex,L,1,5,out,,,
alex,L,1,5,trans,,,
alex,L,1,6,in,,,
alex,L,1,6,task,15.4614,4259.696363636363,
alex,L,1,6,out,,,
alex,L,1,6,trans,,,
alex,L,1,7,in,,,
alex,L,1,7,task,4.2529,3806.341666666666,
alex,L,1,7,out,0.5933,,
alex,L,1,7,trans,,,
alex,L,2,0,in,59.16,3227.2934859876964,
alex,L,2,0,task,27.2953,4004.852693498452,
alex,L,2,0,out,,,
alex,L,2,0,trans,0.0,,
alex,L,2,1,in,,,
alex,L,2,1,task,39.3587,4246.410205128203,
alex,L,2,1,out,,,
alex,L,2,1,trans,,,
alex,L,2,2,in,,,
alex,L,2,2,task,15.1467,3950.60404040404,
alex,L,2,2,out,,,
alex,L,2,2,trans,,,
alex,L,2,3,in,,,
alex,L,2,3,task,13.1884,3887.3955555555544,
alex,L,2,3,out,,,
alex,L,2,3,trans,,,
alex,L,2,4,in,,,
alex,L,2,4,task,10.0428,3827.8023809523806,
alex,L,2,4,out,,,
alex,L,2,4,trans,,,
alex,L,2,5,in,,,
alex,L,2,5,task,36.9377,4402.087833333334,
alex,L,2,5,out,,,
alex,L,2,5,trans,,,
alex,L,2,6,in,,,
alex,L,2,6,task,15.4741,4350.8379292929285,
alex,L,2,6,out,,,
alex,L,2,6,trans,,,
alex,L,2,7,in,,,
alex,L,2,7,task,4.1983,3851.333333333333,
alex,L,2,7,out,0.4609,,
alex,L,2,7,trans,,,
alex,L,3,0,in,47.9453,3287.982778923405,
alex,L,3,0,task,22.9285,4291.984583333333,
alex,L,3,0,out,,,
alex,L,3,0,trans,0.0,,
alex,L,3,1,in,,,
alex,L,3,1,task,33.1482,4626.011443628835,
alex,L,3,1,out,,,
alex,L,3,1,trans,,,
alex,L,3,2,in,,,
alex,L,3,2,task,12.9032,4173.6601010101,
alex,L,3,2,out,,,
alex,L,3,2,trans,,,
alex,L,3,3,in,,,
alex,L,3,3,task,11.276,4097.705714285714,
alex,L,3,3,out,,,
alex,L,3,3,trans,,,
alex,L,3,4,in,,,
alex,L,3,4,task,8.6428,4009.295238095238,
alex,L,3,4,out,,,
alex,L,3,4,trans,,,
alex,L,3,5,in,,,
alex,L,3,5,task,36.6121,4521.801753623186,
alex,L,3,5,out,,,
alex,L,3,5,trans,,,
alex,L,3,6,in,,,
alex,L,3,6,task,15.3773,4474.32803030303,
alex,L,3,6,out,,,
alex,L,3,6,trans,,,
alex,L,3,7,in,,,
alex,L,3,7,task,4.1897,3944.9999999999986,
alex,L,3,7,out,0.391,,
alex,L,3,7,trans,,,
alex,L,4,0,in,40.3333,3373.502806046254,
alex,L,4,0,task,19.9116,4674.7879120879115,
alex,L,4,0,out,,,
alex,L,4,0,trans,0.0,,
alex,L,4,1,in,,,
alex,L,4,1,task,29.4577,5068.135263157895,
alex,L,4,1,out,,,
alex,L,4,1,trans,,,
alex,L,4,2,in,,,
alex,L,4,2,task,11.3023,4447.989285714285,
alex,L,4,2,out,,,
alex,L,4,2,trans,,,
alex,L,4,3,in,,,
alex,L,4,3,task,9.9989,4314.371428571426,
alex,L,4,3,out,,,
alex,L,4,3,trans,,,
alex,L,4,4,in,,,
alex,L,4,4,task,7.6343,4173.76,
alex,L,4,4,out,,,
alex,L,4,4,trans,,,
alex,L,4,5,in,,,
alex,L,4,5,task,36.1594,4673.605804347825,
alex,L,4,5,out,,,
alex,L,4,5,trans,,,
alex,L,4,6,in,,,
alex,L,4,6,task,15.4313,4589.475454545454,
alex,L,4,6,out,,,
alex,L,4,6,trans,,,
alex,L,4,7,in,,,
alex,L,4,7,task,4.1194,3965.166666666669,
alex,L,4,7,out,0.3439,,
alex,L,4,7,trans,,,
alex,L,5,0,in,34.2347,3520.55337037037,
alex,L,5,0,task,17.6423,5315.269696969697,
alex,L,5,0,out,,,
alex,L,5,0,trans,0.0,,
alex,L,5,1,in,,,
alex,L,5,1,task,26.7299,5846.318954248367,
alex,L,5,1,out,,,
alex,L,5,1,trans,,,
alex,L,5,2,in,,,
alex,L,5,2,task,10.2359,4933.523809523812,
alex,L,5,2,out,,,
alex,L,5,2,trans,,,
alex,L,5,3,in,,,
alex,L,5,3,task,9.0924,4674.5347619047625,
alex,L,5,3,out,,,
alex,L,5,3,trans,,,
alex,L,5,4,in,,,
alex,L,5,4,task,7.0225,4488.8116666666665,
alex,L,5,4,out,,,
alex,L,5,4,trans,,,
alex,L,5,5,in,,,
alex,L,5,5,task,36.4971,4954.045181159419,
alex,L,5,5,out,,,
alex,L,5,5,trans,,,
alex,L,5,6,in,,,
alex,L,5,6,task,15.5658,4841.259090909091,
alex,L,5,6,out,,,
alex,L,5,6,trans,,,
alex,L,5,7,in,,,
alex,L,5,7,task,4.09,4154.399999999999,
alex,L,5,7,out,0.3058,,
alex,L,5,7,trans,,,
alex,B,0,0,in,61.2754,3300.6996418288245,
alex,B,0,0,task,82.8549,3629.7416667118177,
alex,B,0,0,out,,,
alex,B,0,0,trans,0.0,,
alex,B,0,1,in,,,
alex,B,0,1,task,116.1498,3704.32855885369,
alex,B,0,1,out,,,
alex,B,0,1,trans,,,
alex,B,0,2,in,,,
alex,B,0,2,task,43.9002,3556.8591121167183,
alex,B,0,2,out,,,
alex,B,0,2,trans,,,
alex,B,0,3,in,,,
alex,B,0,3,task,32.0625,3605.608554376559,
alex,B,0,3,out,,,
alex,B,0,3,trans,,,
alex,B,0,4,in,,,
alex,B,0,4,task,22.5328,3612.857540045767,
