graph,order,freq,score
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (3.0, 4.0), (7.0,))",669.4003095304478
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (3.0, 4.0), (7.0,))",669.4003095304478
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (3.0, 4.0), (7.0,))",669.4003095304478
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (3.0, 4.0), (5.0,))",670.9394482413016
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 0.0), (3.0, 4.0), (7.0,))",671.2330387652127
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 0.0), (3.0, 4.0), (3.0,))",675.311764069841
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 0.0), (4.0, 5.0), (6.0,))",676.6169087605837
alex,GLLLGGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (3.0, 2.0), (3.0, 0.0), (3.0, 4.0), (6.0,))",680.1108391473468
alex,GLLLGGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (3.0, 2.0), (3.0, 0.0), (3.0, 4.0), (6.0,))",680.1108391473468
alex,GLLLGGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (3.0, 2.0), (3.0, 0.0), (3.0, 4.0), (6.0,))",680.1108391473468
alex,GLLLGGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (3.0, 2.0), (3.0, 0.0), (3.0, 4.0), (6.0,))",680.1108391473468
alex,GLLLGGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (3.0, 2.0), (3.0, 0.0), (3.0, 4.0), (6.0,))",680.1108391473468
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (4.0, 4.0), (3.0, 3.0), (7.0,))",683.1893906691893
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (4.0, 2.0), (3.0, 4.0), (6.0,))",683.3193140996636
alex,GLLLLGGB,"((2.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (3.0, 4.0), (7.0,))",684.9689387252288
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (3.0,), (4.0, 3.0), (3.0, 4.0), (5.0,))",685.790481088858
alex,GLLLGGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (2.0, 5.0), (3.0, 3.0), (3.0, 3.0), (7.0,))",686.5467106157761
alex,GLLLGGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (2.0, 5.0), (3.0, 3.0), (2.0, 5.0), (7.0,))",687.351366413286
alex,GLLLGGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (2.0, 5.0), (3.0, 3.0), (2.0, 5.0), (7.0,))",687.351366413286
alex,GLLLLGGG,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (4.0, 1.0), (3.0, 4.0))",688.0513507394032
alex,GGLLLGGB,"((3.0, 6.0), (4.0, 0.0), (5.0,), (5.0,), (5.0,), (4.0, 2.0), (3.0, 4.0), (6.0,))",692.9599213777188
alex,GLLLLLGB,"((3.0, 7.0), (4.0,), (5.0,), (3.0,), (5.0,), (3.0,), (3.0, 4.0), (3.0,))",693.3995087907034
alex,GLLLLLGB,"((3.0, 7.0), (4.0,), (5.0,), (3.0,), (5.0,), (3.0,), (3.0, 4.0), (3.0,))",693.3995087907034
alex,GLLLBGGB,"((3.0, 6.0), (4.0,), (5.0,), (4.0,), (4.0,), (3.0, 3.0), (2.0, 2.0), (6.0,))",695.5501574974969
alex,GLLLLGGB,"((2.0, 5.0), (4.0,), (5.0,), (5.0,), (5.0,), (4.0, 2.0), (3.0, 4.0), (6.0,))",698.9794803156813
alex,GLLLLLGB,"((3.0, 7.0), (4.0,), (5.0,), (3.0,), (5.0,), (3.0,), (4.0, 5.0), (3.0,))",698.9883412520591
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 0.0), (0.0, 5.0), (3.0,))",700.8393172161707
alex,GLLLLGGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 0.0), (0.0, 5.0), (3.0,))",700.8393172161707
alex,GLLLLGGG,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 0.0), (4.0, 6.0), (1.0, 0.0))",701.4278796926653
alex,GGLLLGGB,"((2.0, 4.0), (4.0, 0.0), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (3.0, 4.0), (6.0,))",701.5445784354176
alex,GLLLGGGB,"((2.0, 6.0), (4.0,), (5.0,), (5.0,), (2.0, 5.0), (3.0, 3.0), (2.0, 5.0), (7.0,))",702.919995608067
alex,GLLLLGGG,"((2.0, 5.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (4.0, 1.0), (3.0, 4.0))",703.8898356280537
alex,GLLLLGGB,"((1.0, 6.0), (4.0,), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (3.0, 4.0), (7.0,))",704.1576416476248
alex,GLLGLGGB,"((3.0, 6.0), (4.0,), (5.0,), (3.0, 1.0), (5.0,), (3.0, 3.0), (4.0, 5.0), (3.0,))",706.225269815342
alex,GLLGGGGB,"((2.0, 6.0), (4.0,), (5.0,), (3.0, 6.0), (3.0, 2.0), (3.0, 0.0), (3.0, 4.0), (6.0,))",707.4854128909169
alex,GLLLLGGG,"((3.0, 6.0), (4.0,), (5.0,), (3.0,), (5.0,), (3.0, 3.0), (3.0, 1.0), (0.0, 1.0))",707.554027685686
alex,GLLLBGGB,"((2.0, 6.0), (4.0,), (5.0,), (4.0,), (4.0,), (3.0, 3.0), (2.0, 2.0), (6.0,))",711.0766725047145
alex,GLLLGGGB,"((3.0, 6.0), (4.0,), (5.0,), (3.0,), (1.0, 2.0), (3.0, 3.0), (1.0, 7.0), (3.0,))",714.236230097136
alex,GGLLLGGG,"((2.0, 4.0), (4.0, 0.0), (5.0,), (5.0,), (5.0,), (3.0, 3.0), (3.0, 4.0), (3.0, 6.0))",714.290816391592
alex,GLGLLGGB,"((3.0, 6.0), (4.0,), (3.0, 6.0), (3.0,), (5.0,), (3.0, 3.0), (3.0, 4.0), (2.0,))",716.2251645745589
alex,GLLLLGGG,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (3.0,), (4.0, 0.0), (2.0, 3.0), (1.0, 1.0))",717.5656048169
alex,GLLLLGGG,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (3.0,), (4.0, 0.0), (2.0, 3.0), (1.0, 1.0))",717.5656048169
alex,GLGLGGGB,"((3.0, 6.0), (4.0,), (3.0, 6.0), (3.0,), (4.0, 3.0), (3.0, 3.0), (3.0, 4.0), (3.0,))",721.0159652682895
alex,GLLLBBGB,"((3.0, 6.0), (4.0,), (5.0,), (5.0,), (6.0,), (4.0,), (3.0, 4.0), (6.0,))",721.1379575623977
