graph,order,freq,score
google,GBBBBBBBBBB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",949.3030802675326
google,GBBBBBBBBBB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",949.3030802675326
google,GBBBBBBBBBB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",949.3030802675326
google,GBBBBBBBBBB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",949.3030802675326
google,GBBBBBBBBBB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (5.0,))",951.3515987496345
google,GBBBBBBBBBB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (7.0,), (6.0,), (6.0,))",956.919162304656
google,GBBGBBBBBBB,"((4.0, 6.0), (5.0,), (6.0,), (4.0, 0.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",974.4679758398065
google,GGBBBBBBBBB,"((4.0, 6.0), (2.0, 2.0), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",993.4678050225808
google,BBBBBBBBBBG,"((4.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (3.0, 3.0))",995.3613220305557
google,GBBBBBBBBGB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (0.0, 5.0), (6.0,))",996.5820358645559
google,GBBBBBGGBBG,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (4.0, 1.0))",997.156823869104
google,GBBBBBGGBBG,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (4.0, 1.0))",997.156823869104
google,GBBBBBGGBBG,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (4.0, 1.0))",997.156823869104
google,GBBBBBGGBBG,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (4.0, 1.0))",997.156823869104
google,GBBBBBGGBBG,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (4.0, 1.0))",997.156823869104
google,GBBBBGGGGGB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (4.0, 1.0), (4.0, 5.0), (3.0, 5.0), (4.0, 6.0), (4.0, 4.0), (6.0,))",999.413065177248
google,GBBBBBGBGBB,"((4.0, 6.0), (5.0,), (6.0,), (4.0,), (5.0,), (6.0,), (3.0, 0.0), (5.0,), (4.0, 3.0), (6.0,), (6.0,))",1000.717945597109
google,GBBBBBGBGBB,"((4.0, 6.0), (5.0,), (6.0,), (4.0,), (5.0,), (6.0,), (3.0, 0.0), (5.0,), (4.0, 3.0), (6.0,), (6.0,))",1000.717945597109
google,GGBBBBBBBBB,"((4.0, 4.0), (2.0, 6.0), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",1001.2253890566494
google,GBGBGBBBBBB,"((4.0, 6.0), (5.0,), (3.0, 0.0), (5.0,), (4.0, 3.0), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",1001.5067870265359
google,GBBBGBBBBBB,"((4.0, 4.0), (4.0,), (5.0,), (3.0,), (2.0, 2.0), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",1008.5732197224173
google,GBBBBGBBGGB,"((4.0, 4.0), (5.0,), (5.0,), (5.0,), (5.0,), (3.0, 7.0), (5.0,), (5.0,), (3.0, 0.0), (4.0, 5.0), (6.0,))",1009.2361994242032
google,GBGBBBGGBBG,"((4.0, 6.0), (5.0,), (3.0, 2.0), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (3.0, 5.0))",1017.4471244676868
google,GBGBBBGGBBG,"((4.0, 6.0), (5.0,), (3.0, 2.0), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (3.0, 5.0))",1017.4471244676868
google,GBGBBBGGBBG,"((4.0, 6.0), (5.0,), (3.0, 2.0), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (3.0, 5.0))",1017.4471244676868
google,GBBBBBBGBBB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (5.0,))",1017.7277063823569
google,GBBBBBBGBBB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (5.0,))",1017.7277063823569
google,GGGBBBBBBBG,"((4.0, 6.0), (4.0, 2.0), (1.0, 3.0), (5.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (2.0, 6.0))",1018.129331816467
google,GBBBBBBLBBB,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (1.0,), (6.0,), (6.0,), (6.0,))",1021.9527770859634
google,GBGBBBGGBBG,"((4.0, 6.0), (5.0,), (3.0, 2.0), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (3.0, 1.0))",1023.768351455526
google,GBGBBBGGBBG,"((4.0, 4.0), (5.0,), (3.0, 2.0), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (3.0, 5.0))",1024.848375649451
google,GGBBBBBBBBB,"((4.0, 3.0), (2.0, 0.0), (5.0,), (3.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (6.0,))",1025.4753439508881
google,GBBBBGBBGGB,"((4.0, 6.0), (5.0,), (6.0,), (4.0,), (2.0,), (2.0, 5.0), (5.0,), (5.0,), (3.0, 0.0), (4.0, 5.0), (6.0,))",1026.969655045448
google,GBBBBGBBGGG,"((4.0, 6.0), (5.0,), (6.0,), (7.0,), (5.0,), (4.0, 4.0), (5.0,), (5.0,), (4.0, 6.0), (4.0, 4.0), (1.0, 5.0))",1027.1357136778654
google,BBBBBBGGBBG,"((4.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (4.0, 1.0))",1027.8152971686832
google,GBBGBBBBBBG,"((4.0, 6.0), (5.0,), (6.0,), (2.0, 3.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (6.0,), (3.0, 3.0))",1028.250166905941
google,GBBBBBBGBGB,"((4.0, 6.0), (5.0,), (5.0,), (5.0,), (5.0,), (6.0,), (5.0,), (2.0, 3.0), (6.0,), (1.0, 1.0), (5.0,))",1028.5068656614435
google,GGGBBGBBGGB,"((4.0, 6.0), (3.0, 1.0), (2.0, 4.0), (5.0,), (5.0,), (4.0, 4.0), (5.0,), (5.0,), (4.0, 6.0), (4.0, 4.0), (6.0,))",1029.0480087549051
google,GBGBBBGGBBG,"((4.0, 3.0), (5.0,), (3.0, 2.0), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (3.0, 5.0))",1032.6975411624576
google,GBGBBBGGBBG,"((4.0, 3.0), (5.0,), (3.0, 2.0), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (3.0, 5.0))",1032.6975411624576
google,GGBBBGBGBBB,"((4.0, 6.0), (4.0, 3.0), (3.0,), (5.0,), (5.0,), (4.0, 4.0), (5.0,), (2.0, 6.0), (6.0,), (6.0,), (6.0,))",1032.887934632095
google,GBBBBBBGBBB,"((4.0, 3.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (5.0,))",1032.988173257893
google,GBBBBBBGBBG,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (4.0, 1.0))",1034.0588641074885
google,GBGBBBGGBBG,"((4.0, 4.0), (5.0,), (3.0, 0.0), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (6.0,), (3.0, 3.0))",1034.3344220287545
google,GGGBBGBBGGB,"((4.0, 4.0), (3.0, 1.0), (2.0, 4.0), (5.0,), (5.0,), (4.0, 4.0), (5.0,), (5.0,), (4.0, 6.0), (4.0, 4.0), (6.0,))",1036.4044838590903
google,GBBBBBBGBBG,"((4.0, 6.0), (5.0,), (6.0,), (4.0,), (5.0,), (6.0,), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (4.0, 1.0))",1037.568294859855
google,GBBGGGGBBBG,"((4.0, 6.0), (5.0,), (6.0,), (4.0, 0.0), (4.0, 5.0), (3.0, 1.0), (1.0, 4.0), (5.0,), (6.0,), (6.0,), (3.0, 3.0))",1040.451689822202
google,GBBBBBBGBBG,"((4.0, 4.0), (5.0,), (5.0,), (5.0,), (5.0,), (6.0,), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (4.0, 1.0))",1043.2023392720544
google,GBBBBBBGBBG,"((4.0, 4.0), (5.0,), (5.0,), (5.0,), (5.0,), (6.0,), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (4.0, 1.0))",1043.2023392720544
google,GBBGBBGBGGB,"((4.0, 4.0), (5.0,), (5.0,), (3.0, 1.0), (5.0,), (6.0,), (3.0, 0.0), (5.0,), (4.0, 3.0), (1.0, 1.0), (6.0,))",1046.4072262011941
google,GBBBBBGGBGL,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (3.0, 6.0), (1.0,))",1048.7887308214135
google,GBBBBBGGBGL,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (3.0, 6.0), (1.0,))",1048.7887308214135
google,GBBBBBGGBGL,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (3.0, 6.0), (1.0,))",1048.7887308214135
google,GBBBBBGGBGL,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (3.0, 6.0), (1.0,))",1048.7887308214135
google,GBBBBBGGBGL,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (4.0, 5.0), (3.0, 5.0), (6.0,), (3.0, 6.0), (1.0,))",1048.7887308214135
google,BBBBBBBGBBB,"((4.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (5.0,))",1049.2200920558225
google,BBBBBBBGBBB,"((4.0,), (5.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (5.0,))",1049.2200920558225
google,GBBGBGGBBBG,"((4.0, 6.0), (5.0,), (6.0,), (4.0, 0.0), (5.0,), (3.0, 1.0), (1.0, 4.0), (5.0,), (6.0,), (6.0,), (3.0, 3.0))",1050.5122257745916
google,GBBBBBGBGBB,"((4.0, 6.0), (5.0,), (6.0,), (7.0,), (5.0,), (1.0,), (1.0, 3.0), (5.0,), (4.0, 6.0), (6.0,), (6.0,))",1057.2011262328278
google,GBBBBGBGBBG,"((4.0, 6.0), (5.0,), (6.0,), (5.0,), (6.0,), (4.0, 7.0), (5.0,), (1.0, 3.0), (6.0,), (6.0,), (4.0, 1.0))",1059.0828695993778
