graph,order,freq,score
mobile,BBBBBBBBBBBBBB,"((7.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (6.0,), (6.0,), (6.0,))",511.6848147647161
mobile,BBBBBBBBBBBBBB,"((7.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (6.0,), (6.0,), (6.0,))",511.6848147647161
mobile,BBBBBBBBBBBBBB,"((7.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (6.0,), (6.0,), (6.0,))",511.6848147647161
mobile,BBBBBBBBBBBBBB,"((7.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (6.0,), (6.0,), (6.0,))",511.6848147647161
mobile,BBBBBBBBBBBBBB,"((7.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (6.0,), (6.0,), (6.0,))",511.6848147647161
mobile,BBBBBBBBBBBBBB,"((7.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (7.0,), (6.0,), (5.0,), (6.0,), (6.0,), (6.0,))",513.3703316515414
mobile,BBBBBBBBBBBBBB,"((7.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (7.0,), (6.0,), (5.0,), (6.0,), (7.0,), (6.0,))",514.2581094126996
mobile,BBBBBBBBBBBBBB,"((4.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (6.0,), (6.0,), (6.0,))",524.7058416908294
mobile,BBBBBBBBBBBBGB,"((7.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (6.0,), (4.0, 7.0), (6.0,))",534.172686001435
mobile,BBBBBBBBBBBBGB,"((7.0,), (7.0,), (6.0,), (6.0,), (6.0,), (7.0,), (6.0,), (5.0,), (5.0,), (6.0,), (5.0,), (6.0,), (4.0, 7.0), (6.0,))",534.172686001435
