graph,order,freq,score
res50,GGGGBGGGGGLBGGBBGG,"((2.0, 2.0), (3.0, 4.0), (0.0, 7.0), (4.0, 3.0), (6.0,), (3.0, 4.0), (3.0, 3.0), (3.0, 0.0), (3.0, 4.0), (2.0, 5.0), (3.0,), (3.0,), (3.0, 1.0), (3.0, 6.0), (3.0,), (7.0,), (4.0, 2.0), (3.0, 2.0))",3317.736942936931
res50,BGGGGGGGGGLGGGGGBG,"((6.0,), (2.0, 1.0), (3.0, 3.0), (2.0, 6.0), (2.0, 3.0), (3.0, 6.0), (2.0, 0.0), (3.0, 0.0), (3.0, 2.0), (3.0, 5.0), (5.0,), (3.0, 3.0), (3.0, 1.0), (3.0, 6.0), (4.0, 1.0), (2.0, 5.0), (3.0,), (2.0, 0.0))",3382.195745030763
res50,GBBGGGGGGGBGGGBGBG,"((2.0, 6.0), (3.0,), (3.0,), (1.0, 6.0), (2.0, 0.0), (2.0, 5.0), (3.0, 2.0), (3.0, 6.0), (2.0, 3.0), (4.0, 7.0), (3.0,), (1.0, 6.0), (4.0, 6.0), (3.0, 4.0), (2.0,), (2.0, 5.0), (5.0,), (0.0, 7.0))",3399.9622896840865
res50,GBBGGGGGGGBGGGBGBG,"((2.0, 6.0), (3.0,), (3.0,), (1.0, 6.0), (2.0, 0.0), (2.0, 5.0), (3.0, 2.0), (3.0, 6.0), (2.0, 3.0), (4.0, 7.0), (3.0,), (1.0, 6.0), (4.0, 6.0), (4.0, 7.0), (2.0,), (2.0, 5.0), (5.0,), (0.0, 7.0))",3405.5794607455227
res50,BGGGBGGGGGLGGGGGGG,"((6.0,), (2.0, 1.0), (3.0, 3.0), (2.0, 6.0), (3.0,), (3.0, 6.0), (2.0, 0.0), (3.0, 0.0), (3.0, 4.0), (3.0, 5.0), (5.0,), (3.0, 3.0), (3.0, 1.0), (3.0, 6.0), (4.0, 1.0), (1.0, 3.0), (3.0, 5.0), (1.0, 1.0))",3423.9864639382595
res50,GGGBGGGGGGGGGBBGBL,"((4.0, 7.0), (1.0, 6.0), (4.0, 2.0), (3.0,), (4.0, 6.0), (1.0, 4.0), (1.0, 7.0), (1.0, 0.0), (2.0, 0.0), (3.0, 0.0), (4.0, 4.0), (4.0, 5.0), (0.0, 3.0), (2.0,), (5.0,), (3.0, 3.0), (2.0,), (5.0,))",3482.8706829765442
res50,GGGGBGGGGGLGGGGGGG,"((3.0, 1.0), (2.0, 1.0), (1.0, 5.0), (3.0, 3.0), (3.0,), (3.0, 6.0), (2.0, 0.0), (3.0, 0.0), (3.0, 4.0), (3.0, 5.0), (5.0,), (3.0, 3.0), (2.0, 0.0), (3.0, 6.0), (4.0, 1.0), (2.0, 4.0), (3.0, 5.0), (1.0, 6.0))",3490.630394405802
res50,BGGGGGBGGGGBGBGBGB,"((1.0,), (2.0, 1.0), (1.0, 6.0), (4.0, 5.0), (3.0, 7.0), (4.0, 1.0), (3.0,), (4.0, 1.0), (3.0, 7.0), (3.0, 0.0), (4.0, 1.0), (1.0,), (4.0, 3.0), (2.0,), (2.0, 7.0), (5.0,), (2.0, 6.0), (7.0,))",3514.646305326472
res50,GBGGGLGGGGGGBLBGGG,"((3.0, 4.0), (2.0,), (3.0, 1.0), (1.0, 5.0), (4.0, 5.0), (1.0,), (4.0, 0.0), (4.0, 2.0), (3.0, 2.0), (2.0, 4.0), (2.0, 2.0), (3.0, 0.0), (4.0,), (3.0,), (3.0,), (1.0, 2.0), (1.0, 6.0), (0.0, 1.0))",3524.2877031383186
res50,BGGGGGGGGGGGGLLGGG,"((6.0,), (4.0, 7.0), (3.0, 0.0), (3.0, 4.0), (4.0, 0.0), (4.0, 7.0), (0.0, 1.0), (2.0, 7.0), (3.0, 3.0), (4.0, 2.0), (4.0, 1.0), (4.0, 5.0), (3.0, 7.0), (0.0,), (4.0,), (4.0, 0.0), (1.0, 6.0), (1.0, 1.0))",3531.975817135008
res50,BGGGBBGGGGGGGLBGGG,"((5.0,), (4.0, 0.0), (0.0, 2.0), (1.0, 0.0), (4.0,), (6.0,), (4.0, 2.0), (2.0, 6.0), (4.0, 1.0), (4.0, 2.0), (4.0, 1.0), (4.0, 5.0), (3.0, 7.0), (0.0,), (2.0,), (4.0, 0.0), (1.0, 6.0), (0.0, 2.0))",3550.3010293948428
res50,GGGGBGGGGGLBGGGGGG,"((2.0, 2.0), (3.0, 4.0), (0.0, 7.0), (4.0, 3.0), (6.0,), (3.0, 4.0), (3.0, 3.0), (3.0, 0.0), (3.0, 4.0), (2.0, 5.0), (3.0,), (3.0,), (3.0, 1.0), (3.0, 6.0), (4.0, 1.0), (1.0, 3.0), (3.0, 5.0), (1.0, 1.0))",3553.7080742827916
res50,GGGGGGGGGGLBGGGGGG,"((2.0, 4.0), (4.0, 0.0), (0.0, 1.0), (4.0, 3.0), (2.0, 7.0), (3.0, 4.0), (3.0, 3.0), (3.0, 0.0), (3.0, 4.0), (2.0, 5.0), (3.0,), (3.0,), (3.0, 1.0), (3.0, 6.0), (4.0, 1.0), (1.0, 3.0), (3.0, 5.0), (1.0, 1.0))",3556.595928071736
res50,GGGGGGGGGGLBGGGGGG,"((2.0, 4.0), (4.0, 0.0), (0.0, 1.0), (4.0, 3.0), (2.0, 7.0), (3.0, 4.0), (3.0, 3.0), (3.0, 0.0), (3.0, 4.0), (2.0, 5.0), (3.0,), (3.0,), (3.0, 1.0), (3.0, 6.0), (4.0, 1.0), (1.0, 3.0), (3.0, 5.0), (1.0, 1.0))",3556.595928071736
res50,GGGGGGGGGGGGLGLGBG,"((4.0, 0.0), (3.0, 2.0), (4.0, 2.0), (2.0, 2.0), (4.0, 5.0), (3.0, 1.0), (3.0, 0.0), (4.0, 0.0), (0.0, 5.0), (4.0, 4.0), (3.0, 1.0), (1.0, 4.0), (4.0,), (3.0, 5.0), (5.0,), (2.0, 5.0), (3.0,), (2.0, 0.0))",3558.279767740734
res50,BGGGGGGGGGGGGGGGGG,"((6.0,), (4.0, 7.0), (3.0, 0.0), (0.0, 3.0), (4.0, 0.0), (4.0, 7.0), (1.0, 5.0), (2.0, 7.0), (3.0, 3.0), (4.0, 2.0), (4.0, 1.0), (4.0, 5.0), (2.0, 4.0), (4.0, 5.0), (3.0, 2.0), (1.0, 7.0), (2.0, 0.0), (1.0, 4.0))",3561.9630592111753
res50,GGGGGGGGGGLGGGGGGG,"((2.0, 4.0), (4.0, 0.0), (0.0, 1.0), (4.0, 3.0), (2.0, 7.0), (3.0, 4.0), (3.0, 3.0), (3.0, 0.0), (3.0, 4.0), (2.0, 5.0), (3.0,), (3.0, 5.0), (3.0, 1.0), (3.0, 6.0), (4.0, 1.0), (1.0, 3.0), (3.0, 5.0), (4.0, 2.0))",3564.3475129675576
res50,GGGGGGGGGGLBGGGGGL,"((2.0, 4.0), (4.0, 0.0), (4.0, 7.0), (4.0, 3.0), (0.0, 2.0), (3.0, 4.0), (3.0, 3.0), (3.0, 0.0), (3.0, 4.0), (2.0, 5.0), (3.0,), (3.0,), (3.0, 1.0), (3.0, 6.0), (4.0, 1.0), (1.0, 7.0), (2.0, 6.0), (5.0,))",3577.761092028565
res50,GGGGBGGGGGGGGGGGGG,"((2.0, 2.0), (3.0, 4.0), (0.0, 7.0), (4.0, 3.0), (6.0,), (3.0, 4.0), (3.0, 3.0), (3.0, 0.0), (3.0, 4.0), (2.0, 5.0), (2.0, 1.0), (3.0, 0.0), (3.0, 5.0), (4.0, 7.0), (3.0, 4.0), (1.0, 7.0), (2.0, 6.0), (0.0, 5.0))",3579.639581501264
res50,GGBGGGGGGGGGGGGGGG,"((2.0, 7.0), (2.0, 4.0), (7.0,), (1.0, 7.0), (3.0, 7.0), (3.0, 6.0), (3.0, 2.0), (2.0, 3.0), (4.0, 2.0), (4.0, 2.0), (2.0, 1.0), (2.0, 2.0), (2.0, 5.0), (4.0, 2.0), (3.0, 1.0), (4.0, 4.0), (2.0, 6.0), (3.0, 1.0))",3581.474866278882
res50,GGGBGGGGGGGGGBBGGG,"((4.0, 4.0), (0.0, 3.0), (4.0, 0.0), (4.0,), (4.0, 0.0), (4.0, 7.0), (0.0, 1.0), (2.0, 7.0), (3.0, 3.0), (4.0, 2.0), (1.0, 6.0), (2.0, 7.0), (2.0, 6.0), (2.0,), (5.0,), (4.0, 4.0), (4.0, 5.0), (2.0, 7.0))",3586.459329493046
res50,GGGGGGBGLGGGGGGGGG,"((3.0, 2.0), (1.0, 5.0), (3.0, 5.0), (3.0, 6.0), (2.0, 5.0), (3.0, 2.0), (7.0,), (1.0, 3.0), (4.0,), (4.0, 2.0), (2.0, 1.0), (2.0, 2.0), (2.0, 5.0), (4.0, 2.0), (3.0, 1.0), (4.0, 0.0), (2.0, 6.0), (4.0, 2.0))",3588.5059868800895
res50,GGGGGGGGGGLBGGGGGG,"((2.0, 4.0), (4.0, 0.0), (0.0, 1.0), (4.0, 3.0), (2.0, 7.0), (3.0, 4.0), (3.0, 3.0), (3.0, 0.0), (3.0, 2.0), (2.0, 5.0), (3.0,), (3.0,), (2.0, 6.0), (3.0, 6.0), (4.0, 1.0), (1.0, 3.0), (3.0, 5.0), (1.0, 1.0))",3595.1151088912075
res50,GGGGGGBGLGGGGBGGGB,"((3.0, 2.0), (4.0, 2.0), (3.0, 5.0), (3.0, 6.0), (2.0, 5.0), (3.0, 2.0), (7.0,), (1.0, 3.0), (4.0,), (3.0, 7.0), (0.0, 6.0), (2.0, 6.0), (3.0, 6.0), (3.0,), (3.0, 7.0), (2.0, 6.0), (4.0, 2.0), (2.0,))",3606.348839143979
