Layer,Freq,Energy_B,Energy_G,Energy_L,Energy-Efficiency_B,Energy-Efficiency_G,Energy-Efficiency_L,Time_B,Time_G,Time_L
0,0,505.61316580553046,337.7122556559932,673.9597668660238,1.9777965995146203,2.961100710003959,1.4837680959059232,150.4649,97.4339,206.0476
0,1,338.8823227830983,298.5568479476702,502.6768435009169,2.9508768465330966,3.3494458655836152,1.989349644665253,94.9565,84.3805,149.7638
0,2,269.2972849351398,280.2448335919268,421.79613965546116,3.7133682957139715,3.5683084222567008,2.3708135423354926,70.3725,77.4996,122.79169999999999
0,3,236.41801410145646,271.68586264951193,379.731474790055,4.229796125310738,3.68072151509057,2.633439855236855,58.1719,71.72309999999999,107.8933
0,4,223.65175903570866,282.519412493368,351.62144280492953,4.471236910058633,3.539579780286689,2.84396762615747,50.502700000000004,68.5321,97.3063
0,5,207.50520881499892,,334.4674123174817,4.8191561344927445,,2.9898278970472147,42.3741,,88.7524
0,6,204.49926406064668,,,4.889993147865012,,,37.7237,,
0,7,217.110056810873,,,4.605958907150539,,,34.5443,,
1,0,428.4660821084899,296.8872100336833,428.5680814835052,2.3339070273170295,3.3682825201077042,2.3333515565099034,120.4167,80.0398,121.7081
1,1,310.2054185613777,220.56051961017,363.01290898858707,3.223670317035866,4.53390299300823,2.754722973312884,81.2171,54.8318,100.9648
1,2,254.02370776603922,182.0542377655555,326.11856161261767,3.936640437202891,5.492868566387193,3.0663694671505923,61.1049,41.8263,88.7329
1,3,224.48105015633905,155.38568908372056,304.6900175351208,4.454719003245724,6.435599094722346,3.28202416373793,50.1399,30.0133,80.6022
1,4,210.94143563826876,160.0996378841666,291.4789946373061,4.7406522904055794,6.246110317398145,3.4307789528515515,43.0075,24.4733,75.038
1,5,205.045860087146,,285.44355010004585,4.876957767277002,,3.50331965689716,37.1926,,69.7421
1,6,206.97626964159136,,,4.831471751479729,,,33.2665,,
1,7,224.49699720204106,,,4.45440256423576,,,30.5336,,
2,0,146.20890555541726,128.51202255083328,123.49235133956522,6.8395286607283445,7.7813731365440715,8.097667500477934,42.5322,34.9285,33.5058
2,1,117.58390052768281,96.00883084157353,98.52074446117042,8.504565637917155,10.415708547166084,10.150146605866604,32.8787,24.4446,25.7212
2,2,104.37572669745192,81.47332406121797,97.57900173485291,9.580771618468765,12.27395606503809,10.24810648009349,27.9817,19.3517,25.0108
2,3,96.26663203525285,70.51936351388888,97.58035808744316,10.38781537130955,14.180502349585852,10.247964032924388,24.8669,14.7625,24.6409
2,4,93.90097975791667,70.66140796464286,98.78608932053916,10.64951614539135,14.151996525463717,10.122882754830183,22.9667,12.4097,24.7318
2,5,93.44769014151558,,100.81970419713237,10.701174084513134,,9.918696032322252,21.403,,24.6338
2,6,97.99740218200024,,,10.204352133159666,,,20.8509,,
2,7,104.42835892559523,,,9.575942878816049,,,20.287,,
3,0,112.34330012472081,105.42175755580955,105.25904887882709,8.901287383313685,9.485707914427502,9.50037085316235,32.3162,29.9002,28.9182
3,1,87.79859451574069,78.26653995208795,88.18896704878676,11.389703964118905,12.77685203168768,11.339286913824411,24.1556,21.101,23.5435
3,2,75.92596696535766,65.921688324,89.53048332231195,13.170724588285648,15.16951439540015,11.169380113809677,19.9553,16.9164,23.4177
3,3,69.48091171292971,55.76155013763888,88.75602854208336,14.392442116068404,17.93350431492045,11.26684030849638,17.5445,12.9481,22.9089
3,4,66.26445064090909,53.556820868571435,89.82346509839287,15.091047919782179,18.67175802787104,11.132948377181812,15.7965,10.7136,22.989
3,5,66.4797032573956,,91.74674189537103,15.04218507306219,,10.899569612405536,14.8341,,22.9878
3,6,68.44991246684852,,,14.609222480515477,,,14.3124,,
3,7,71.64057387313854,,,13.958570485083001,,,13.3795,,
4,0,77.64934985893387,79.29383120188234,80.82944401476786,12.878407891588367,12.611321522023534,12.371729289852546,22.2887,22.8608,22.4383
