graph,order,freq,score
alex,GGGGGGGG,"((3, 2), (4, 2), (4, 4), (4, 2), (3, 1), (3, 2), (4, 3), (0, 7))",696.670331294298
alex,GGGGGGGG,"((3, 2), (4, 2), (4, 4), (4, 2), (3, 1), (3, 2), (4, 3), (0, 7))",696.670331294298
alex,GGGGGGGG,"((3, 2), (4, 2), (4, 4), (4, 2), (3, 1), (3, 2), (4, 3), (0, 7))",696.670331294298
alex,GGGGGGGG,"((3, 2), (3, 3), (4, 3), (4, 2), (3, 1), (3, 2), (4, 3), (0, 7))",696.8490946976314
alex,GGGGGGGG,"((3, 2), (4, 2), (4, 4), (4, 2), (3, 1), (2, 4), (4, 3), (0, 7))",698.0989596685756
alex,GGGGGGGG,"((3, 6), (4, 2), (4, 4), (4, 2), (3, 1), (3, 2), (4, 3), (0, 7))",704.7712589311337
alex,GGGGGGGG,"((3, 6), (4, 2), (4, 4), (4, 2), (3, 1), (3, 2), (4, 3), (0, 7))",704.7712589311337
alex,GGGGGGGG,"((3, 6), (4, 2), (4, 4), (4, 2), (3, 1), (3, 2), (4, 3), (0, 7))",704.7712589311337
alex,GGGGGGGG,"((3, 2), (3, 0), (4, 3), (4, 2), (3, 7), (3, 2), (4, 3), (0, 7))",705.3566369752363
alex,GGGGGGGG,"((3, 2), (3, 0), (4, 5), (4, 2), (3, 7), (3, 2), (4, 3), (0, 7))",705.7259431624268
alex,GGGGGGGG,"((3, 2), (4, 2), (4, 4), (4, 2), (3, 1), (1, 3), (4, 3), (1, 7))",706.629885952624
alex,GGGGGGGG,"((3, 2), (3, 3), (3, 6), (3, 5), (2, 3), (3, 1), (4, 3), (0, 7))",708.8292466363968
alex,GGGGGGGG,"((3, 2), (2, 4), (4, 5), (3, 5), (3, 2), (3, 2), (4, 3), (0, 7))",712.3787541741008
alex,GGGGGGGG,"((3, 2), (3, 0), (4, 5), (3, 7), (3, 6), (3, 6), (3, 4), (2, 6))",712.8061855866066
alex,GGGGGGGG,"((3, 2), (4, 2), (3, 1), (2, 6), (3, 1), (3, 0), (4, 2), (0, 7))",713.494873822663
alex,GGGGGGGG,"((3, 2), (2, 6), (4, 4), (3, 5), (3, 1), (3, 0), (4, 2), (0, 7))",714.9343595030793
alex,GGGGGGGG,"((3, 2), (2, 6), (4, 4), (3, 5), (3, 1), (3, 0), (4, 2), (0, 7))",714.9343595030793
alex,GGGGGGGG,"((3, 2), (2, 4), (4, 5), (3, 5), (3, 1), (2, 1), (4, 3), (2, 6))",715.3723456985884
alex,GGGGGGGG,"((3, 2), (2, 6), (4, 4), (3, 5), (3, 1), (3, 0), (4, 2), (1, 6))",715.975855154492
alex,GGGGGGGG,"((3, 2), (2, 4), (4, 5), (3, 7), (3, 2), (2, 1), (4, 3), (2, 6))",717.1733047356238
alex,GGGGGGGG,"((3, 2), (3, 3), (2, 1), (4, 2), (3, 7), (3, 2), (4, 3), (0, 7))",717.3554355623713
alex,GGGGGGGG,"((3, 2), (4, 2), (3, 1), (3, 7), (4, 1), (3, 2), (4, 3), (0, 7))",717.5177381294814
alex,GGGGGGGG,"((3, 2), (3, 5), (2, 5), (3, 5), (3, 6), (3, 1), (4, 3), (0, 7))",718.6991217918943
alex,GGGGGGGG,"((3, 1), (3, 3), (4, 5), (2, 3), (3, 7), (2, 1), (4, 3), (2, 7))",718.7050868119135
alex,GGGGGGGG,"((3, 2), (3, 0), (2, 1), (4, 2), (3, 7), (3, 2), (4, 3), (0, 7))",719.0663826404267
alex,GGGGGGGG,"((3, 2), (3, 5), (2, 6), (3, 5), (2, 3), (3, 2), (4, 3), (0, 7))",719.4769365438553
