graph,order,freq,score
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (3,), (6,))",875.7842769808985
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (3,), (6,))",875.7842769808985
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (3,), (6,))",875.7842769808985
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (4,), (3,), (3,), (6,))",878.7655499584497
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (4,), (3,), (3,), (6,))",878.7655499584497
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (4,), (3,), (3,), (6,))",878.7655499584497
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (5,), (5,))",878.9728715578402
alex,BBBBBBBB,"((5,), (5,), (5,), (5,), (4,), (3,), (3,), (6,))",878.9766539424154
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (4,), (3,), (3,), (4,))",879.7367227360099
alex,BBBBBBBB,"((6,), (5,), (4,), (4,), (3,), (3,), (5,), (6,))",880.7085660137064
alex,BBBBBBBB,"((6,), (6,), (4,), (4,), (4,), (3,), (5,), (6,))",880.9559555493976
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (4,), (3,), (4,), (6,))",882.2288200546566
alex,BBBBBBBB,"((6,), (6,), (6,), (5,), (4,), (3,), (3,), (6,))",882.4829554952116
alex,BBBBBBBB,"((6,), (5,), (5,), (5,), (6,), (4,), (3,), (2,))",883.3311705242668
alex,BBBBBBBB,"((5,), (6,), (4,), (4,), (4,), (3,), (5,), (5,))",883.6298825969565
alex,BBBBBBBB,"((5,), (6,), (4,), (4,), (4,), (3,), (5,), (6,))",883.7768793361541
alex,BBBBBBBB,"((5,), (6,), (4,), (4,), (4,), (3,), (5,), (6,))",883.7768793361541
alex,BBBBBBBB,"((5,), (5,), (5,), (5,), (3,), (4,), (5,), (5,))",884.9255441259128
alex,BBBBBBBB,"((5,), (6,), (4,), (5,), (4,), (3,), (5,), (4,))",885.1496663168306
alex,BBBBBBBB,"((5,), (6,), (4,), (5,), (4,), (3,), (5,), (4,))",885.1496663168306
alex,BBBBBBBB,"((5,), (6,), (5,), (3,), (4,), (4,), (3,), (6,))",885.8085631877333
alex,BBBBBBBB,"((6,), (6,), (6,), (5,), (4,), (4,), (4,), (4,))",886.1679916469368
alex,BBBBBBBB,"((5,), (5,), (5,), (5,), (3,), (4,), (5,), (4,))",886.2752148692358
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (3,), (1,))",888.1446358349043
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (6,), (4,), (4,), (1,))",888.9508196009801
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (2,), (4,), (4,), (6,))",889.1194527295163
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (3,), (4,), (2,), (5,))",890.9740184749586
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (2,), (4,), (5,), (5,))",891.2531473451295
alex,BBBBBBBB,"((6,), (5,), (4,), (5,), (4,), (4,), (7,), (7,))",892.1804431631508
alex,BBBBBBBB,"((5,), (6,), (5,), (4,), (3,), (4,), (2,), (5,))",892.7590704267218
alex,BBBBBBBB,"((5,), (6,), (5,), (4,), (3,), (4,), (2,), (5,))",892.7590704267218
alex,BBBBBBBB,"((5,), (5,), (5,), (6,), (3,), (4,), (2,), (6,))",893.0037761299833
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (6,), (4,), (5,), (1,))",893.9341475108986
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (6,), (4,), (5,), (1,))",893.9341475108986
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (4,), (3,), (5,), (1,))",894.0482813444208
alex,BBBBBBBB,"((6,), (5,), (5,), (5,), (6,), (4,), (5,), (1,))",894.0520646358018
alex,BBBBBBBB,"((6,), (6,), (4,), (5,), (4,), (3,), (5,), (1,))",894.4675628517087
alex,BBBBBBBB,"((6,), (6,), (4,), (5,), (4,), (3,), (5,), (1,))",894.4675628517087
alex,BBBBBBBB,"((6,), (6,), (4,), (5,), (4,), (3,), (5,), (1,))",894.4675628517087
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (1,), (3,), (3,), (4,))",895.2036049853307
alex,BBBBBBBB,"((5,), (6,), (5,), (5,), (4,), (3,), (5,), (1,))",896.0444372801496
alex,BBBBBBBB,"((6,), (7,), (4,), (6,), (4,), (3,), (3,), (5,))",896.2130330567935
alex,BBBBBBBB,"((6,), (6,), (4,), (5,), (4,), (4,), (5,), (1,))",896.3657045703997
alex,BBBBBBBB,"((5,), (7,), (5,), (4,), (4,), (3,), (3,), (6,))",896.5717754741698
alex,BBBBBBBB,"((5,), (7,), (5,), (4,), (4,), (3,), (3,), (6,))",896.5717754741698
alex,BBBBBBBB,"((4,), (6,), (5,), (4,), (4,), (3,), (3,), (6,))",897.08159932498
alex,BBBBBBBB,"((6,), (7,), (4,), (6,), (4,), (3,), (3,), (4,))",897.161285147056
alex,BBBBBBBB,"((6,), (7,), (4,), (6,), (4,), (3,), (3,), (4,))",897.161285147056
alex,BBBBBBBB,"((5,), (6,), (5,), (3,), (6,), (4,), (3,), (1,))",897.4506744297471
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (3,), (4,), (5,), (1,))",897.4952875465796
alex,BBBBBBBB,"((5,), (6,), (5,), (7,), (6,), (4,), (3,), (1,))",898.3330931873517
alex,BBBBBBBB,"((5,), (6,), (5,), (7,), (6,), (4,), (3,), (1,))",898.3330931873517
alex,BBBBBBBB,"((6,), (7,), (4,), (6,), (4,), (4,), (3,), (4,))",898.882241788361
alex,BBBBBBBB,"((5,), (7,), (4,), (4,), (3,), (3,), (4,), (6,))",899.5616284381338
alex,BBBBBBBB,"((5,), (6,), (4,), (4,), (3,), (4,), (5,), (1,))",899.7310283404765
alex,BBBBBBBB,"((6,), (7,), (4,), (6,), (3,), (3,), (5,), (6,))",900.3193112134047
alex,BBBBBBBB,"((6,), (6,), (4,), (4,), (2,), (5,), (5,), (5,))",900.7036704159051
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (2,), (5,), (5,), (5,))",900.7288506764328
alex,BBBBBBBB,"((5,), (6,), (5,), (3,), (4,), (4,), (5,), (1,))",901.2684796510904
alex,BBBBBBBB,"((5,), (6,), (5,), (3,), (4,), (4,), (5,), (1,))",901.2684796510904
alex,BBBBBBBB,"((5,), (6,), (5,), (3,), (4,), (4,), (5,), (1,))",901.2684796510904
alex,BBBBBBBB,"((5,), (7,), (4,), (4,), (3,), (3,), (5,), (6,))",901.8325576851815
alex,BBBBBBBB,"((5,), (5,), (2,), (4,), (2,), (3,), (5,), (5,))",902.1260297024528
alex,BBBBBBBB,"((5,), (5,), (4,), (4,), (2,), (4,), (7,), (7,))",902.9473403647505
alex,BBBBBBBB,"((5,), (6,), (4,), (4,), (2,), (5,), (5,), (5,))",902.9645914703298
alex,BBBBBBBB,"((5,), (7,), (6,), (6,), (4,), (3,), (3,), (4,))",904.3621409425751
alex,BBBBBBBB,"((5,), (5,), (7,), (5,), (6,), (4,), (5,), (1,))",905.5526472616112
alex,BBBBBBBB,"((5,), (5,), (7,), (5,), (6,), (4,), (5,), (1,))",905.5526472616112
alex,BBBBBBBB,"((5,), (5,), (7,), (5,), (6,), (4,), (5,), (1,))",905.5526472616112
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (6,), (3,), (1,))",907.5899169108006
alex,BBBBBBBB,"((5,), (7,), (5,), (4,), (4,), (3,), (3,), (1,))",908.0977828045793
alex,BBBBBBBB,"((5,), (3,), (7,), (4,), (6,), (3,), (3,), (6,))",908.109392392865
alex,BBBBBBBB,"((3,), (5,), (5,), (4,), (4,), (3,), (3,), (6,))",908.8806880322306
alex,BBBBBBBB,"((3,), (5,), (5,), (4,), (6,), (3,), (3,), (6,))",909.0116035613154
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (4,), (3,), (1,), (4,))",909.143577022743
alex,BBBBBBBB,"((6,), (7,), (5,), (6,), (4,), (4,), (5,), (1,))",913.0488934846722
alex,BBBBBBBB,"((6,), (6,), (6,), (5,), (4,), (3,), (1,), (4,))",913.2054428281439
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (0,), (4,), (4,), (6,))",915.6311312066185
alex,BBBBBBBB,"((3,), (5,), (5,), (3,), (4,), (4,), (5,), (3,))",917.4256435067705
alex,BBBBBBBB,"((4,), (6,), (7,), (4,), (2,), (3,), (5,), (5,))",918.040130768296
alex,BBBBBBBB,"((4,), (6,), (7,), (4,), (2,), (3,), (5,), (5,))",918.040130768296
alex,BBBBBBBB,"((4,), (6,), (7,), (4,), (2,), (3,), (5,), (4,))",918.3184469315931
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (4,), (6,))",918.6124041841696
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (4,), (6,))",918.6124041841696
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (4,), (6,))",918.6124041841696
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (4,), (6,))",918.6124041841696
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (4,), (6,))",918.6124041841696
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (4,), (4,))",919.5599411195682
alex,BBBBBBBB,"((4,), (7,), (4,), (6,), (3,), (3,), (5,), (6,))",920.4205618095777
alex,BBBBBBBB,"((3,), (5,), (5,), (4,), (3,), (4,), (2,), (5,))",920.5541958246235
alex,BBBBBBBB,"((3,), (5,), (5,), (4,), (3,), (4,), (2,), (5,))",920.5541958246235
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (5,), (5,))",920.7460987997828
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (5,), (5,))",920.7460987997828
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (5,), (5,))",920.7460987997828
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (5,), (6,))",920.8930955389804
alex,BBBBBBBB,"((6,), (7,), (4,), (2,), (4,), (3,), (5,), (1,))",921.4182440077898
alex,BBBBBBBB,"((6,), (7,), (1,), (5,), (3,), (3,), (5,), (5,))",925.2793086263338
alex,BBBBBBBB,"((6,), (3,), (5,), (4,), (4,), (3,), (1,), (4,))",926.2654412451782
alex,BBBBBBBB,"((3,), (5,), (5,), (4,), (3,), (4,), (5,), (1,))",926.6073653715048
alex,BBBBBBBB,"((3,), (5,), (5,), (4,), (3,), (4,), (5,), (1,))",926.6073653715048
alex,BBBBBBBB,"((4,), (6,), (7,), (4,), (2,), (3,), (7,), (5,))",927.3442555059994
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (4,), (1,))",928.4169104312258
alex,BBBBBBBB,"((5,), (7,), (5,), (3,), (4,), (4,), (5,), (0,))",928.9594135217354
alex,BBBBBBBB,"((6,), (5,), (4,), (4,), (0,), (3,), (5,), (1,))",929.9039921897198
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (0,), (4,), (5,), (1,))",931.2533168871893
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (0,), (4,), (5,), (1,))",933.4002383411441
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (0,), (6,), (3,), (6,))",933.6274087309863
alex,BBBBBBBB,"((3,), (5,), (4,), (1,), (4,), (3,), (5,), (4,))",934.783906887614
alex,BBBBBBBB,"((3,), (6,), (3,), (2,), (4,), (3,), (3,), (1,))",935.2364043065608
alex,BBBBBBBB,"((3,), (5,), (2,), (4,), (4,), (3,), (5,), (1,))",935.6502576199838
alex,BBBBBBBB,"((5,), (3,), (1,), (5,), (5,), (4,), (7,), (5,))",938.4264597970002
alex,BBBBBBBB,"((5,), (3,), (1,), (5,), (5,), (4,), (7,), (5,))",938.4264597970002
alex,BBBBBBBB,"((3,), (7,), (5,), (4,), (3,), (4,), (2,), (5,))",938.7639555497896
alex,BBBBBBBB,"((4,), (6,), (4,), (4,), (0,), (4,), (4,), (2,))",941.8945467103172
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (0,), (6,))",943.7164386412463
alex,BBBBBBBB,"((3,), (6,), (2,), (2,), (3,), (4,), (2,), (5,))",944.0821858839641
alex,BBBBBBBB,"((3,), (6,), (4,), (2,), (2,), (4,), (7,), (7,))",944.478725133233
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (0,), (4,))",944.59471416658
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (0,), (4,))",944.59471416658
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (0,), (4,))",944.59471416658
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (0,), (4,))",944.59471416658
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (0,), (4,))",944.59471416658
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (0,), (4,))",944.59471416658
alex,BBBBBBBB,"((6,), (6,), (5,), (5,), (0,), (4,), (1,), (4,))",946.1478086585809
alex,BBBBBBBB,"((5,), (5,), (4,), (4,), (3,), (3,), (0,), (5,))",948.2837635841557
alex,BBBBBBBB,"((5,), (5,), (4,), (4,), (3,), (3,), (0,), (1,))",954.5153490552634
alex,BBBBBBBB,"((2,), (5,), (5,), (4,), (4,), (4,), (5,), (1,))",957.9518714659428
alex,BBBBBBBB,"((6,), (4,), (4,), (7,), (0,), (2,), (5,), (1,))",958.2834062326948
alex,BBBBBBBB,"((6,), (6,), (0,), (2,), (3,), (4,), (5,), (1,))",965.0244385785215
alex,BBBBBBBB,"((5,), (7,), (5,), (4,), (4,), (3,), (0,), (4,))",965.0377523912124
alex,BBBBBBBB,"((3,), (5,), (4,), (7,), (0,), (3,), (5,), (1,))",965.474642988077
alex,BBBBBBBB,"((5,), (6,), (0,), (2,), (3,), (4,), (5,), (1,))",967.0110108416816
alex,BBBBBBBB,"((5,), (3,), (7,), (4,), (6,), (3,), (0,), (6,))",976.0415540532126
alex,BBBBBBBB,"((5,), (3,), (7,), (4,), (6,), (3,), (0,), (6,))",976.0415540532126
