graph,order,freq,score
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (3,), (2,), (2,), (5,))",1173.5180178700123
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (3,), (2,), (2,), (5,))",1173.5180178700123
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (3,), (2,), (2,), (5,))",1173.5180178700123
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (3,), (2,), (2,), (5,))",1173.5180178700123
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (3,), (2,), (2,), (5,))",1173.5180178700123
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (3,), (2,), (2,), (5,))",1173.5180178700123
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (3,), (2,), (2,), (5,))",1173.5180178700123
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (3,), (2,), (2,), (5,))",1173.8774099351751
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (3,), (2,), (2,), (3,))",1174.008646084222
alex,LLLLLLLL,"((5,), (5,), (1,), (1,), (3,), (2,), (2,), (5,))",1174.4525757848382
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (2,), (5,))",1174.726040555509
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (2,), (5,))",1174.726040555509
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (2,), (5,))",1174.726040555509
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (2,), (5,))",1174.726040555509
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (2,), (5,))",1174.726040555509
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (2,), (5,))",1174.726040555509
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (2,), (5,))",1174.726040555509
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (2,), (5,))",1174.726040555509
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (2,), (5,))",1174.726040555509
alex,LLLLLLLL,"((5,), (5,), (3,), (4,), (3,), (2,), (2,), (5,))",1174.8946831372848
alex,LLLLLLLL,"((5,), (5,), (3,), (4,), (3,), (2,), (2,), (5,))",1174.8946831372848
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (4,), (2,), (2,), (5,))",1175.5245732848873
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (4,), (2,), (2,), (5,))",1175.5245732848873
alex,LLLLLLLL,"((5,), (5,), (1,), (2,), (3,), (2,), (2,), (5,))",1175.6657658673175
alex,LLLLLLLL,"((5,), (5,), (4,), (2,), (3,), (2,), (2,), (5,))",1176.0148177889587
alex,LLLLLLLL,"((5,), (5,), (4,), (2,), (3,), (2,), (2,), (5,))",1176.0148177889587
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (4,), (2,), (3,), (5,))",1176.6082756612357
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (4,), (2,), (3,), (5,))",1176.6082756612357
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (4,), (2,), (3,), (5,))",1176.6082756612357
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (1,), (2,), (2,), (5,))",1176.6280196201922
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (1,), (2,), (2,), (5,))",1176.6280196201922
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (1,), (2,), (2,), (5,))",1176.6280196201922
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (1,), (2,), (2,), (5,))",1176.6280196201922
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (1,), (2,), (2,), (5,))",1176.6280196201922
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (1,), (2,), (2,), (5,))",1176.6280196201922
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (1,), (2,), (2,), (5,))",1176.6280196201922
alex,LLLLLLLL,"((5,), (5,), (5,), (1,), (3,), (2,), (2,), (5,))",1176.760182267591
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (1,), (2,), (2,), (4,))",1176.7873639003033
alex,LLLLLLLL,"((5,), (5,), (3,), (3,), (1,), (2,), (2,), (4,))",1176.7873639003033
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (3,), (2,), (2,), (5,))",1177.1165983830285
alex,LLLLLLLL,"((5,), (5,), (4,), (3,), (2,), (2,), (2,), (5,))",1177.1384983763621
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (4,), (5,))",1177.2281813384168
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (1,), (2,), (2,), (5,))",1177.29851565689
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (1,), (2,), (2,), (5,))",1177.29851565689
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (1,), (2,), (2,), (5,))",1177.29851565689
alex,LLLLLLLL,"((5,), (5,), (4,), (2,), (4,), (2,), (2,), (5,))",1177.6562825178742
alex,LLLLLLLL,"((5,), (5,), (4,), (2,), (4,), (2,), (2,), (5,))",1177.6562825178742
alex,LLLLLLLL,"((5,), (5,), (4,), (2,), (4,), (2,), (2,), (5,))",1177.6562825178742
alex,LLLLLLLL,"((5,), (5,), (2,), (2,), (5,), (2,), (2,), (3,))",1177.846828855186
alex,LLLLLLLL,"((5,), (5,), (5,), (2,), (3,), (2,), (2,), (5,))",1178.0490833607676
alex,LLLLLLLL,"((5,), (5,), (5,), (1,), (3,), (2,), (3,), (3,))",1178.3284394202053
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (3,), (2,), (3,))",1178.6035853254548
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (1,), (2,), (4,), (4,))",1178.7368336901247
alex,LLLLLLLL,"((5,), (5,), (3,), (1,), (1,), (2,), (4,), (4,))",1178.7368336901247
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (4,), (2,), (2,), (5,))",1178.7637617327402
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (4,), (2,), (2,), (5,))",1178.7637617327402
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (4,), (2,), (2,), (5,))",1178.7637617327402
alex,LLLLLLLL,"((5,), (5,), (4,), (4,), (5,), (2,), (2,), (5,))",1178.8327259856978
alex,LLLLLLLL,"((5,), (5,), (4,), (4,), (5,), (2,), (2,), (5,))",1178.8327259856978
alex,LLLLLLLL,"((5,), (5,), (4,), (4,), (4,), (2,), (3,), (5,))",1179.0086556063109
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (2,), (2,), (2,), (5,))",1179.1716457989442
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (2,), (2,), (2,), (5,))",1179.1716457989442
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (2,), (2,), (2,), (5,))",1179.1716457989442
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (3,), (2,), (5,), (5,))",1179.3423419238213
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (5,), (2,), (2,), (5,))",1179.663287656472
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (4,), (2,), (3,), (5,))",1179.8474641090888
alex,LLLLLLLL,"((5,), (5,), (4,), (1,), (1,), (2,), (4,), (4,))",1179.9448563756214
alex,LLLLLLLL,"((5,), (5,), (5,), (3,), (1,), (2,), (2,), (4,))",1180.0265523481567
alex,LLLLLLLL,"((5,), (5,), (1,), (1,), (3,), (4,), (2,), (5,))",1180.034856930314
