graph,order,freq,score
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",696.992500246226
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",696.992500246226
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",696.992500246226
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",697.8065328409713
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",697.8065328409713
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",697.8065328409713
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",697.8065328409713
alex,GGGGGGGB,"((3, 5), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",697.9529472847335
alex,GGGGGGGB,"((3, 5), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 3), (7,))",698.1464030896466
alex,GGGGGGGB,"((3, 6), (4, 2), (4, 1), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",702.0539581794508
alex,GGGGGGGB,"((3, 4), (3, 2), (4, 1), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",702.587299353283
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (3, 0), (4, 2), (3, 3), (3, 3), (7,))",704.6855268101965
alex,GGGGGGGB,"((3, 6), (3, 3), (4, 2), (3, 0), (4, 2), (3, 3), (3, 3), (7,))",704.9494917989429
alex,GGGGGGGB,"((3, 6), (3, 2), (3, 5), (4, 4), (4, 6), (3, 3), (2, 1), (7,))",704.952378890932
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 4), (4, 0))",707.4046673302751
alex,GGGGGGGB,"((3, 6), (4, 2), (4, 1), (4, 4), (4, 2), (3, 3), (2, 1), (7,))",707.6221094375621
alex,GGGGGGGB,"((3, 4), (3, 2), (4, 2), (4, 6), (4, 2), (3, 2), (4, 6), (7,))",708.845258322279
alex,GGGGGGGB,"((3, 6), (4, 1), (3, 5), (4, 4), (4, 2), (3, 3), (2, 1), (7,))",708.8663818323057
alex,GGGGGGGB,"((3, 6), (4, 1), (3, 5), (4, 4), (4, 2), (3, 3), (2, 1), (7,))",708.8663818323057
alex,GGGGGGGB,"((3, 3), (3, 0), (4, 1), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",710.2560545003881
alex,GGGGGGGB,"((4, 7), (3, 2), (3, 5), (4, 4), (4, 6), (3, 3), (2, 1), (7,))",711.134046943354
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (2, 4), (3, 6))",711.4642753553983
alex,GGGGGGBB,"((3, 5), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (6,), (7,))",711.9361444783816
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 3), (3, 4), (7,))",713.0587975110046
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",713.512503526905
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",713.512503526905
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",713.512503526905
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",713.512503526905
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",713.512503526905
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",713.512503526905
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",713.512503526905
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",713.512503526905
alex,GGGGGGGB,"((3, 4), (4, 0), (4, 2), (4, 6), (4, 2), (3, 2), (4, 6), (7,))",714.2350961661372
alex,GGGGGGBB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 1), (6,), (7,))",715.0735204815459
alex,GGGGGGGB,"((3, 6), (3, 0), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",715.1667574088441
alex,GGGGBGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3,), (3, 3), (3, 3), (7,))",716.1891703182765
alex,GGGGGGBB,"((3, 6), (4, 1), (3, 6), (4, 4), (4, 2), (3, 2), (5,), (7,))",716.2222556820553
alex,GGGGGGGB,"((3, 6), (3, 2), (2, 1), (3, 0), (4, 2), (3, 3), (3, 3), (7,))",717.9930672958641
alex,GGGGGGGG,"((3, 6), (3, 3), (2, 4), (4, 4), (4, 2), (3, 0), (3, 2), (3, 3))",721.3617456023284
alex,GGGGGGGG,"((3, 6), (3, 0), (3, 5), (4, 4), (4, 2), (3, 3), (2, 1), (2, 2))",722.7188012284938
alex,GGGGGGGB,"((4, 3), (4, 2), (4, 1), (4, 4), (4, 2), (3, 3), (2, 1), (7,))",723.0575418945714
alex,GGGGGGGG,"((3, 6), (3, 1), (4, 1), (4, 4), (3, 6), (3, 2), (3, 4), (2, 2))",723.0811961777588
alex,GGGGGGGG,"((3, 6), (4, 1), (3, 5), (4, 4), (4, 2), (3, 3), (3, 4), (2, 2))",724.5026908860685
alex,GGGGGGBB,"((3, 6), (3, 0), (4, 1), (4, 4), (4, 2), (2, 7), (6,), (7,))",725.7247065943772
alex,GGGGGGGB,"((3, 6), (3, 2), (1, 1), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",726.7427000196839
alex,GGGGGGGB,"((3, 6), (3, 2), (2, 4), (4, 4), (3, 6), (4, 4), (3, 4), (7,))",726.9611277576518
alex,GGGGGGBB,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (6,), (7,))",727.4082348107559
alex,GGGGGGGG,"((3, 6), (3, 3), (2, 4), (4, 4), (4, 2), (3, 2), (2, 6), (3, 6))",727.5672479442906
alex,GGGGGGBG,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (2, 2), (5,), (4, 2))",729.7408872393289
alex,GGGGGGBG,"((3, 5), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (6,), (4, 4))",729.7423160487137
alex,GGGGGGGB,"((3, 5), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (0, 5), (7,))",729.8711410063346
alex,GGGGGGLB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (5,), (7,))",729.9040507711424
alex,GGGGGGGB,"((3, 6), (3, 1), (4, 1), (4, 4), (2, 5), (4, 3), (1, 4), (7,))",730.3204214318042
alex,GGGGGGGG,"((4, 7), (3, 2), (3, 5), (4, 4), (4, 2), (2, 2), (3, 4), (2, 2))",730.6641909649869
alex,GGGGGGBG,"((3, 6), (3, 2), (4, 1), (4, 4), (4, 2), (3, 3), (6,), (2, 4))",732.9768604783924
alex,GGGGGGBG,"((3, 5), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (6,), (2, 4))",733.4036121962384
alex,GGGGGGBG,"((3, 5), (3, 3), (4, 2), (4, 4), (4, 2), (3, 3), (6,), (2, 4))",733.6675772445402
alex,GGGGGGGG,"((3, 6), (4, 2), (4, 2), (4, 4), (3, 6), (4, 4), (3, 4), (2, 6))",733.8619983613539
alex,GGGGGGBB,"((4, 3), (3, 2), (4, 2), (3, 0), (4, 2), (3, 3), (6,), (7,))",734.0405641283464
alex,GGGGGGGB,"((3, 6), (3, 2), (2, 1), (4, 4), (4, 2), (3, 3), (1, 5), (1,))",734.2233571811095
alex,GGGGGGBG,"((3, 6), (3, 0), (4, 1), (4, 4), (4, 2), (3, 3), (6,), (2, 4))",734.6311143603316
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (2, 2))",734.7069584179495
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (2, 2))",734.7069584179495
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (2, 2))",734.7069584179495
alex,GGGGGGBG,"((4, 7), (3, 2), (3, 5), (4, 4), (4, 2), (2, 2), (5,), (4, 2))",738.0217771053664
alex,GGGGGGBG,"((3, 6), (3, 0), (4, 1), (4, 4), (4, 0), (3, 3), (6,), (2, 4))",738.5442359871919
alex,GGGGGGGG,"((3, 4), (3, 2), (4, 1), (4, 4), (3, 6), (4, 4), (3, 4), (2, 2))",740.9266737286426
alex,GGGGGGBB,"((4, 3), (3, 2), (4, 1), (4, 4), (4, 2), (4, 4), (6,), (7,))",741.0045004374518
alex,GGGGGGGB,"((4, 3), (2, 1), (4, 1), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",742.1313558375236
alex,GGGGGGGG,"((3, 6), (4, 5), (2, 1), (4, 4), (3, 6), (3, 2), (3, 4), (2, 2))",742.2785177475265
alex,GGGGGGGB,"((3, 6), (3, 2), (1, 1), (4, 4), (4, 2), (2, 7), (4, 3), (7,))",742.3459500372422
alex,GGGGGGGG,"((3, 6), (3, 2), (1, 1), (4, 4), (4, 2), (3, 2), (2, 6), (3, 6))",742.754622402425
alex,GGGGGGBG,"((3, 6), (3, 2), (2, 1), (4, 4), (4, 2), (2, 2), (5,), (4, 2))",744.2333710610358
