graph,order,freq,score
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (4,), (6,))",879.0387690067095
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (4,), (6,))",879.0387690067095
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (4,), (4,), (4,))",880.1920381758312
alex,BBBBBBBB,"((5,), (5,), (5,), (4,), (4,), (3,), (4,), (6,))",880.7680908145834
alex,BBBBBBBB,"((6,), (6,), (5,), (4,), (4,), (4,), (4,), (6,))",881.8436402087315
alex,BBBBBBBB,"((6,), (5,), (3,), (4,), (4,), (4,), (4,), (7,))",881.8569167737332
alex,BBBBBBBB,"((6,), (6,), (5,), (4,), (4,), (4,), (4,), (7,))",882.0142141059932
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (3,), (5,), (6,))",882.3123401243364
alex,BBBBBBBB,"((6,), (6,), (5,), (5,), (4,), (3,), (4,), (6,))",882.6154102793537
alex,BBBBBBBB,"((6,), (6,), (5,), (4,), (4,), (4,), (4,), (4,))",882.898820204575
alex,BBBBBBBB,"((5,), (4,), (5,), (5,), (4,), (3,), (4,), (6,))",885.9652335727002
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (2,), (3,), (4,), (6,))",886.5014989807125
alex,BBBBBBBB,"((6,), (4,), (4,), (4,), (4,), (3,), (5,), (5,))",887.2883860813724
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (3,), (4,), (6,), (6,))",887.8685766762336
alex,BBBBBBBB,"((6,), (4,), (3,), (4,), (3,), (4,), (4,), (5,))",888.1090247590986
alex,BBBBBBBB,"((5,), (5,), (5,), (5,), (2,), (4,), (3,), (5,))",889.6367220608129
alex,BBBBBBBB,"((6,), (6,), (5,), (4,), (4,), (4,), (6,), (3,))",890.9657294048849
alex,BBBBBBBB,"((6,), (5,), (5,), (5,), (7,), (5,), (4,), (6,))",891.1129418120738
alex,BBBBBBBB,"((6,), (4,), (4,), (4,), (2,), (3,), (4,), (5,))",891.4151830996618
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (5,), (5,), (5,))",891.7256807771861
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (4,), (3,), (4,), (4,))",891.8907362474552
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (4,), (3,), (4,), (5,))",891.9912295195054
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (4,), (3,), (4,), (6,))",892.0894646034154
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (4,), (3,), (4,), (6,))",892.0894646034154
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (5,), (3,), (4,), (6,))",892.2529697690626
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (3,), (4,), (4,))",892.7605954913555
alex,BBBBBBBB,"((6,), (6,), (5,), (4,), (4,), (4,), (4,), (1,))",892.97572985696
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (3,), (3,), (5,))",893.5121513156049
alex,BBBBBBBB,"((6,), (5,), (5,), (5,), (4,), (4,), (3,), (1,))",893.5483063877653
alex,BBBBBBBB,"((6,), (5,), (5,), (5,), (4,), (4,), (3,), (1,))",893.5483063877653
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (4,), (3,), (4,))",893.5524073102009
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (3,), (3,), (4,), (5,))",893.5912548337545
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (4,), (3,), (5,))",893.6582379975138
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (4,), (3,), (5,))",893.6582379975138
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (4,), (3,), (5,))",893.6582379975138
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (4,), (3,), (5,))",893.6582379975138
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (4,), (3,), (5,))",893.6582379975138
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (4,), (3,), (6,))",893.7182297889258
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (4,), (3,), (6,))",893.7182297889258
alex,BBBBBBBB,"((6,), (6,), (5,), (4,), (3,), (3,), (2,), (6,))",894.2382082888006
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (4,), (3,), (2,), (6,))",894.2576451965241
alex,BBBBBBBB,"((5,), (5,), (5,), (5,), (4,), (4,), (3,), (1,))",894.4280472807152
alex,BBBBBBBB,"((4,), (6,), (5,), (4,), (4,), (4,), (4,), (4,))",894.4920318108298
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (4,), (4,), (4,), (1,))",894.5951920789329
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (4,), (3,), (2,), (5,))",894.7178763019575
alex,BBBBBBBB,"((6,), (6,), (2,), (5,), (4,), (4,), (4,), (6,))",895.1598515207965
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (4,), (3,), (2,), (4,))",895.2191576440158
alex,BBBBBBBB,"((4,), (4,), (5,), (4,), (4,), (3,), (4,), (4,))",895.9061733104171
alex,BBBBBBBB,"((4,), (4,), (5,), (4,), (4,), (4,), (4,), (4,))",896.0042624836952
alex,BBBBBBBB,"((6,), (7,), (4,), (5,), (4,), (3,), (4,), (5,))",897.5078498094275
alex,BBBBBBBB,"((6,), (7,), (5,), (4,), (3,), (4,), (4,), (6,))",897.6308626917333
alex,BBBBBBBB,"((4,), (4,), (5,), (5,), (4,), (4,), (3,), (6,))",897.733666851888
alex,BBBBBBBB,"((5,), (7,), (5,), (4,), (4,), (3,), (4,), (5,))",897.7696592927276
alex,BBBBBBBB,"((6,), (6,), (5,), (5,), (7,), (5,), (5,), (6,))",897.8163390623574
alex,BBBBBBBB,"((6,), (6,), (5,), (5,), (7,), (5,), (5,), (6,))",897.8163390623574
alex,BBBBBBBB,"((6,), (5,), (5,), (5,), (1,), (3,), (4,), (5,))",897.9811281295962
alex,BBBBBBBB,"((6,), (7,), (5,), (4,), (3,), (4,), (4,), (5,))",898.0878842715998
alex,BBBBBBBB,"((5,), (7,), (5,), (4,), (4,), (4,), (3,), (6,))",898.6327442965245
alex,BBBBBBBB,"((6,), (7,), (6,), (5,), (4,), (4,), (4,), (6,))",898.7124682891006
alex,BBBBBBBB,"((6,), (7,), (6,), (5,), (4,), (4,), (4,), (6,))",898.7124682891006
alex,BBBBBBBB,"((6,), (6,), (5,), (4,), (1,), (4,), (4,), (4,))",898.7941341138685
alex,BBBBBBBB,"((6,), (6,), (2,), (5,), (4,), (4,), (5,), (4,))",899.0695278292577
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (1,), (3,), (4,), (6,))",899.3049870648528
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (4,), (4,), (6,), (6,))",899.3320225370097
alex,BBBBBBBB,"((4,), (4,), (5,), (4,), (4,), (3,), (5,), (5,))",899.3425995381812
alex,BBBBBBBB,"((6,), (6,), (5,), (4,), (4,), (2,), (4,), (6,))",899.8566288032604
alex,BBBBBBBB,"((6,), (4,), (6,), (7,), (4,), (3,), (4,), (1,))",900.0878934603645
alex,BBBBBBBB,"((6,), (7,), (3,), (4,), (3,), (4,), (4,), (6,))",900.2546605914246
alex,BBBBBBBB,"((6,), (7,), (3,), (4,), (3,), (4,), (4,), (6,))",900.2546605914246
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (1,), (4,), (4,), (4,))",900.4135963358412
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (4,), (6,), (4,), (6,))",900.5934748422321
alex,BBBBBBBB,"((5,), (7,), (6,), (5,), (4,), (4,), (4,), (6,))",900.6407828614898
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (3,), (3,), (6,), (6,))",900.802069276937
alex,BBBBBBBB,"((4,), (5,), (5,), (5,), (4,), (5,), (4,), (5,))",901.0320018943895
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (4,), (2,), (4,), (6,))",901.4760910252332
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (4,), (2,), (4,), (6,))",901.4760910252332
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (4,), (4,), (4,), (1,))",902.117719907691
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (2,), (3,), (2,), (5,))",902.1806062759606
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (2,), (3,), (5,), (5,))",902.7898924492221
alex,BBBBBBBB,"((6,), (4,), (5,), (4,), (2,), (5,), (5,), (6,))",902.9601365050347
alex,BBBBBBBB,"((4,), (4,), (5,), (4,), (4,), (4,), (6,), (6,))",903.3474595999718
alex,BBBBBBBB,"((5,), (4,), (6,), (2,), (4,), (4,), (6,), (6,))",903.495972431116
alex,BBBBBBBB,"((4,), (5,), (5,), (4,), (4,), (5,), (5,), (4,))",903.6404290916794
alex,BBBBBBBB,"((4,), (6,), (6,), (5,), (2,), (3,), (4,), (5,))",904.5176974514013
alex,BBBBBBBB,"((6,), (6,), (5,), (1,), (4,), (4,), (4,), (6,))",904.5188523398128
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (4,), (5,), (5,), (1,))",904.6873823934961
alex,BBBBBBBB,"((6,), (6,), (5,), (1,), (4,), (4,), (4,), (5,))",904.9758739196793
alex,BBBBBBBB,"((6,), (6,), (5,), (1,), (3,), (4,), (4,), (6,))",905.8074798481977
alex,BBBBBBBB,"((6,), (5,), (5,), (4,), (3,), (3,), (4,), (0,))",905.906990516495
alex,BBBBBBBB,"((5,), (7,), (5,), (4,), (4,), (5,), (4,), (5,))",905.9405724237113
alex,BBBBBBBB,"((6,), (6,), (5,), (1,), (3,), (4,), (4,), (7,))",905.9780537454594
alex,BBBBBBBB,"((5,), (6,), (5,), (1,), (4,), (4,), (4,), (6,))",906.017215092701
