graph,order,freq,score
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 3), (4, 3), (3, 1), (3, 3), (4, 5))",707.5731610813575
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 3), (4, 3), (3, 1), (3, 3), (4, 5))",707.5731610813575
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 3), (4, 3), (3, 1), (3, 3), (4, 5))",707.5731610813575
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 3), (4, 3), (3, 1), (3, 3), (4, 5))",707.5731610813575
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 3), (3, 6), (3, 1), (3, 3), (4, 5))",712.078751238298
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 3), (3, 6), (3, 1), (3, 3), (4, 5))",712.078751238298
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 1), (4, 0), (3, 3), (3, 1), (4, 2))",715.1492461989799
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 3), (4, 2), (2, 1), (4, 2), (4, 3))",715.5649815706977
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (3, 4), (4, 0), (3, 3), (3, 1), (4, 5))",716.5902494972512
alex,GGGGGGGG,"((3, 6), (3, 4), (3, 5), (4, 1), (4, 0), (3, 1), (3, 1), (4, 5))",716.8909105209317
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 5), (3, 6), (4, 0), (3, 2), (3, 2), (4, 5))",716.9376452707463
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (3, 4), (4, 0), (3, 3), (3, 1), (4, 3))",716.9513365108619
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (3, 4), (4, 0), (3, 3), (3, 1), (4, 2))",717.1608817881586
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 5), (3, 6), (4, 0), (3, 1), (3, 1), (4, 5))",717.897946950518
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 5), (3, 6), (4, 0), (3, 1), (3, 1), (4, 5))",717.897946950518
alex,GGGGGGGG,"((3, 6), (3, 4), (3, 5), (4, 1), (4, 3), (3, 2), (4, 4), (3, 2))",717.9541668985898
alex,GGGGGGGG,"((3, 5), (3, 5), (4, 5), (3, 6), (4, 0), (3, 2), (3, 2), (4, 5))",720.5661541375896
alex,GGGGGGGG,"((3, 5), (3, 5), (4, 5), (3, 6), (4, 0), (3, 1), (3, 1), (4, 5))",721.5264558173612
