graph,order,freq,score
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (5,), (1,), (1,), (5,))",744.3400909943274
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (5,), (1,), (1,), (5,))",744.3400909943274
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (5,), (1,), (1,), (5,))",744.3400909943274
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (5,), (1,), (1,), (2,))",745.4059747669737
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (5,), (2,), (1,), (2,))",746.5666716788962
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (5,), (1,), (2,), (1,))",747.8040714085689
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (5,), (1,), (3,), (2,))",748.0681187035383
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (4,), (1,), (1,), (5,))",748.261010905621
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (5,), (1,), (1,), (2,))",749.0722953856739
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (5,), (1,), (1,), (2,))",749.0722953856739
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (5,), (1,), (3,), (1,))",749.1359595174256
alex,LLLLLLLL,"((5,), (4,), (4,), (3,), (5,), (1,), (2,), (5,))",749.4170320183352
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (5,), (1,), (1,), (1,))",750.0753766855505
alex,LLLLLLLL,"((5,), (4,), (4,), (3,), (5,), (1,), (2,), (2,))",750.469159760071
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (4,), (2,), (3,), (1,))",750.6834949757452
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (4,), (2,), (3,), (1,))",750.6834949757452
alex,LLLLLLLL,"((5,), (4,), (4,), (3,), (5,), (1,), (2,), (1,))",751.5366484829088
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (4,), (1,), (3,), (2,))",751.9890386148319
alex,LLLLLLLL,"((5,), (5,), (3,), (5,), (4,), (1,), (1,), (5,))",755.2003706839812
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (1,), (3,), (4,))",755.9206470620882
alex,LLLLLLLL,"((5,), (4,), (3,), (3,), (5,), (1,), (4,), (3,))",756.7029475489188
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (2,), (2,), (1,))",757.9407130270042
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (2,), (2,), (1,))",757.9407130270042
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (2,), (3,), (2,))",758.203639801477
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (5,), (1,), (4,), (3,))",758.2229017855146
alex,LLLLLLLL,"((5,), (3,), (3,), (3,), (5,), (2,), (1,), (2,))",758.5563681028386
alex,LLLLLLLL,"((4,), (4,), (4,), (5,), (5,), (1,), (1,), (2,))",758.9277321496076
alex,LLLLLLLL,"((5,), (4,), (3,), (4,), (5,), (1,), (5,), (1,))",759.1070080156649
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (2,), (3,), (1,))",759.2714806153642
alex,LLLLLLLL,"((4,), (4,), (4,), (5,), (5,), (1,), (2,), (3,))",759.6114619300748
alex,LLLLLLLL,"((5,), (3,), (3,), (3,), (5,), (1,), (2,), (1,))",759.7937678325112
alex,LLLLLLLL,"((5,), (3,), (3,), (2,), (4,), (1,), (1,), (2,))",762.6381733509946
alex,LLLLLLLL,"((5,), (4,), (5,), (5,), (1,), (1,), (3,), (2,))",762.8001080877559
alex,LLLLLLLL,"((4,), (3,), (4,), (5,), (5,), (1,), (1,), (5,))",763.4191613242854
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (3,), (3,), (1,))",763.5660870787134
alex,LLLLLLLL,"((5,), (2,), (4,), (5,), (5,), (1,), (1,), (5,))",763.8830172921456
alex,LLLLLLLL,"((5,), (4,), (4,), (1,), (5,), (1,), (1,), (2,))",766.0125477323713
alex,LLLLLLLL,"((4,), (4,), (3,), (5,), (4,), (2,), (2,), (1,))",766.6545939222899
alex,LLLLLLLL,"((4,), (4,), (3,), (5,), (4,), (2,), (3,), (2,))",766.8037321631916
alex,LLLLLLLL,"((4,), (4,), (3,), (5,), (4,), (2,), (3,), (2,))",766.8037321631916
alex,LLLLLLLL,"((4,), (4,), (3,), (5,), (4,), (3,), (1,), (5,))",767.44436159342
alex,LLLLLLLL,"((5,), (4,), (5,), (5,), (1,), (3,), (2,), (1,))",767.8248857827651
alex,LLLLLLLL,"((5,), (4,), (5,), (5,), (1,), (3,), (2,), (1,))",767.8248857827651
alex,LLLLLLLL,"((4,), (4,), (3,), (5,), (4,), (2,), (3,), (1,))",767.9853615106499
alex,LLLLLLLL,"((4,), (4,), (3,), (5,), (4,), (2,), (3,), (1,))",767.9853615106499
alex,LLLLLLLL,"((5,), (4,), (1,), (5,), (5,), (1,), (1,), (5,))",768.5296082044696
alex,LLLLLLLL,"((5,), (4,), (1,), (5,), (4,), (1,), (1,), (5,))",768.784207497063
alex,LLLLLLLL,"((5,), (4,), (4,), (5,), (4,), (5,), (3,), (1,))",769.3507777556076
alex,LLLLLLLL,"((5,), (4,), (1,), (5,), (4,), (1,), (1,), (2,))",769.8500912697093
alex,LLLLLLLL,"((5,), (2,), (4,), (5,), (5,), (1,), (4,), (1,))",770.8594071508791
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (2,), (3,), (3,), (0,))",771.383211834499
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (2,), (3,), (3,), (0,))",771.383211834499
alex,LLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (1,), (0,), (2,))",771.5627326032157
alex,LLLLLLLL,"((5,), (4,), (1,), (3,), (5,), (1,), (1,), (5,))",771.9810535561174
alex,LLLLLLLL,"((4,), (4,), (3,), (4,), (2,), (1,), (3,), (2,))",771.9981538774383
alex,LLLLLLLL,"((5,), (4,), (1,), (5,), (4,), (1,), (3,), (1,))",773.5800760201612
alex,LLLLLLLL,"((5,), (4,), (1,), (5,), (4,), (3,), (1,), (5,))",774.1201344343491
alex,LLLLLLLL,"((5,), (3,), (4,), (5,), (4,), (5,), (3,), (1,))",774.5773976504847
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (5,), (1,), (0,), (2,))",774.7777836002377
alex,LLLLLLLL,"((5,), (4,), (3,), (3,), (4,), (5,), (3,), (1,))",776.3736883039816
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (1,), (0,), (5,))",776.3792614403583
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (5,), (3,), (1,))",777.9387633952267
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (5,), (3,), (1,))",777.9387633952267
alex,LLLLLLLL,"((4,), (4,), (3,), (3,), (5,), (4,), (3,), (2,))",778.3804510630785
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (5,), (1,), (0,), (0,))",778.4176558136961
alex,LLLLLLLL,"((5,), (2,), (4,), (5,), (1,), (1,), (1,), (3,))",778.9674003052853
alex,LLLLLLLL,"((5,), (4,), (1,), (4,), (2,), (1,), (3,), (2,))",779.0169872040758
alex,LLLLLLLL,"((5,), (4,), (1,), (4,), (2,), (1,), (3,), (2,))",779.0169872040758
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (2,), (2,), (0,), (1,))",779.5123656421794
alex,LLLLLLLL,"((4,), (4,), (3,), (3,), (5,), (4,), (3,), (1,))",779.5620804105367
alex,LLLLLLLL,"((5,), (5,), (3,), (5,), (5,), (5,), (3,), (1,))",780.019502603247
alex,LLLLLLLL,"((5,), (4,), (1,), (2,), (4,), (2,), (3,), (5,))",780.8884536058109
alex,LLLLLLLL,"((5,), (3,), (4,), (2,), (5,), (5,), (3,), (4,))",781.347449935796
alex,LLLLLLLL,"((5,), (4,), (5,), (5,), (1,), (5,), (2,), (1,))",781.9780288792299
alex,LLLLLLLL,"((5,), (3,), (4,), (2,), (5,), (5,), (3,), (2,))",782.3375065094586
alex,LLLLLLLL,"((5,), (3,), (4,), (2,), (5,), (5,), (3,), (2,))",782.3375065094586
alex,LLLLLLLL,"((4,), (4,), (5,), (5,), (1,), (3,), (3,), (1,))",782.9132531966711
alex,LLLLLLLL,"((5,), (3,), (4,), (2,), (5,), (5,), (3,), (1,))",783.405347323346
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (2,), (3,), (0,), (1,))",783.5456535749256
alex,LLLLLLLL,"((5,), (4,), (3,), (5,), (2,), (3,), (0,), (1,))",783.5456535749256
alex,LLLLLLLL,"((5,), (3,), (3,), (5,), (4,), (1,), (0,), (0,))",783.5939201272085
alex,LLLLLLLL,"((5,), (4,), (1,), (5,), (1,), (1,), (1,), (3,))",783.6139912176093
alex,LLLLLLLL,"((5,), (4,), (5,), (5,), (0,), (3,), (2,), (1,))",785.2235502957756
alex,LLLLLLLL,"((5,), (3,), (3,), (2,), (4,), (5,), (3,), (2,))",785.2605362331477
alex,LLLLLLLL,"((5,), (3,), (4,), (2,), (4,), (1,), (0,), (2,))",785.2987222756805
