graph,order,freq,score
alex,GLLLLGGB,"((3, 6), (4,), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",679.9754208800438
alex,GLLLLGGB,"((3, 6), (4,), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",679.9754208800438
alex,GLLLLGGB,"((3, 6), (4,), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",679.9754208800438
alex,GLLLLGGB,"((3, 6), (4,), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",679.9754208800438
alex,GLLLLGGB,"((3, 6), (4,), (4,), (5,), (5,), (2, 3), (3, 4), (5,))",680.7319925349302
alex,GLLLLGGB,"((3, 6), (4,), (4,), (5,), (5,), (2, 0), (3, 7), (5,))",684.7008392984717
alex,GLLLLGGB,"((4, 7), (4,), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",684.8711904673999
alex,GGLLLGGB,"((3, 6), (4, 5), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",688.9170601854654
alex,GGLLLGGB,"((3, 6), (4, 5), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",688.9170601854654
alex,GLLLLGGB,"((3, 6), (4,), (4,), (5,), (5,), (2, 3), (4, 0), (5,))",693.290075338716
alex,GLLLLGGB,"((3, 6), (4,), (4,), (5,), (5,), (2, 3), (4, 0), (5,))",693.290075338716
alex,GGGLLGGB,"((3, 6), (4, 1), (4, 2), (5,), (5,), (2, 3), (3, 4), (7,))",703.2058001251086
alex,GLLLBGGB,"((3, 6), (4,), (4,), (5,), (7,), (2, 3), (3, 4), (7,))",704.1337674773995
alex,GLLLBGGB,"((3, 6), (4,), (4,), (5,), (7,), (2, 3), (3, 3), (7,))",704.52115960208
alex,GLLGLGGB,"((3, 6), (4,), (4,), (4, 7), (5,), (3, 1), (3, 4), (7,))",704.9705781484619
alex,GLLLGGGB,"((3, 6), (4,), (4,), (5,), (2, 3), (2, 3), (2, 0), (7,))",706.5897933247059
alex,GGGLLGGB,"((3, 6), (4, 0), (3, 1), (5,), (5,), (2, 3), (3, 4), (7,))",706.8345102888906
alex,GGGLLGGB,"((3, 6), (4, 0), (3, 1), (5,), (5,), (2, 3), (3, 4), (7,))",706.8345102888906
alex,GGGLLGGB,"((3, 6), (4, 4), (3, 1), (5,), (5,), (2, 0), (3, 5), (5,))",708.5381166648873
alex,GGGGGGGB,"((3, 6), (4, 1), (4, 2), (4, 7), (3, 6), (3, 3), (3, 5), (5,))",709.387396323136
alex,GLLGLGGB,"((3, 6), (4,), (4,), (4, 7), (5,), (3, 7), (3, 4), (5,))",710.5007694513421
alex,GGGGLGGB,"((3, 6), (4, 1), (4, 2), (4, 7), (5,), (3, 1), (3, 4), (7,))",711.439466154164
alex,GGGGLGGB,"((3, 6), (4, 1), (4, 2), (4, 7), (5,), (3, 1), (3, 4), (7,))",711.439466154164
alex,GLGLLGGB,"((3, 6), (4,), (3, 1), (5,), (5,), (2, 3), (3, 4), (7,))",712.751079570828
alex,GLLLBGGL,"((3, 7), (4,), (4,), (5,), (7,), (2, 3), (3, 4), (3,))",715.0973990601265
alex,GLLGLGGB,"((3, 6), (4,), (4,), (4, 7), (5,), (3, 1), (2, 7), (2,))",715.146661400759
alex,GLLLBGGB,"((3, 6), (4,), (4,), (5,), (3,), (2, 0), (2, 1), (2,))",715.5986611004677
alex,GGLLLGGB,"((3, 6), (2, 5), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",715.6370784514363
alex,GLGLLGGB,"((3, 6), (4,), (3, 1), (5,), (5,), (3, 3), (3, 7), (5,))",716.3627420100373
alex,GGLLLGGB,"((3, 6), (2, 0), (4,), (5,), (5,), (2, 3), (3, 7), (7,))",716.8789566648906
alex,GGLLLGGB,"((3, 6), (2, 0), (4,), (5,), (5,), (2, 3), (3, 7), (7,))",716.8789566648906
alex,GLLLLGGB,"((3, 6), (4,), (4,), (5,), (5,), (2, 3), (0, 7), (5,))",716.9081497351829
alex,GLLLLGGB,"((3, 2), (4,), (4,), (5,), (5,), (2, 0), (4, 0), (5,))",719.2083504113247
alex,GGLLLGGB,"((3, 6), (2, 0), (4,), (5,), (5,), (2, 3), (3, 4), (2,))",720.9263220221387
alex,GLLLBGGB,"((3, 6), (4,), (4,), (5,), (3,), (2, 2), (4, 0), (2,))",720.9988136937277
alex,GLLLBGGB,"((3, 6), (4,), (4,), (5,), (3,), (2, 2), (4, 0), (2,))",720.9988136937277
alex,GLLLBGGB,"((4, 7), (4,), (4,), (5,), (3,), (2, 0), (2, 1), (2,))",721.2597516835871
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (4, 7), (5,), (3, 7), (3, 4), (5,))",721.4289328251922
alex,GLGLLGGB,"((3, 6), (4,), (2, 7), (5,), (5,), (3, 1), (3, 4), (7,))",721.9003941443257
alex,GLLGLGGB,"((3, 6), (4,), (4,), (4, 7), (5,), (4, 4), (2, 7), (7,))",722.4785626037906
alex,GGGGLGGG,"((3, 6), (4, 1), (4, 2), (4, 7), (5,), (3, 3), (3, 4), (3, 0))",723.1628735646825
alex,GGGGLGGG,"((3, 6), (4, 1), (4, 2), (4, 7), (5,), (3, 3), (3, 4), (3, 0))",723.1628735646825
alex,GLGLLGGB,"((3, 6), (4,), (4, 2), (5,), (5,), (2, 3), (4, 0), (5,))",724.7650178444669
alex,GLGLLGGB,"((3, 6), (4,), (3, 1), (5,), (5,), (2, 0), (2, 1), (2,))",725.7512072097886
alex,GGLLLGGB,"((1, 6), (3, 3), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",725.9892761737178
alex,GGLLLGGB,"((1, 6), (3, 3), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",725.9892761737178
alex,GGLLLGGB,"((1, 6), (3, 3), (4,), (5,), (5,), (2, 3), (3, 4), (7,))",725.9892761737178
alex,GLLLLGBB,"((3, 6), (4,), (4,), (5,), (5,), (2, 0), (1,), (2,))",726.22852478465
alex,GLLGLGGB,"((3, 6), (4,), (4,), (1, 0), (5,), (3, 2), (3, 4), (7,))",726.8801367414364
alex,GLLLBGGG,"((4, 7), (4,), (4,), (5,), (3,), (2, 3), (3, 4), (2, 4))",727.1026336750733
alex,GLLGLGGB,"((3, 6), (4,), (4,), (1, 2), (5,), (2, 0), (3, 5), (5,))",728.0217238419953
alex,GLGGLGGB,"((3, 6), (4,), (3, 1), (3, 3), (5,), (2, 3), (3, 4), (2,))",728.218770095493
alex,GGLLLGGB,"((1, 6), (3, 3), (4,), (5,), (5,), (2, 0), (3, 5), (5,))",728.7866481952366
alex,GLGLLGGB,"((3, 6), (4,), (2, 7), (5,), (5,), (3, 1), (3, 4), (2,))",728.9339479450488
alex,GLLBBGGB,"((3, 6), (4,), (4,), (7,), (6,), (2, 3), (3, 4), (2,))",731.9843775286888
alex,GLGGLGGB,"((3, 6), (4,), (3, 1), (2, 4), (5,), (2, 3), (3, 4), (7,))",732.1526313028668
alex,GGGLBGGB,"((3, 6), (4, 1), (4, 0), (5,), (3,), (2, 0), (3, 5), (5,))",732.3616414027696
alex,GGGGLGGG,"((3, 6), (4, 1), (4, 2), (4, 7), (2,), (3, 3), (3, 4), (3, 0))",732.7174049116552
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (2, 0), (5,), (2, 3), (3, 4), (2,))",736.3414901659559
alex,GLGLBGGB,"((4, 6), (4,), (3, 4), (5,), (3,), (2, 3), (3, 4), (7,))",737.7707126670005
alex,GLLGLGGB,"((3, 6), (4,), (4,), (1, 0), (5,), (2, 3), (2, 1), (2,))",737.901735513114
alex,GLLGLGGB,"((3, 6), (4,), (4,), (1, 0), (5,), (2, 3), (2, 1), (2,))",737.901735513114
alex,GGGBLGGB,"((3, 6), (4, 0), (4, 0), (3,), (5,), (3, 5), (3, 4), (6,))",738.3380749682668
alex,GGGGLGGB,"((3, 6), (4, 1), (4, 2), (1, 0), (5,), (2, 3), (3, 4), (7,))",738.7102365638389
alex,GGGGLGGB,"((3, 6), (3, 4), (3, 1), (1, 0), (5,), (2, 3), (3, 4), (7,))",739.357491555338
alex,GLGLBGGB,"((3, 6), (4,), (3, 4), (5,), (3,), (2, 0), (3, 7), (5,))",739.7983733862467
alex,GLGLBGGB,"((3, 6), (4,), (3, 4), (5,), (3,), (2, 0), (3, 7), (5,))",739.7983733862467
alex,GLGLLGGB,"((3, 6), (4,), (3, 4), (5,), (1,), (4, 2), (3, 4), (7,))",740.0792149066048
alex,GGGGLGGB,"((3, 6), (4, 1), (4, 2), (1, 0), (5,), (2, 0), (3, 4), (7,))",740.8086399485913
alex,GGGGLGGB,"((3, 6), (4, 1), (4, 2), (1, 0), (5,), (2, 0), (3, 5), (5,))",742.4656320781952
alex,GGGGLGGB,"((3, 6), (4, 1), (4, 2), (1, 0), (5,), (2, 0), (3, 5), (5,))",742.4656320781952
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (2, 3), (3, 4), (7,))",742.6658206572192
alex,GGGGLGGB,"((3, 6), (3, 0), (3, 1), (1, 0), (5,), (2, 0), (3, 5), (5,))",743.0221813786884
alex,GLBLLGGB,"((3, 7), (4,), (6,), (5,), (5,), (3, 1), (2, 7), (2,))",743.0673828349151
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (3, 1), (3, 4), (7,))",743.1800387808472
alex,GLGLLLGB,"((3, 6), (4,), (4, 3), (5,), (5,), (5,), (3, 4), (7,))",743.2297502023947
alex,GLGLLLGB,"((3, 6), (4,), (4, 3), (5,), (5,), (5,), (3, 4), (6,))",743.2972421302773
alex,GGGLGGGB,"((3, 7), (4, 0), (3, 1), (5,), (1, 2), (2, 3), (3, 4), (2,))",743.4400782428588
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (2, 3), (3, 5), (5,))",744.3181933104348
alex,GGGGLGGB,"((3, 6), (4, 0), (4, 0), (1, 0), (5,), (3, 6), (3, 4), (6,))",746.5315707055615
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 2), (1, 0), (5,), (2, 3), (3, 4), (2,))",748.8725974125849
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (2, 3), (2, 1), (7,))",749.1035815809772
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (2, 3), (3, 4), (2,))",749.6993744579422
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (2, 3), (3, 4), (2,))",749.6993744579422
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (2, 3), (3, 4), (2,))",749.6993744579422
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (2, 3), (3, 4), (2,))",749.6993744579422
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (2, 3), (3, 4), (2,))",749.6993744579422
alex,GLGGLGGB,"((3, 6), (4,), (4, 2), (4, 7), (0,), (3, 4), (3, 7), (5,))",750.4527910900375
alex,GLGGLGGB,"((3, 6), (4,), (4, 2), (4, 7), (0,), (3, 4), (3, 7), (5,))",750.4527910900375
alex,GLLGLGBB,"((3, 6), (4,), (4,), (4, 7), (5,), (2, 0), (1,), (2,))",750.7094639294401
alex,GLLGBGGB,"((3, 6), (4,), (4,), (1, 5), (7,), (2, 0), (2, 1), (2,))",751.1317860348316
alex,GLLLGGBB,"((3, 6), (4,), (4,), (5,), (1, 2), (2, 3), (1,), (2,))",751.3275027554871
alex,GLLLGGBB,"((3, 6), (4,), (4,), (5,), (1, 2), (2, 3), (1,), (2,))",751.3275027554871
alex,GLLGGGGG,"((3, 6), (4,), (5,), (4, 1), (2, 1), (2, 3), (2, 5), (0, 7))",752.641536676795
alex,GLLGGGGG,"((3, 6), (4,), (5,), (4, 1), (2, 1), (2, 3), (2, 5), (0, 7))",752.641536676795
alex,GGGGGGGB,"((3, 6), (4, 0), (3, 1), (4, 0), (1, 2), (2, 3), (1, 7), (2,))",753.3293016393217
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (3, 1), (2, 7), (2,))",753.3561220331444
alex,GGGGLGGB,"((3, 6), (4, 5), (3, 1), (1, 0), (5,), (3, 1), (2, 7), (2,))",753.3561220331444
