graph,order,freq,score
google,BBBBBBBBBBB,"((5,), (5,), (6,), (5,), (6,), (6,), (6,), (6,), (5,), (6,), (6,))",963.6943970959443
google,BBBBBBBBBBB,"((5,), (5,), (6,), (5,), (6,), (6,), (6,), (6,), (5,), (6,), (6,))",963.6943970959443
google,BBBBBBBBBBB,"((5,), (5,), (5,), (5,), (7,), (5,), (6,), (6,), (5,), (6,), (5,))",966.6585291908185
google,BBBBBBBBBBB,"((6,), (5,), (6,), (5,), (6,), (6,), (6,), (6,), (4,), (6,), (6,))",969.6610393988589
google,BBBBBBBBBBB,"((6,), (5,), (6,), (6,), (7,), (6,), (6,), (6,), (5,), (6,), (5,))",970.4054799293027
google,BBBBBBBBBBB,"((5,), (5,), (6,), (5,), (6,), (6,), (6,), (6,), (7,), (6,), (5,))",970.7565873709935
google,BBBBBBBBBBB,"((5,), (5,), (5,), (5,), (7,), (5,), (6,), (6,), (7,), (5,), (6,))",972.7034480580517
google,BBBBBBBBBBB,"((5,), (5,), (6,), (5,), (6,), (6,), (6,), (3,), (5,), (6,), (5,))",974.9324364210048
google,BBBBBBBBBBB,"((7,), (5,), (6,), (5,), (6,), (5,), (6,), (6,), (5,), (6,), (6,))",977.4696248719696
google,BBBBBBBBBBB,"((5,), (3,), (5,), (5,), (6,), (5,), (7,), (6,), (5,), (6,), (4,))",978.787462515521
google,BBBBBBBBBBB,"((5,), (5,), (5,), (7,), (6,), (5,), (7,), (6,), (5,), (6,), (6,))",979.7509859797171
google,BBBBBBBBBBB,"((5,), (5,), (5,), (7,), (6,), (5,), (7,), (6,), (5,), (6,), (6,))",979.7509859797171
google,BBBBBBBBBBB,"((5,), (3,), (4,), (5,), (6,), (6,), (7,), (6,), (5,), (6,), (4,))",979.9217830064918
google,BBBBBBBBBBB,"((5,), (4,), (3,), (4,), (7,), (6,), (6,), (6,), (5,), (6,), (6,))",981.0248988333198
google,BBBBBBBBBBB,"((5,), (5,), (6,), (5,), (6,), (6,), (6,), (3,), (7,), (5,), (6,))",981.391513454946
google,BBBBBBBBBBB,"((5,), (3,), (4,), (5,), (6,), (6,), (7,), (6,), (4,), (6,), (6,))",982.301399638671
google,BBBBBBBBBBB,"((6,), (5,), (5,), (7,), (7,), (6,), (4,), (6,), (5,), (6,), (5,))",982.966517527575
google,BBBBBBBBBBB,"((5,), (3,), (6,), (5,), (7,), (6,), (5,), (6,), (7,), (6,), (6,))",983.3106732109353
google,BBBBBBBBBBB,"((5,), (5,), (5,), (5,), (7,), (5,), (4,), (6,), (7,), (2,), (5,))",983.8731373809585
google,BBBBBBBBBBB,"((5,), (5,), (6,), (5,), (6,), (6,), (6,), (2,), (5,), (6,), (6,))",984.1082138006434
