graph,order,freq,score
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 2), (4, 4), (4, 4), (4, 4), (4, 5), (4, 5), (4, 5), (4, 0))",1021.9082784846802
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 2), (4, 4), (4, 4), (4, 4), (4, 5), (4, 5), (4, 5), (4, 0))",1021.9082784846802
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 2), (4, 4), (4, 4), (4, 4), (4, 5), (4, 5), (4, 5), (4, 0))",1021.9082784846802
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (4, 4), (4, 1), (4, 5), (4, 5), (4, 5), (4, 0))",1024.5433948987052
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (4, 4), (4, 2), (4, 5), (4, 5), (4, 5), (3, 7))",1027.700579521068
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (4, 4), (4, 1), (4, 5), (4, 5), (4, 5), (3, 7))",1028.8193722796855
google,GGGGGGGGGGG,"((4, 5), (3, 5), (4, 2), (4, 1), (4, 4), (4, 4), (4, 4), (4, 5), (4, 5), (4, 5), (4, 0))",1034.2424890984796
google,GGGGGGGGGGG,"((3, 6), (4, 2), (3, 7), (4, 5), (4, 4), (4, 1), (4, 4), (4, 5), (4, 5), (4, 5), (4, 0))",1038.449596961234
google,GGGGGGGGGGG,"((3, 3), (4, 2), (4, 2), (4, 1), (4, 4), (4, 4), (4, 4), (4, 5), (4, 5), (4, 5), (4, 0))",1040.4112633364393
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 2), (4, 4), (4, 4), (4, 4), (4, 5), (4, 5), (2, 0), (3, 7))",1040.8923097952134
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (3, 2), (3, 7), (4, 5), (4, 5), (3, 6), (4, 0))",1040.9445288821607
google,GGGGGGGGGGG,"((4, 5), (4, 2), (4, 5), (4, 1), (4, 4), (3, 2), (3, 7), (4, 5), (4, 5), (3, 6), (4, 0))",1043.0471431326796
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 2), (4, 4), (4, 4), (4, 4), (2, 4), (4, 6), (3, 1), (3, 7))",1058.5261286573157
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (4, 4), (3, 5), (4, 5), (4, 0), (2, 6), (2, 3))",1059.2653091552786
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 3), (4, 4), (4, 4), (4, 4), (2, 4), (4, 6), (3, 1), (3, 7))",1059.7249127388939
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (4, 4), (3, 5), (2, 4), (4, 6), (3, 1), (3, 7))",1064.4302996761353
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (4, 4), (2, 1), (4, 5), (4, 0), (3, 1), (2, 5))",1066.9604034843055
google,GGGGGGGGGGG,"((3, 5), (4, 2), (3, 5), (4, 2), (3, 2), (3, 6), (2, 6), (4, 5), (4, 0), (3, 1), (3, 1))",1076.3211741548166
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 2), (4, 4), (4, 4), (3, 6), (1, 2), (4, 5), (4, 5), (4, 0))",1077.291538808824
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (4, 4), (3, 5), (3, 7), (2, 7), (4, 5), (3, 7))",1083.3496794794141
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (4, 4), (3, 5), (3, 7), (2, 7), (4, 5), (3, 7))",1083.3496794794141
google,GGGGGGGGGGG,"((3, 5), (3, 6), (3, 5), (4, 2), (3, 2), (3, 6), (2, 6), (4, 5), (4, 0), (3, 1), (4, 0))",1084.2801866366974
google,GGGGGGGGGGG,"((3, 5), (3, 6), (3, 5), (4, 2), (3, 2), (4, 4), (4, 4), (2, 4), (4, 6), (3, 1), (3, 7))",1084.9823605168851
google,GGGGGGGGGGG,"((3, 5), (3, 6), (3, 5), (4, 2), (3, 2), (4, 4), (4, 4), (2, 4), (4, 6), (3, 1), (3, 7))",1084.9823605168851
google,GGGGGGGGGGG,"((3, 5), (3, 6), (3, 5), (4, 2), (3, 2), (3, 6), (2, 6), (4, 5), (4, 0), (3, 1), (3, 7))",1088.1509414461325
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (3, 4), (4, 3), (4, 6), (2, 5), (2, 4), (4, 6), (3, 1), (4, 0))",1088.545344804823
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (4, 1), (4, 4), (3, 2), (3, 7), (2, 3), (4, 5), (1, 2), (4, 0))",1088.5869266683467
google,GGGGGGGGGGG,"((4, 6), (4, 2), (4, 2), (3, 3), (4, 4), (4, 3), (3, 5), (3, 7), (2, 7), (4, 5), (3, 7))",1091.5806163528766
