graph,order,freq,score
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",885.9645745717805
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",885.9645745717805
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",885.9645745717805
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (5,), (4,), (4,), (4,), (4,), (4,))",886.0899904417284
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (3,))",887.8013407020886
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (5,), (3,))",888.2464037724005
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (5,), (3,))",888.2464037724005
google,LLLLLLLLLLL,"((5,), (4,), (5,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (3,))",888.535767092619
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (3,), (5,), (4,), (4,), (4,), (4,), (3,))",891.4919088482138
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (5,), (2,), (5,), (4,), (4,), (4,))",895.7838595356258
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (3,), (5,), (4,), (4,), (4,), (5,), (2,))",896.2887014365616
google,LLLLLLLLLLL,"((5,), (4,), (2,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",896.914706369916
google,LLLLLLLLLLL,"((5,), (4,), (2,), (4,), (4,), (5,), (4,), (5,), (4,), (5,), (3,))",899.1965355705361
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (5,), (2,), (3,), (4,), (4,), (4,))",899.4881496974833
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (4,), (2,), (4,), (5,), (3,), (4,), (4,))",900.4379241297262
google,LLLLLLLLLLL,"((5,), (4,), (4,), (4,), (5,), (2,), (4,), (5,), (3,), (4,), (4,))",900.7308443251351
