graph,order,freq,score
google,GLLLLLLLLLL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (5,), (5,), (4,), (5,), (4,))",857.6984851019627
google,GLLLLLLLLLL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (5,), (5,), (4,), (5,), (4,))",857.6984851019627
google,GLLLLLLLLLG,"((4, 6), (4,), (4,), (4,), (4,), (5,), (5,), (5,), (4,), (5,), (3, 2))",878.4443286817824
google,GBLLLLLLLLG,"((4, 6), (6,), (4,), (4,), (4,), (4,), (5,), (4,), (4,), (5,), (3, 2))",886.9073188690307
google,GLLLGLLLLLL,"((4, 6), (4,), (4,), (4,), (3, 3), (3,), (5,), (5,), (4,), (5,), (4,))",895.7354503936537
google,GLLLLLLLLLL,"((3, 6), (4,), (4,), (4,), (0,), (5,), (5,), (4,), (4,), (5,), (4,))",902.7050156847317
google,GLLLLLLGLLL,"((3, 5), (4,), (4,), (4,), (4,), (5,), (5,), (3, 4), (4,), (5,), (4,))",904.3642904458575
google,GBGLLLLLLLL,"((4, 4), (6,), (1, 1), (4,), (4,), (4,), (5,), (5,), (4,), (5,), (4,))",926.6165320395274
google,GBLLGLBLLLL,"((4, 6), (6,), (4,), (4,), (3, 3), (3,), (3,), (5,), (4,), (5,), (4,))",930.9124821852482
google,GBLLGLBLLLB,"((4, 4), (6,), (4,), (4,), (3, 3), (3,), (3,), (5,), (4,), (5,), (7,))",950.2339861677378
google,GBLLLLLGGBL,"((4, 6), (6,), (4,), (4,), (4,), (4,), (5,), (3, 4), (3, 4), (3,), (4,))",957.0976390087013
google,GBLLLLLLLGG,"((3, 6), (6,), (4,), (4,), (4,), (5,), (5,), (5,), (4,), (3, 0), (0, 2))",959.1986251369631
google,GBGLLGLLLLL,"((4, 6), (6,), (1, 1), (4,), (4,), (3, 2), (5,), (5,), (4,), (5,), (4,))",960.4749547095248
google,GLLLLLLGLGB,"((4, 6), (4,), (4,), (4,), (4,), (5,), (5,), (2, 7), (4,), (2, 0), (3,))",962.6214473990817
google,GBGLLLLLLGG,"((4, 4), (6,), (1, 1), (4,), (4,), (4,), (5,), (5,), (3,), (4, 6), (2, 7))",968.0692047547864
google,GBLLGLLLLLL,"((4, 6), (3,), (4,), (4,), (0, 0), (5,), (5,), (5,), (4,), (5,), (4,))",968.2418030900095
google,GBBLLLLLBLL,"((4, 4), (6,), (1,), (4,), (4,), (4,), (5,), (4,), (2,), (5,), (4,))",969.251280225748
google,GBLLLLBGLGG,"((3, 6), (6,), (4,), (4,), (4,), (4,), (7,), (3, 4), (4,), (4, 7), (2, 7))",969.9615458918593
google,GBLLLLLGGBG,"((4, 6), (6,), (4,), (4,), (4,), (4,), (5,), (3, 4), (3, 4), (3,), (3, 2))",972.3569830058416
google,GBLLLLLGGBG,"((4, 6), (6,), (4,), (4,), (4,), (4,), (5,), (3, 4), (3, 4), (3,), (3, 2))",972.3569830058416
google,GLLLLLBGLGG,"((4, 6), (4,), (4,), (4,), (4,), (4,), (7,), (2, 7), (4,), (4, 7), (2, 7))",976.3833375122035
google,GBLLLLLGGBG,"((4, 4), (6,), (4,), (4,), (4,), (4,), (5,), (3, 4), (3, 4), (3,), (3, 2))",977.8943707324552
google,GBLLLLLBGLG,"((4, 6), (6,), (4,), (4,), (4,), (4,), (5,), (2,), (3, 5), (5,), (2, 7))",980.595543320274
google,GLLLLLGGLLL,"((4, 5), (4,), (4,), (4,), (0,), (5,), (3, 6), (2, 3), (4,), (5,), (4,))",984.5646239549767
google,GBGLGGLLLGB,"((4, 6), (6,), (2, 1), (4,), (3, 3), (4, 2), (5,), (5,), (4,), (2, 4), (4,))",985.5614066861104
google,GBGLLLLLLLG,"((3, 6), (3,), (0, 3), (4,), (4,), (4,), (5,), (4,), (4,), (5,), (3, 2))",987.1380823897879
google,GGGLLLLLGLL,"((4, 4), (2, 6), (4, 2), (4,), (4,), (4,), (5,), (5,), (3, 4), (3,), (4,))",988.7149173768497
google,GGGLLLLLGLL,"((4, 4), (2, 6), (4, 2), (4,), (4,), (4,), (5,), (5,), (3, 4), (3,), (4,))",988.7149173768497
google,GBGLLLLLLLG,"((4, 5), (3,), (0, 3), (4,), (4,), (4,), (5,), (4,), (4,), (5,), (3, 2))",990.1419924678495
google,GBLLLBGLLLL,"((4, 6), (6,), (4,), (4,), (4,), (3,), (0, 5), (5,), (4,), (5,), (4,))",995.5366247965796
google,GLLLGLBGLLB,"((4, 6), (4,), (4,), (4,), (3, 3), (3,), (7,), (3, 1), (4,), (5,), (1,))",996.0577510011146
google,GLLLLLLGLLG,"((4, 6), (4,), (4,), (4,), (4,), (5,), (5,), (3, 4), (0,), (5,), (3, 2))",998.9785810284801
google,GBLLLBGGGLG,"((4, 6), (6,), (4,), (4,), (4,), (3,), (3, 4), (3, 4), (3, 4), (5,), (3, 2))",1006.0759725533176
google,GBGLLLLLLGG,"((4, 5), (3,), (0, 3), (4,), (4,), (4,), (5,), (4,), (4,), (4, 7), (2, 7))",1008.5583089232538
google,GGLBBLLLGLL,"((3, 6), (3, 4), (4,), (6,), (1,), (5,), (5,), (5,), (3, 4), (3,), (4,))",1010.5405383218216
google,GBLBLLLGGBB,"((4, 6), (6,), (4,), (7,), (4,), (4,), (5,), (3, 4), (3, 4), (3,), (4,))",1017.6995021641893
google,GLLLGGBGLGG,"((3, 6), (4,), (4,), (4,), (3, 3), (4, 3), (7,), (3, 6), (4,), (3, 6), (1, 5))",1017.8313216916104
google,GBGLLLLLLGG,"((4, 4), (6,), (1, 1), (4,), (4,), (4,), (5,), (5,), (4,), (4, 6), (0, 1))",1018.5097327638224
google,GBLBGLBGLLG,"((4, 6), (6,), (4,), (6,), (4, 0), (4,), (7,), (3, 4), (4,), (5,), (3, 2))",1020.674926590823
google,GLLBGLLLGLL,"((4, 6), (5,), (4,), (2,), (3, 0), (4,), (5,), (5,), (3, 4), (3,), (4,))",1023.1705618332672
google,GLGLGGLLLLL,"((2, 2), (4,), (4, 0), (4,), (1, 0), (4, 2), (5,), (5,), (4,), (5,), (4,))",1033.6394475881661
google,GLGLGLBGLGG,"((4, 6), (4,), (4, 0), (4,), (3, 3), (3,), (7,), (3, 4), (3,), (4, 7), (2, 7))",1036.6065892508705
google,GLBLGLBGLGL,"((4, 4), (4,), (7,), (4,), (3, 3), (3,), (2,), (3, 3), (4,), (1, 0), (4,))",1037.432704196977
google,GBLBLLBGLGL,"((4, 6), (6,), (4,), (6,), (4,), (4,), (7,), (1, 5), (4,), (2, 6), (4,))",1039.8579445273554
google,GLBLGLBGLGL,"((4, 4), (4,), (7,), (4,), (3, 3), (3,), (2,), (3, 0), (4,), (1, 7), (4,))",1040.3544682953213
google,GBLBBLBGLGG,"((4, 6), (6,), (4,), (6,), (1,), (4,), (7,), (3, 4), (3,), (4, 7), (2, 7))",1049.268685580193
