graph,order,freq,score
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (6,), (7,), (7,), (5,), (6,), (6,), (6,), (5,), (6,), (6,))",526.1596450516588
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (6,), (7,), (7,), (5,), (6,), (6,), (6,), (5,), (6,), (6,))",526.1596450516588
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (6,), (7,), (7,), (5,), (6,), (6,), (6,), (5,), (6,), (6,))",526.1596450516588
mobile,BBBBBBBBBBBBBB,"((7,), (6,), (6,), (6,), (6,), (7,), (7,), (5,), (6,), (6,), (6,), (5,), (6,), (6,))",526.4624820817731
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (6,), (6,), (7,), (6,), (6,), (6,), (4,), (6,), (6,), (5,))",529.5741625256215
mobile,BBBBBBBBBBBBBB,"((7,), (4,), (6,), (6,), (6,), (7,), (7,), (5,), (6,), (6,), (6,), (5,), (6,), (6,))",530.1103842937167
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (5,), (6,), (7,), (5,), (6,), (6,), (5,), (5,), (4,), (5,))",532.0202783372243
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (5,), (6,), (7,), (5,), (6,), (6,), (5,), (5,), (4,), (5,))",532.0202783372243
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (5,), (6,), (7,), (5,), (6,), (6,), (5,), (5,), (4,), (5,))",532.0202783372243
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (5,), (6,), (7,), (5,), (6,), (6,), (5,), (5,), (4,), (5,))",532.0202783372243
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (5,), (6,), (6,), (6,), (7,), (6,), (5,), (6,), (4,), (4,), (6,), (5,))",532.6710650558878
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (5,), (6,), (6,), (6,), (7,), (6,), (5,), (6,), (4,), (4,), (6,), (5,))",532.6710650558878
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (4,), (7,), (5,), (5,), (6,), (6,), (6,), (7,), (6,), (5,))",532.7301095904696
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (6,), (7,), (7,), (5,), (6,), (6,), (3,), (5,), (6,), (6,))",533.1028069024825
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (5,), (6,), (6,), (7,), (7,), (7,), (5,), (6,), (6,), (5,), (4,), (5,))",533.2968817541691
mobile,BBBBBBBBBBBBBB,"((7,), (6,), (6,), (7,), (6,), (6,), (7,), (7,), (6,), (6,), (5,), (5,), (4,), (5,))",534.049674407105
mobile,BBBBBBBBBBBBBB,"((6,), (7,), (6,), (6,), (5,), (6,), (7,), (5,), (6,), (4,), (5,), (5,), (4,), (5,))",534.8118692336701
mobile,BBBBBBBBBBBBBB,"((7,), (6,), (6,), (7,), (4,), (6,), (7,), (6,), (5,), (6,), (4,), (5,), (6,), (5,))",534.8155576109839
mobile,BBBBBBBBBBBBBB,"((6,), (7,), (5,), (6,), (6,), (7,), (7,), (5,), (6,), (6,), (6,), (7,), (3,), (5,))",534.8674315294842
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (4,), (6,), (6,), (7,), (7,), (5,), (6,), (6,), (6,), (7,), (3,), (5,))",536.8171552851044
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (4,), (7,), (5,), (5,), (5,), (6,), (4,), (6,), (4,), (5,))",537.7571904181706
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (5,), (6,), (6,), (7,), (7,), (7,), (5,), (6,), (3,), (6,), (5,), (7,))",539.0233593217213
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (5,), (7,), (5,), (5,), (5,), (6,), (3,), (5,), (5,), (7,))",539.271165030495
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (4,), (6,), (6,), (7,), (5,), (5,), (5,), (6,), (3,), (6,), (5,), (7,))",539.9967123053616
mobile,BBBBBBBBBBBBBB,"((7,), (6,), (6,), (3,), (6,), (7,), (7,), (5,), (6,), (5,), (5,), (5,), (4,), (5,))",540.1493971697324
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (7,), (4,), (7,), (7,), (7,), (5,), (6,), (3,), (5,), (6,), (6,))",540.5070266416858
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (6,), (7,), (7,), (7,), (5,), (6,), (6,), (5,), (4,), (3,))",540.5543434103713
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (5,), (6,), (6,), (7,), (7,), (7,), (5,), (6,), (6,), (5,), (4,), (3,))",541.0525074468927
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (5,), (6,), (6,), (7,), (7,), (7,), (5,), (6,), (6,), (5,), (4,), (3,))",541.0525074468927
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (4,), (7,), (5,), (5,), (5,), (6,), (3,), (6,), (5,), (7,))",541.128108287415
