graph,order,freq,score
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (4, 3))",676.6711330006011
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (4, 3))",676.6711330006011
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (4, 3))",676.6711330006011
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 3), (4, 4), (4, 3))",676.8008170456902
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 5), (4, 4))",677.900324157902
mobile,GGGGGGGGGGGGGG,"((4, 7), (3, 2), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 3), (4, 4), (4, 3))",682.475190593245
mobile,GGGGGGGGGGGGGG,"((4, 7), (3, 6), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (4, 3))",682.7180142358644
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (3, 1), (4, 3), (4, 4), (3, 0), (4, 3))",686.712322282682
mobile,GGGGGGGGGGGGGG,"((4, 7), (3, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (4, 3), (3, 5), (4, 3), (4, 5), (4, 4))",689.6321624863958
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 0), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 2), (3, 2), (4, 3), (4, 5), (4, 4))",690.3409129057596
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 0), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 2), (3, 2), (4, 3), (4, 5), (4, 4))",690.3409129057596
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 0), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 2), (3, 2), (4, 3), (4, 5), (4, 4))",690.3409129057596
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 4), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 1))",690.5591657003981
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 1))",690.8007445849126
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (4, 4), (4, 2), (4, 3), (4, 4), (4, 4), (3, 1))",691.2565090221794
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (3, 2), (4, 3), (4, 5), (4, 4), (3, 1), (4, 3), (4, 4), (3, 0), (4, 3))",691.3298057312819
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (3, 2), (4, 3), (4, 5), (4, 4), (3, 1), (4, 3), (4, 4), (3, 0), (4, 3))",691.3298057312819
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 3), (4, 4), (4, 3), (3, 2), (3, 2), (4, 4), (4, 3), (3, 3), (4, 3), (4, 4), (4, 6))",691.5729511651813
mobile,GGGGGGGGGGGGGG,"((4, 7), (3, 2), (4, 1), (4, 4), (4, 4), (4, 1), (4, 5), (3, 2), (4, 4), (4, 3), (4, 6), (4, 3), (4, 4), (4, 6))",692.6242418749807
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 1), (4, 4), (4, 4), (3, 4), (4, 3), (4, 4), (4, 4), (3, 2), (3, 2), (4, 3), (4, 5), (4, 4))",693.0283250125055
mobile,GGGGGGGGGGGGGG,"((4, 7), (3, 2), (4, 1), (4, 4), (4, 4), (4, 4), (4, 3), (4, 4), (4, 4), (3, 2), (3, 2), (4, 3), (4, 5), (4, 4))",693.6646599761539
mobile,GGGGGGGGGGGGGG,"((2, 6), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 2), (3, 2), (4, 3), (4, 5), (4, 4))",693.8379334172707
mobile,GGGGGGGGGGGGGG,"((4, 6), (4, 3), (3, 3), (4, 4), (4, 4), (4, 1), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 6))",695.4358263536369
mobile,GGGGGGGGGGGGGG,"((4, 7), (3, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 1))",696.1990399133696
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 2), (4, 1), (4, 4), (4, 4), (4, 2), (3, 7), (3, 7), (4, 5), (4, 3), (4, 2), (3, 2), (3, 1), (4, 1))",696.2082958687357
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (3, 3), (4, 4), (4, 4), (4, 1), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 1))",696.280171673942
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 1), (4, 4), (4, 4), (3, 4), (4, 3), (4, 0), (4, 5), (3, 2), (3, 4), (4, 4), (4, 2), (4, 4))",696.319460071438
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 1), (4, 4), (4, 4), (3, 4), (4, 3), (4, 0), (4, 5), (3, 2), (3, 4), (4, 4), (4, 2), (4, 4))",696.319460071438
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 1), (4, 4), (4, 4), (3, 4), (4, 3), (4, 0), (4, 5), (3, 2), (3, 4), (4, 4), (4, 2), (4, 4))",696.319460071438
mobile,GGGGGGGGGGGGGG,"((4, 7), (4, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 5), (3, 3), (4, 3), (4, 3), (4, 3), (3, 2), (3, 1))",696.5361535462677
mobile,GGGGGGGGGGGGGG,"((4, 7), (3, 3), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 4), (3, 7), (3, 2), (4, 3), (4, 4), (3, 6), (4, 4))",696.6242115611237
mobile,GGGGGGGGGGGGGG,"((4, 7), (3, 2), (4, 1), (4, 4), (4, 4), (4, 2), (4, 3), (4, 5), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 1))",697.3540709870106
mobile,GGGGGGGGGGGGGG,"((4, 7), (3, 2), (4, 1), (4, 4), (4, 4), (4, 1), (4, 5), (4, 0), (4, 5), (3, 2), (3, 4), (4, 4), (4, 2), (4, 4))",698.7923722970982
mobile,GGGGGGGGGGGGGG,"((4, 5), (4, 0), (4, 5), (4, 4), (4, 4), (4, 3), (4, 3), (4, 4), (4, 4), (3, 2), (3, 2), (4, 3), (4, 5), (4, 4))",699.2193358699651
