graph,order,freq,score
mobile,LLLLLLLLLLLLLL,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (4,))",478.95708135710225
mobile,LLLLLLLLLLLLLL,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (4,))",478.95708135710225
mobile,LLLLLLLLLLLLLL,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (4,))",478.95708135710225
mobile,LLLLLLLLLLLLLL,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (5,))",479.6140622917054
mobile,LLLLLLLLLLLLLL,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (3,))",481.77551068318814
mobile,LLLLLLLLLLLLLL,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (3,), (3,), (4,), (4,), (4,))",484.42576007204394
mobile,LLLLLLLLLLLLLL,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (2,), (4,))",485.19561003704706
mobile,LLLLLLLLLLLLLL,"((5,), (4,), (4,), (4,), (5,), (5,), (5,), (4,), (4,), (3,), (5,), (4,), (4,), (4,))",486.9227574137029
mobile,LLLLLLLLLLLLLL,"((5,), (4,), (5,), (4,), (5,), (3,), (4,), (5,), (5,), (4,), (4,), (5,), (5,), (4,))",487.23098893459974
mobile,LLLLLLLLLLLLLL,"((5,), (3,), (5,), (4,), (5,), (5,), (5,), (5,), (5,), (3,), (4,), (5,), (5,), (4,))",487.7218602243557
mobile,LLLLLLLLLLLLLL,"((5,), (3,), (5,), (4,), (5,), (5,), (5,), (4,), (4,), (3,), (4,), (5,), (5,), (4,))",488.19781188422917
mobile,LLLLLLLLLLLLLL,"((5,), (4,), (4,), (4,), (5,), (5,), (5,), (5,), (5,), (2,), (4,), (5,), (5,), (4,))",489.56495576589634
