graph,order,freq,score
mobile,GLLLLLLLLLLLLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (4,))",443.24553318276156
mobile,GLLLLLLLLLLLLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (4,))",443.24553318276156
mobile,GLLLLLLGLLLLLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (3, 0), (5,), (4,), (4,), (5,), (5,), (4,))",487.56580359114713
mobile,GLLLLLLGLLLLLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (3, 0), (5,), (4,), (4,), (5,), (5,), (4,))",487.56580359114713
mobile,GLLLLLLGLLLLLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (3, 0), (5,), (4,), (4,), (5,), (5,), (4,))",487.56580359114713
mobile,GLLLLGLLLLLLLL,"((2, 6), (5,), (5,), (5,), (5,), (2, 0), (5,), (5,), (5,), (3,), (2,), (5,), (5,), (4,))",493.8564521735198
mobile,GLLLLGLLLLLLLL,"((2, 6), (5,), (5,), (5,), (5,), (2, 0), (5,), (5,), (5,), (3,), (2,), (5,), (5,), (4,))",493.8564521735198
mobile,GLLLLLLLLGLLLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (2, 1), (4,), (5,), (5,), (4,))",497.3534203803044
mobile,GLLLLLLLLGLLLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (2, 1), (4,), (5,), (5,), (4,))",497.3534203803044
mobile,GBBLGLLLLLLLLL,"((2, 6), (7,), (6,), (5,), (1, 1), (5,), (5,), (5,), (5,), (3,), (4,), (5,), (5,), (4,))",500.64663803704553
mobile,BLLLLLLLLBLLLL,"((6,), (5,), (5,), (2,), (4,), (5,), (5,), (5,), (5,), (7,), (2,), (5,), (5,), (3,))",500.93257682542765
mobile,BLLLLLLLLLLGLL,"((6,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (3, 7), (5,), (4,))",501.14642431223564
mobile,GBGLLLLLLLLLLL,"((2, 6), (4,), (1, 1), (5,), (5,), (5,), (4,), (5,), (5,), (3,), (4,), (3,), (5,), (4,))",503.0794917939066
mobile,GLLLLLLLLGLLLL,"((2, 6), (5,), (5,), (5,), (5,), (2,), (5,), (5,), (5,), (2, 1), (4,), (5,), (5,), (4,))",506.5640744805765
mobile,BLLLLLLGLLLLLL,"((6,), (5,), (5,), (2,), (4,), (5,), (5,), (3, 0), (5,), (4,), (4,), (5,), (5,), (3,))",509.6248224823795
mobile,BLLLLLLGLLLLLL,"((6,), (5,), (5,), (2,), (4,), (5,), (5,), (3, 0), (5,), (4,), (4,), (5,), (5,), (3,))",509.6248224823795
mobile,BLLLLLLGLLLLLL,"((6,), (5,), (5,), (2,), (4,), (5,), (5,), (3, 0), (5,), (4,), (4,), (5,), (5,), (3,))",509.6248224823795
mobile,GBGLLLLLLLLLLL,"((2, 6), (2,), (1, 1), (5,), (5,), (5,), (4,), (5,), (5,), (3,), (4,), (3,), (5,), (4,))",511.04386535027106
mobile,GBBLLLLGLLLLLL,"((2, 6), (6,), (7,), (2,), (4,), (5,), (5,), (3, 0), (5,), (4,), (4,), (5,), (5,), (3,))",513.4282258981436
mobile,GLLLLLLLLGLLBB,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4, 7), (4,), (4,), (7,), (5,))",516.3734439112419
mobile,GLLLGLLLLBLLLL,"((2, 6), (5,), (5,), (5,), (2, 1), (5,), (5,), (5,), (5,), (7,), (2,), (5,), (5,), (4,))",516.4217800844438
mobile,GLLLGLLLLBLLLL,"((2, 6), (5,), (5,), (5,), (2, 1), (5,), (5,), (5,), (5,), (7,), (2,), (5,), (5,), (4,))",516.4217800844438
mobile,GLLLGLLLLBLLLL,"((2, 6), (5,), (5,), (5,), (2, 1), (5,), (5,), (5,), (5,), (7,), (2,), (5,), (5,), (4,))",516.4217800844438
mobile,GLBLLLLLLBLLLL,"((2, 6), (5,), (4,), (5,), (5,), (5,), (5,), (5,), (5,), (7,), (2,), (5,), (5,), (4,))",517.7256799548264
mobile,GLBLGLLLLLLLLL,"((2, 6), (5,), (4,), (5,), (2, 4), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (4,))",519.2250747438354
mobile,GLBLGLLLLLLLLL,"((2, 6), (5,), (4,), (5,), (2, 4), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (4,))",519.2250747438354
mobile,GLLLLLLLGLLLLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (1, 2), (4,), (4,), (5,), (5,), (5,))",519.6223812472176
mobile,GLLLLLLGLLLBLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (3, 0), (5,), (3,), (2,), (7,), (5,), (4,))",520.8168766251486
mobile,BLLLLLLGLLLLLL,"((6,), (5,), (5,), (2,), (4,), (5,), (5,), (3, 2), (5,), (4,), (1,), (5,), (5,), (4,))",521.393338743224
mobile,BLLLLLLGLLLLLL,"((6,), (5,), (5,), (2,), (4,), (5,), (5,), (3, 2), (5,), (4,), (1,), (5,), (5,), (4,))",521.393338743224
mobile,GBBLLLLLLGLLLL,"((2, 6), (6,), (7,), (5,), (5,), (3,), (5,), (5,), (5,), (2, 1), (1,), (5,), (5,), (4,))",524.1181927063798
mobile,BLLLLLLLLGBLLL,"((6,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (2, 1), (3,), (5,), (5,), (4,))",524.7846460369246
mobile,GLLLGLLGLLLLLL,"((2, 6), (5,), (5,), (5,), (2, 1), (5,), (5,), (3, 0), (5,), (4,), (4,), (4,), (5,), (4,))",525.3733311430777
mobile,GBBLLGLLLLLBLL,"((2, 6), (7,), (6,), (5,), (5,), (2, 2), (5,), (5,), (5,), (3,), (2,), (7,), (5,), (4,))",525.5182667162188
mobile,GBBLLGLLLLLBLL,"((2, 6), (5,), (6,), (5,), (5,), (2, 2), (5,), (5,), (5,), (3,), (2,), (7,), (5,), (4,))",526.6211323558689
mobile,GLLLLGLLLGLLLL,"((2, 6), (5,), (5,), (5,), (5,), (2, 0), (5,), (5,), (5,), (3, 1), (4,), (5,), (5,), (4,))",529.8405395964093
mobile,GLLLLBLLLLLLGL,"((2, 6), (5,), (5,), (5,), (5,), (1,), (5,), (5,), (5,), (3,), (4,), (5,), (2, 1), (4,))",532.2384158451188
mobile,GLLLLLLLLGLLGL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (2, 1), (4,), (5,), (2, 1), (4,))",534.2455409771878
mobile,GBGLLGLLLLLLLL,"((2, 6), (4,), (4, 7), (5,), (5,), (1, 5), (5,), (5,), (5,), (3,), (4,), (5,), (5,), (4,))",534.5222695921775
mobile,GLLLLLLGLLLGLL,"((2, 6), (5,), (5,), (5,), (5,), (5,), (5,), (3, 0), (5,), (4,), (4,), (3, 2), (5,), (4,))",534.917100383771
mobile,GBLLLLLLLGLLLL,"((2, 6), (4,), (5,), (2,), (4,), (3,), (5,), (5,), (5,), (2, 1), (1,), (5,), (5,), (4,))",536.7220179209837
mobile,GBBLGLLLLLLLGL,"((2, 6), (7,), (6,), (5,), (1, 1), (5,), (5,), (5,), (5,), (3,), (4,), (5,), (2, 1), (4,))",537.538758633929
mobile,GBBLGLLLLBLLLL,"((2, 6), (7,), (6,), (5,), (4, 4), (5,), (5,), (5,), (5,), (7,), (2,), (5,), (5,), (1,))",538.1034155045948
mobile,GBBLLGLLLLLBLL,"((2, 6), (6,), (7,), (5,), (5,), (1, 5), (5,), (5,), (5,), (3,), (2,), (7,), (5,), (4,))",538.7675316367809
mobile,GBGLLGLLLLLLLL,"((2, 6), (4,), (4, 7), (5,), (5,), (1, 5), (5,), (5,), (5,), (3,), (2,), (5,), (5,), (4,))",541.1151896390312
mobile,GBGLLGLLLLLLLL,"((2, 6), (4,), (4, 7), (5,), (5,), (1, 5), (5,), (5,), (5,), (3,), (2,), (5,), (5,), (4,))",541.1151896390312
mobile,GLLLLGLLLLLLBB,"((2, 6), (5,), (5,), (5,), (5,), (1, 2), (5,), (5,), (5,), (3,), (4,), (1,), (7,), (5,))",542.3392289551236
mobile,GLLLLGLLLLLLBB,"((2, 6), (5,), (5,), (5,), (5,), (1, 2), (5,), (5,), (5,), (3,), (4,), (1,), (7,), (5,))",542.3392289551236
mobile,GBLLLLLLLGLLLL,"((2, 6), (2,), (5,), (2,), (4,), (3,), (5,), (5,), (5,), (2, 1), (1,), (5,), (5,), (4,))",543.6373420912148
mobile,GLLLLGLLBLLLLL,"((4, 6), (5,), (5,), (5,), (5,), (1, 7), (5,), (5,), (3,), (3,), (2,), (5,), (5,), (4,))",545.5985928276073
