graph,order,freq,score
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",696.992500246226
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",696.992500246226
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",696.992500246226
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (2, 5), (7,))",698.060199363538
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 6), (3, 3), (3, 4), (7,))",700.2418441856908
alex,GGGGGGGB,"((3, 6), (3, 2), (3, 2), (4, 4), (3, 6), (3, 3), (3, 4), (7,))",701.1315995480747
alex,GGGGGGGB,"((3, 6), (3, 0), (3, 2), (4, 4), (3, 6), (3, 3), (2, 3), (7,))",702.9821676973788
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3, 4), (2,))",703.3420672364629
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 6), (2, 7), (3, 4), (7,))",711.454529522062
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 6), (2, 7), (3, 4), (7,))",711.454529522062
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 6), (3, 3), (2, 3), (4, 3))",712.1374283214645
alex,GGGGGGBB,"((3, 6), (3, 2), (4, 3), (4, 4), (4, 2), (2, 6), (3,), (7,))",712.1726452855083
alex,GGGGGGGG,"((3, 6), (3, 2), (3, 2), (4, 4), (3, 6), (3, 3), (2, 3), (4, 3))",713.0271836838488
alex,GGGGGGGG,"((3, 6), (3, 2), (3, 2), (4, 4), (3, 6), (3, 3), (2, 3), (4, 3))",713.0271836838488
alex,GGGGGGGG,"((3, 6), (3, 2), (3, 2), (4, 4), (3, 6), (3, 3), (2, 3), (4, 3))",713.0271836838488
alex,GGGGGGGB,"((3, 6), (3, 4), (4, 1), (4, 0), (2, 1), (3, 3), (3, 4), (7,))",714.2107831649241
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 3), (2, 4), (3, 6), (3, 2), (3, 4), (7,))",715.8172827671215
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 3), (2, 2), (3, 6), (3, 3), (2, 5), (7,))",716.3176535195704
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 3), (2, 2), (3, 6), (3, 3), (2, 5), (7,))",716.3176535195704
alex,GGGGGGGB,"((3, 6), (3, 4), (4, 3), (4, 4), (4, 2), (3, 3), (1, 0), (7,))",716.4428660219015
alex,GGGGGGGB,"((3, 6), (3, 4), (4, 3), (4, 4), (4, 2), (3, 3), (1, 0), (7,))",716.4428660219015
alex,GGGGGGGB,"((3, 6), (3, 4), (4, 3), (4, 4), (4, 2), (3, 3), (1, 0), (7,))",716.4428660219015
alex,GGGGGGGB,"((3, 6), (3, 4), (4, 3), (4, 4), (4, 2), (3, 3), (1, 0), (7,))",716.4428660219015
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 5), (4, 0), (3, 1), (7,))",718.1983732553301
alex,GGGGGGGB,"((2, 6), (3, 2), (4, 2), (4, 4), (3, 6), (3, 3), (3, 4), (7,))",718.8166851550067
alex,GGGGGGGB,"((2, 6), (3, 2), (4, 2), (4, 4), (3, 6), (3, 3), (3, 4), (7,))",718.8166851550067
alex,GGGGGGGG,"((3, 4), (3, 2), (3, 2), (4, 4), (3, 6), (3, 3), (2, 3), (4, 3))",720.4044734209349
alex,GGGGGGGB,"((3, 4), (3, 2), (4, 3), (2, 4), (3, 6), (3, 3), (2, 5), (7,))",721.2673753406424
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 3), (2, 2), (2, 0), (3, 3), (3, 4), (7,))",723.7587815116168
alex,GGGGGGLB,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (3,), (7,))",726.5392244785141
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 3), (4, 4), (4, 2), (3, 3), (3, 4), (1, 1))",726.6432356941897
alex,GGGGGGBG,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (2, 6), (3,), (4, 3))",728.3036622212123
alex,GGGGGGBG,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (2, 6), (3,), (4, 3))",728.3036622212123
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 0), (1, 4), (3, 4), (7,))",729.5841986805004
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (1, 3), (3, 0), (3, 3), (3, 4), (7,))",731.0105822441558
alex,GGGGGGBG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 5), (2, 6), (3,), (4, 1))",732.0362301008078
alex,GGGGGGBG,"((3, 6), (3, 2), (3, 2), (4, 4), (3, 6), (2, 6), (3,), (4, 3))",732.2694113229711
alex,GGGGGGBG,"((3, 6), (3, 2), (3, 2), (4, 4), (3, 6), (2, 6), (3,), (4, 3))",732.2694113229711
alex,GGGGGGBG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 6), (2, 6), (3,), (4, 1))",732.4045673547811
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 3), (4, 4), (4, 2), (3, 3), (1, 1), (1, 7))",732.5413680034796
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 3), (4, 4), (4, 2), (3, 3), (1, 1), (1, 7))",732.5413680034796
alex,GGGGGGGB,"((2, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (1, 0), (7,))",733.1087832448125
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (3, 3), (1, 0), (1, 3))",733.7935351852476
alex,GGGGGGGB,"((2, 6), (3, 2), (4, 3), (2, 2), (3, 6), (3, 3), (3, 4), (7,))",733.8247953715743
alex,GGGGGGGB,"((2, 6), (3, 2), (4, 3), (2, 2), (3, 6), (3, 3), (3, 4), (7,))",733.8247953715743
alex,GGGGGGBG,"((3, 5), (3, 2), (4, 2), (4, 4), (3, 6), (2, 6), (3,), (4, 1))",734.3038729251074
alex,GGGGBGGB,"((3, 5), (3, 4), (4, 3), (4, 4), (5,), (3, 3), (1, 0), (7,))",734.4659197358538
alex,GGGGGGBB,"((3, 6), (2, 4), (4, 2), (4, 4), (4, 2), (3, 3), (3,), (7,))",734.7171752107604
alex,GGGGGGBB,"((3, 6), (2, 4), (4, 2), (4, 4), (4, 2), (3, 3), (3,), (7,))",734.7171752107604
alex,GGGGGGBB,"((3, 6), (2, 4), (4, 2), (4, 4), (4, 2), (3, 3), (3,), (7,))",734.7171752107604
alex,GGGGGGGB,"((2, 6), (3, 2), (4, 3), (2, 2), (3, 6), (3, 3), (2, 5), (7,))",734.8924944888863
alex,GGGGGGGB,"((3, 6), (2, 4), (4, 1), (4, 0), (3, 6), (3, 3), (3, 4), (7,))",735.0860458062954
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 4), (3, 3), (3, 4), (0, 4))",735.7965958894276
alex,GGGGGGBG,"((3, 5), (3, 0), (4, 2), (4, 4), (3, 6), (2, 6), (3,), (4, 1))",735.9469782830823
alex,GGGGGGGB,"((3, 6), (2, 4), (4, 1), (4, 0), (3, 7), (3, 3), (3, 4), (7,))",736.012036885959
alex,GGGGGGBB,"((3, 6), (3, 2), (4, 3), (2, 4), (3, 6), (2, 6), (3,), (2,))",736.2878310664868
alex,GGGGGGGB,"((3, 6), (2, 4), (4, 3), (4, 4), (3, 6), (3, 7), (3, 4), (7,))",737.6987496733544
alex,GGGGGGBB,"((3, 2), (3, 0), (4, 2), (4, 4), (4, 2), (3, 3), (3,), (2,))",738.7877515443515
alex,GGLGGGGB,"((3, 6), (3, 2), (3,), (4, 4), (4, 2), (3, 3), (3, 4), (7,))",738.8155613494166
alex,GGGGGGBB,"((3, 6), (2, 4), (4, 1), (4, 0), (4, 2), (3, 3), (3,), (7,))",738.9787262184353
alex,GGGGGGGB,"((3, 6), (2, 4), (4, 2), (3, 0), (4, 2), (3, 3), (3, 4), (2,))",741.2683516389043
alex,GGGGGGGB,"((3, 6), (2, 4), (4, 2), (3, 0), (4, 2), (3, 7), (3, 4), (7,))",741.5079403361391
alex,GGGGGGGB,"((3, 6), (2, 4), (4, 2), (3, 0), (4, 2), (3, 7), (3, 4), (7,))",741.5079403361391
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (2, 6), (4, 7), (1, 0))",742.2162734954269
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (4, 2), (2, 6), (4, 7), (1, 0))",742.2162734954269
alex,GGGGGGGB,"((3, 6), (2, 4), (4, 1), (3, 0), (4, 2), (3, 7), (3, 3), (7,))",742.6270733073994
alex,GGGGGGGG,"((2, 6), (3, 2), (4, 3), (2, 2), (3, 6), (3, 3), (3, 4), (3, 4))",743.1938458976957
alex,GGGGGGGG,"((3, 6), (2, 4), (4, 1), (4, 0), (3, 6), (3, 3), (3, 3), (4, 3))",744.045943038559
alex,GGGGGGBL,"((3, 5), (3, 2), (4, 3), (2, 4), (3, 6), (3, 7), (3,), (3,))",744.4294637462364
alex,GGGGGGGB,"((3, 6), (3, 2), (2, 2), (1, 5), (3, 0), (3, 3), (3, 4), (7,))",744.9715451763025
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 6), (2, 7), (1, 1), (1, 7))",746.0011239918888
alex,GGGGGGGB,"((3, 6), (3, 2), (2, 2), (1, 5), (4, 2), (3, 3), (3, 4), (2,))",746.8260602896795
