graph,order,freq,score
google,GBBBBBBBBGG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (4, 4), (4, 1))",965.4737745121018
google,GBBBBBBBBGG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (4, 4), (4, 1))",965.4737745121018
google,GBBBBBBBBGG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (4, 4), (4, 1))",965.4737745121018
google,GBBBBBBBBGG,"((4, 6), (5,), (5,), (5,), (4,), (6,), (5,), (5,), (5,), (4, 4), (3, 0))",978.8179706601969
google,GBBBBBBBGGG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (4, 7), (4, 4), (4, 1))",980.5431126079418
google,GBBBBBBBBGG,"((4, 6), (5,), (4,), (7,), (6,), (6,), (5,), (5,), (5,), (4, 4), (4, 1))",983.5159284012786
google,GBBBBBBBGBG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (7,), (4, 7), (4,), (4, 1))",997.6269225416597
google,GBBBBBGGBGG,"((4, 6), (5,), (5,), (5,), (4,), (6,), (3, 0), (4, 2), (5,), (4, 4), (4, 1))",1008.1911474913388
google,GBBBGBBBBGG,"((4, 6), (5,), (5,), (5,), (1, 7), (6,), (5,), (5,), (5,), (4, 4), (4, 1))",1017.3908112500611
google,GBBBGBBBBGG,"((4, 6), (5,), (5,), (5,), (1, 7), (6,), (5,), (5,), (5,), (3, 3), (4, 1))",1019.8488799236887
google,GBBBBBBBGBB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (4, 1), (1,), (2,))",1020.22610034916
google,GBGBBBBBGBG,"((4, 6), (5,), (3, 5), (5,), (6,), (6,), (5,), (7,), (4, 7), (4,), (4, 6))",1025.513911770982
google,GBBBGBBBBGG,"((4, 6), (5,), (5,), (5,), (1, 7), (6,), (5,), (5,), (5,), (2, 3), (3, 7))",1026.7538227890877
google,GGBBBBBBGBB,"((3, 6), (4, 5), (5,), (5,), (6,), (6,), (5,), (5,), (4, 1), (1,), (2,))",1028.803918182245
google,GBGBBBBBGBG,"((4, 4), (5,), (3, 5), (5,), (6,), (6,), (5,), (7,), (4, 7), (4,), (4, 6))",1032.0158736338476
google,GBBBBBGBGGG,"((4, 6), (5,), (5,), (7,), (4,), (6,), (4, 2), (7,), (4, 7), (3, 0), (3, 7))",1032.5772575460448
google,GBGBBGBBBGG,"((4, 4), (5,), (4, 2), (5,), (6,), (2, 2), (5,), (5,), (5,), (4, 4), (4, 1))",1035.2071210887805
google,GGBBBGGGBBG,"((4, 6), (4, 5), (5,), (5,), (4,), (3, 6), (3, 4), (3, 3), (7,), (4,), (4, 1))",1037.6428854322705
google,GBBBBBBBGBB,"((4, 6), (5,), (4,), (7,), (6,), (6,), (5,), (5,), (4, 1), (1,), (2,))",1038.2682542383368
google,GBBBBBGGBGG,"((4, 6), (5,), (1,), (5,), (6,), (6,), (3, 5), (4, 2), (5,), (4, 4), (4, 1))",1039.534996856802
google,GBBBBBGGBGG,"((4, 6), (5,), (1,), (5,), (6,), (6,), (3, 5), (4, 2), (5,), (4, 4), (4, 1))",1039.534996856802
google,GGBBBBBGBGG,"((3, 6), (4, 5), (5,), (5,), (6,), (6,), (5,), (2, 4), (7,), (1, 6), (4, 4))",1039.6886476984162
google,GBBBBGBBGBG,"((4, 6), (5,), (5,), (4,), (6,), (2, 7), (5,), (7,), (4, 7), (4,), (4, 0))",1040.409330374053
google,GBBBGGGGBGG,"((4, 6), (5,), (4,), (5,), (3, 5), (4, 6), (3, 5), (4, 2), (7,), (4, 4), (4, 0))",1040.6303472203115
google,GBBBBBBBGBB,"((4, 6), (6,), (4,), (7,), (6,), (6,), (5,), (5,), (4, 1), (1,), (2,))",1041.076500174911
google,GBBBBBBBBGG,"((4, 4), (1,), (5,), (7,), (6,), (6,), (5,), (5,), (5,), (4, 4), (4, 0))",1041.6053599181344
google,GBBBBBGGBBG,"((4, 6), (5,), (1,), (5,), (6,), (6,), (3, 5), (4, 2), (5,), (4,), (4, 4))",1042.448190319913
google,GGBBBBBGBGG,"((3, 6), (4, 5), (5,), (5,), (4,), (6,), (6,), (2, 4), (7,), (1, 6), (4, 4))",1043.9181514236452
google,GBBBBBGGBGG,"((4, 6), (5,), (5,), (5,), (4,), (6,), (3, 0), (1, 3), (5,), (4, 4), (4, 1))",1048.7418853592314
google,GBBBBGBGBBG,"((4, 7), (5,), (4,), (5,), (6,), (2, 1), (5,), (3, 5), (7,), (2,), (4, 1))",1050.1015853903568
google,GGBBBGGGBGG,"((3, 6), (4, 5), (5,), (5,), (6,), (2, 7), (3, 5), (4, 2), (7,), (4, 4), (4, 0))",1052.4211391523872
google,GBBBBBBBGLG,"((4, 6), (5,), (4,), (7,), (1,), (6,), (5,), (5,), (4, 1), (5,), (4, 1))",1054.801845536962
google,GGBGBBGBGGG,"((3, 6), (4, 5), (5,), (3, 7), (6,), (6,), (2, 6), (5,), (4, 5), (4, 4), (4, 1))",1057.1665407738424
google,GGBGBBGBGGG,"((3, 6), (4, 5), (5,), (3, 7), (6,), (6,), (2, 6), (5,), (4, 5), (4, 4), (4, 1))",1057.1665407738424
google,GBBBBBGBGGG,"((4, 6), (5,), (5,), (7,), (4,), (6,), (4, 2), (7,), (4, 7), (1, 7), (3, 7))",1057.4416484613093
google,GBBBBBGBGGG,"((4, 6), (5,), (5,), (7,), (4,), (6,), (4, 2), (7,), (4, 7), (1, 7), (3, 7))",1057.4416484613093
google,GBBBBBBBBGG,"((2, 1), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (4, 4), (4, 0))",1059.6862227896074
google,GGBBGGBBBGG,"((3, 6), (4, 5), (6,), (5,), (2, 0), (2, 5), (5,), (6,), (7,), (2, 3), (3, 7))",1059.7390301821924
google,GBBBGGBBBGG,"((4, 6), (5,), (5,), (5,), (2, 0), (2, 5), (5,), (6,), (7,), (1, 4), (3, 5))",1059.8194057369778
google,GGBBBBBGGBG,"((3, 6), (4, 5), (5,), (5,), (6,), (6,), (5,), (3, 0), (2, 4), (1,), (4, 1))",1060.006858816349
google,GBBBBGGBBGG,"((4, 6), (5,), (4,), (7,), (4,), (2, 3), (3, 3), (5,), (7,), (1, 5), (4, 0))",1063.3637745288859
google,GBGBBGGGBGG,"((4, 4), (5,), (4, 4), (7,), (4,), (4, 6), (3, 5), (4, 2), (5,), (4, 4), (4, 0))",1063.7006662163362
google,GBBBBBGBLGG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (4, 1), (5,), (2,), (2, 2), (4, 0))",1064.0671961593491
google,GBGBLBBBBLG,"((4, 6), (5,), (3, 5), (5,), (5,), (6,), (5,), (6,), (7,), (5,), (3, 7))",1065.169778707341
google,GGBBBGGBBBG,"((3, 6), (4, 5), (5,), (5,), (4,), (1, 5), (3, 3), (5,), (7,), (2,), (4, 1))",1065.3145556316172
google,GBBBGGGBBBG,"((4, 6), (5,), (4,), (5,), (1, 4), (3, 6), (3, 3), (5,), (7,), (2,), (4, 1))",1065.7208730258983
google,GGBBBBBBGBG,"((4, 1), (4, 5), (5,), (5,), (6,), (6,), (5,), (7,), (4, 7), (4,), (2, 3))",1066.7527403903844
google,GBBBBGBGBBG,"((4, 6), (5,), (4,), (7,), (4,), (2, 3), (5,), (2, 4), (7,), (5,), (4, 4))",1067.5238498781573
google,GGBBBGGBBBG,"((4, 4), (4, 5), (5,), (6,), (4,), (1, 5), (3, 3), (5,), (7,), (2,), (4, 1))",1070.3652838659716
google,GBBBGBBBGBB,"((4, 6), (5,), (5,), (5,), (1, 7), (6,), (5,), (5,), (4, 1), (1,), (2,))",1072.1431370871194
google,GBGBBGGGBGG,"((4, 4), (5,), (4, 0), (7,), (4,), (4, 6), (3, 5), (4, 2), (5,), (4, 4), (4, 1))",1073.2029038524959
google,GBBBBGGBGBG,"((4, 6), (5,), (4,), (7,), (4,), (2, 3), (3, 3), (7,), (3, 7), (4,), (4, 0))",1073.9178937068546
google,GGBBBBGGBGG,"((3, 6), (4, 5), (5,), (5,), (4,), (6,), (3, 3), (1, 3), (5,), (1, 0), (4, 4))",1075.9559114035194
google,GGBBBBGGBGG,"((3, 6), (4, 5), (5,), (5,), (4,), (6,), (3, 3), (1, 3), (5,), (1, 0), (4, 4))",1075.9559114035194
google,GBBBGGGGBBG,"((4, 6), (5,), (4,), (5,), (1, 4), (3, 6), (3, 4), (3, 3), (7,), (2,), (4, 1))",1078.914388225067
google,GBBBGGGGBGG,"((4, 6), (5,), (4,), (5,), (3, 5), (4, 6), (3, 3), (1, 3), (5,), (2, 2), (4, 0))",1080.5194308202063
google,GBBBGBBGBGG,"((4, 6), (5,), (5,), (5,), (1, 7), (6,), (5,), (2, 4), (7,), (1, 6), (4, 4))",1082.9712998289392
google,GBBBGBBGBGG,"((4, 6), (5,), (5,), (5,), (1, 7), (6,), (5,), (2, 4), (7,), (1, 6), (4, 4))",1082.9712998289392
google,GBBBBBGBGGG,"((4, 4), (5,), (1,), (7,), (4,), (6,), (2, 6), (7,), (4, 7), (4, 4), (4, 1))",1083.2764827470826
google,GBBBGGGBBBG,"((4, 4), (5,), (5,), (7,), (1, 4), (3, 6), (3, 3), (5,), (7,), (2,), (4, 1))",1084.6357331888844
google,GBBGBGGBGGG,"((4, 6), (5,), (7,), (3, 1), (6,), (3, 0), (4, 6), (3,), (2, 1), (4, 2), (4, 1))",1086.7475057301783
google,GBBBBBBBGBG,"((2, 1), (5,), (5,), (5,), (6,), (6,), (5,), (7,), (4, 7), (6,), (4, 1))",1089.3872494132852
