graph,order,freq,score
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",522.434350296501
mobile,BBBBBBBBBBBBBB,"((7,), (7,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",522.434350296501
mobile,BBBBBBBBBBBBGB,"((7,), (7,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (3, 2), (6,))",548.8571072879946
mobile,BBBGGBBBBBBBBB,"((4,), (4,), (4,), (4, 3), (4, 6), (6,), (3,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",564.4549277888464
mobile,GBBGGBBBBBBBBB,"((0, 6), (4,), (4,), (4, 3), (4, 6), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",566.5934280486529
mobile,GBBGGBBBBBBBBB,"((0, 6), (4,), (4,), (4, 3), (4, 6), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",566.5934280486529
mobile,GBBGGBBBBBBBBB,"((0, 6), (4,), (4,), (4, 3), (4, 6), (6,), (6,), (6,), (6,), (6,), (7,), (6,), (6,), (6,))",568.1752609514767
mobile,BBBGBGBBBBBBBB,"((7,), (4,), (4,), (4, 3), (6,), (4, 0), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",573.9406873353433
mobile,GBBGGBBBBBBBBB,"((0, 6), (4,), (4,), (2, 4), (4, 6), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",581.4573783601894
mobile,BBBBLBBBGBBBBB,"((7,), (7,), (5,), (6,), (3,), (6,), (6,), (6,), (3, 6), (6,), (6,), (6,), (6,), (6,))",589.9127765132286
mobile,BBBBLBBBGBBBBB,"((7,), (7,), (5,), (6,), (3,), (6,), (6,), (6,), (3, 6), (6,), (6,), (6,), (6,), (6,))",589.9127765132286
mobile,BGGBBBBBBBBBBB,"((7,), (1, 2), (4, 3), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",589.986321807616
mobile,BBBBBGGBBGBBBB,"((7,), (7,), (6,), (6,), (6,), (2, 3), (4, 3), (4,), (6,), (2, 7), (6,), (6,), (6,), (6,))",596.360057187001
mobile,BGBBBBBBBGBBBB,"((7,), (2, 6), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (4, 5), (6,), (6,), (6,), (6,))",597.078844987549
mobile,GBGBBBBBBBBBBB,"((1, 2), (7,), (4, 3), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",601.9998577798932
mobile,GBGBBBBBBBBBBB,"((1, 2), (7,), (4, 3), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",601.9998577798932
mobile,GBBBBBGBBGBBBB,"((0, 6), (7,), (6,), (6,), (6,), (6,), (4, 3), (6,), (6,), (2, 7), (6,), (6,), (6,), (6,))",602.8932315732657
mobile,BBBBBBGBBBBBBG,"((7,), (7,), (6,), (6,), (6,), (6,), (2, 5), (6,), (6,), (6,), (6,), (6,), (6,), (2, 3))",603.6632097260856
mobile,BBBGBBBBBBBBBG,"((7,), (4,), (4,), (4, 6), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (2, 3))",607.1671181763738
mobile,BBBBBBBBBGBBBB,"((7,), (7,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (0, 6), (6,), (6,), (6,), (6,))",610.3583451617271
mobile,BBBGGBGBBBBGBB,"((7,), (4,), (4,), (4, 3), (4, 6), (6,), (1, 4), (6,), (6,), (6,), (7,), (3, 1), (6,), (6,))",613.8150921518692
mobile,BBBGGBGBBBBGBB,"((7,), (4,), (4,), (4, 3), (4, 6), (6,), (1, 4), (6,), (6,), (6,), (7,), (3, 1), (6,), (6,))",613.8150921518692
mobile,BBBGGBBBBBBGLB,"((7,), (7,), (4,), (4, 3), (4, 6), (6,), (6,), (6,), (6,), (6,), (7,), (3, 1), (0,), (6,))",616.394435548837
mobile,BBGBGBBBBBBBBB,"((6,), (7,), (0, 3), (6,), (2, 3), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",620.755378997356
mobile,BBGBGBBBBBBBBB,"((6,), (7,), (0, 3), (6,), (2, 3), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",620.755378997356
mobile,BBBBBGBBBBBBBG,"((7,), (7,), (6,), (6,), (6,), (1, 5), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (2, 1))",621.0453051193915
mobile,GBGBGBBBBBBBBB,"((1, 2), (7,), (4, 3), (6,), (4, 6), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",621.7512767091806
mobile,GBBBGBBBBBBBBB,"((1, 3), (4,), (0,), (6,), (4, 6), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",622.1533996658003
mobile,GBBBGBGBBBBBBB,"((0, 2), (7,), (6,), (6,), (2, 7), (6,), (2, 5), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",624.8701441723093
mobile,BBBBBBGBBBBBBG,"((3,), (4,), (6,), (6,), (6,), (6,), (2, 5), (6,), (6,), (6,), (6,), (6,), (6,), (2, 3))",627.9293616186776
mobile,BBBGBGBBBBBBBB,"((7,), (4,), (4,), (4, 3), (6,), (4, 0), (6,), (6,), (6,), (6,), (0,), (6,), (6,), (6,))",628.8931013735174
mobile,GBGBBBBBBBBGBB,"((1, 2), (7,), (4, 3), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (4, 7), (6,), (6,))",631.1205299064344
mobile,GBBBBBBBBGBBBB,"((0, 6), (7,), (6,), (6,), (6,), (6,), (6,), (4,), (6,), (0, 6), (6,), (6,), (6,), (6,))",632.273548037892
mobile,BBGBBBBBBBGBGB,"((7,), (7,), (4, 1), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (4, 1), (6,), (1, 4), (6,))",632.3699875739724
mobile,GBBGGBBBBBBBBG,"((0, 6), (4,), (4,), (4, 1), (4, 6), (4,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (2, 3))",632.6974923193093
mobile,GBBBBBBBBBBBGG,"((0, 6), (4,), (4,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (4, 7), (2, 7))",633.8000559153858
mobile,BBBBBBGBBGGBBB,"((7,), (4,), (6,), (7,), (6,), (6,), (2, 2), (6,), (6,), (3, 3), (1, 4), (6,), (6,), (6,))",634.7884823483333
mobile,GBBGGBBBBGBBBB,"((0, 6), (4,), (4,), (1, 1), (4, 6), (6,), (6,), (6,), (6,), (4, 0), (6,), (6,), (6,), (6,))",634.8806836657649
mobile,BBBGGBGBBGBBGB,"((7,), (4,), (4,), (4, 3), (4, 6), (6,), (1, 4), (6,), (6,), (4, 1), (7,), (6,), (4, 2), (6,))",639.2172643959889
