graph,order,freq,score
res50,BBGGBBBBBBBBBBBBBB,"((6,), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",2724.7294508762934
res50,BBGGBBBBBBBBBBBBBB,"((6,), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",2724.7294508762934
res50,BBGGBBBBBBBBBBBBBG,"((6,), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (2, 0))",2748.3064654121695
res50,BBGGBBBBGBBBBBBBBB,"((6,), (5,), (3, 3), (4, 4), (5,), (6,), (5,), (5,), (2, 1), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",2842.8065147620177
res50,GBGGBBBBBBBBBBBBBB,"((1, 1), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (3,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",2875.6218931923595
res50,BGGGBGBBBBBBBBBBBB,"((6,), (3, 7), (4, 3), (4, 4), (5,), (0, 6), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",2897.211337993519
res50,BBGGBBBBBBBBBBBGGG,"((6,), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (2, 6), (4, 1), (0, 7))",2935.154260933048
res50,GGGGGBBBBBBBBBBBBB,"((1, 3), (3, 7), (3, 0), (2, 3), (2, 1), (6,), (5,), (5,), (5,), (5,), (3,), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",2959.666183079435
res50,BBGGBBBBBBBGBBGBBB,"((6,), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (5,), (5,), (5,), (5,), (4, 7), (5,), (5,), (4, 2), (5,), (6,), (6,))",2967.5232156931943
res50,BBGGBBBBBBBGBBGBBB,"((6,), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (5,), (5,), (5,), (5,), (4, 7), (5,), (5,), (4, 2), (5,), (6,), (6,))",2967.5232156931943
res50,BBGGBBBBBBBGGBBBBB,"((6,), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (5,), (5,), (5,), (6,), (0, 7), (2, 4), (5,), (5,), (5,), (5,), (6,))",2989.811987070508
res50,BLLGBBBGBBBBBBBBBB,"((6,), (5,), (2,), (2, 0), (5,), (6,), (5,), (2, 5), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",3016.8471212457985
res50,BLLGBBBGBBBBBBBBBB,"((6,), (5,), (2,), (2, 0), (5,), (6,), (5,), (2, 5), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",3016.8471212457985
res50,GBGBBBBBGGBGBBBBBB,"((4, 3), (5,), (4, 3), (6,), (1,), (6,), (5,), (5,), (2, 3), (3, 2), (5,), (4, 7), (5,), (5,), (5,), (5,), (5,), (6,))",3026.1686519169925
res50,BLGGBBBGBBGBBBBBBB,"((6,), (5,), (1, 6), (2, 0), (5,), (6,), (5,), (2, 5), (5,), (5,), (3, 1), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",3028.630459102129
res50,GBGGBBBBBBBBGBBGGG,"((3, 4), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (2,), (5,), (5,), (5,), (2,), (2, 4), (5,), (5,), (2, 6), (2, 3), (0, 7))",3053.963423605865
res50,BGGGBGBBLBBGGBBBBB,"((6,), (3, 7), (4, 3), (4, 4), (5,), (0, 6), (5,), (5,), (5,), (7,), (5,), (4, 5), (4, 7), (6,), (6,), (5,), (6,), (6,))",3070.3319775434975
res50,GBGGBBBBBBBGBBBBGB,"((3, 4), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (7,), (5,), (5,), (5,), (0, 7), (5,), (5,), (5,), (5,), (1, 5), (6,))",3095.064078861288
res50,BBGGBBBBBBBGGBBGBG,"((6,), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (5,), (5,), (5,), (7,), (0, 6), (2, 4), (5,), (5,), (2, 6), (5,), (0, 2))",3116.9518737464614
res50,BBGGBBBBBBBBGBGBBB,"((6,), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (5,), (5,), (5,), (5,), (5,), (0, 1), (5,), (4, 2), (5,), (6,), (6,))",3119.8221391387497
res50,GBGGBBBBGBLBGBBBBB,"((1, 1), (5,), (4, 3), (4, 4), (5,), (6,), (5,), (3,), (1, 1), (5,), (5,), (5,), (3, 7), (5,), (5,), (5,), (5,), (6,))",3125.821980173291
res50,GBGGGBBBGBBBBBBGGB,"((2, 7), (5,), (4, 3), (4, 4), (4, 1), (6,), (5,), (5,), (1, 2), (5,), (5,), (5,), (5,), (5,), (5,), (2, 6), (2, 3), (6,))",3145.5387410896556
res50,BGGGBGGGBBBBBBBBBB,"((6,), (0, 7), (4, 5), (1, 0), (5,), (3, 5), (2, 3), (0, 1), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",3206.6182316872655
res50,BGGGBBBGGBBGGBBBBB,"((6,), (3, 7), (4, 3), (4, 4), (5,), (6,), (5,), (3, 6), (1, 5), (5,), (7,), (0, 7), (2, 4), (5,), (5,), (5,), (5,), (6,))",3209.479438974851
res50,BGGGGBGGBBGBBBBBBB,"((6,), (3, 2), (2, 1), (3, 1), (1, 0), (3,), (0, 1), (2, 5), (5,), (5,), (1, 6), (5,), (5,), (5,), (5,), (5,), (5,), (6,))",3211.7808111399704
