graph,order,freq,score
squeeze,GGGGGGGGBB,"((3, 6), (4, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 5), (5,), (6,))",592.0761964808718
squeeze,GGGGGGGGBB,"((3, 6), (4, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 5), (5,), (6,))",592.0761964808718
squeeze,GGGGGGGGBB,"((3, 6), (3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 5), (5,), (6,))",593.5777718298049
squeeze,GGGGGGGGBB,"((3, 6), (3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 5), (5,), (6,))",593.5777718298049
squeeze,GGGGGGGGBB,"((3, 4), (3, 3), (3, 2), (4, 2), (4, 4), (3, 3), (4, 4), (4, 5), (5,), (6,))",602.5357211216993
squeeze,GGGGGGGGBB,"((3, 4), (3, 3), (4, 4), (3, 7), (4, 4), (4, 4), (4, 4), (4, 5), (5,), (6,))",606.1323164083525
squeeze,GGGGGGGGBB,"((3, 4), (3, 3), (4, 4), (3, 7), (4, 4), (4, 4), (4, 4), (4, 5), (5,), (6,))",606.1323164083525
squeeze,GGGGGGGGGB,"((3, 4), (3, 3), (3, 2), (4, 2), (4, 4), (3, 3), (3, 5), (4, 5), (4, 5), (6,))",607.6743327300684
squeeze,GGGGGGGGGB,"((3, 4), (3, 3), (3, 2), (4, 2), (4, 4), (3, 3), (3, 5), (4, 5), (4, 5), (6,))",607.6743327300684
squeeze,GGGGGGGGBB,"((3, 6), (3, 3), (3, 7), (4, 7), (4, 1), (4, 4), (3, 2), (3, 2), (5,), (6,))",609.1741019771217
squeeze,GGGGGGGGBB,"((3, 6), (3, 3), (2, 0), (4, 7), (4, 4), (4, 4), (4, 4), (4, 5), (5,), (6,))",610.0806974635159
squeeze,GGGGGGGGBB,"((3, 4), (3, 3), (3, 7), (4, 2), (3, 6), (4, 2), (3, 6), (4, 7), (5,), (6,))",610.1905150320448
squeeze,GGGGGGGGGB,"((3, 6), (4, 3), (4, 4), (4, 2), (3, 3), (4, 4), (4, 4), (4, 7), (2, 2), (6,))",610.5837673485744
squeeze,GGGGGGGGGB,"((3, 6), (3, 3), (2, 0), (4, 2), (4, 4), (3, 3), (3, 5), (4, 5), (4, 5), (6,))",615.1708838513924
