graph,order,freq,score
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",698.6573867834661
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",698.6573867834661
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (3, 3), (7,))",699.9222433199992
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 7), (3, 3), (3, 4), (7,))",700.4388713277449
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (2, 4), (7,))",700.4655667673102
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",704.3338600637306
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.5693293032126
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.5693293032126
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.5693293032126
alex,GGGGGGGB,"((3, 6), (4, 4), (4, 1), (4, 4), (4, 3), (3, 3), (3, 3), (7,))",705.5843864952736
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 6), (3, 3), (3, 7), (3, 3), (7,))",706.6834676525056
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 0), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",706.7566889177634
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 1), (4, 4), (2, 0), (3, 1), (2, 4), (7,))",707.4652524639268
alex,GGGGGGGB,"((3, 6), (4, 1), (3, 0), (4, 1), (3, 6), (3, 2), (3, 4), (7,))",708.3298435980512
alex,GGGGGGGB,"((3, 6), (4, 1), (3, 0), (4, 1), (3, 6), (3, 2), (3, 4), (7,))",708.3298435980512
alex,GGGGGGGB,"((3, 6), (3, 6), (4, 2), (4, 4), (3, 3), (3, 7), (3, 5), (7,))",709.567919437526
alex,GGGGGGGB,"((3, 6), (4, 4), (4, 2), (4, 4), (3, 3), (3, 7), (3, 4), (7,))",710.0316362784357
alex,GGGGGGGB,"((3, 6), (4, 4), (4, 2), (4, 4), (3, 3), (3, 7), (3, 4), (7,))",710.0316362784357
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 2), (4, 4), (3, 3), (2, 5), (3, 4), (7,))",710.04392411754
alex,GGGGGGGB,"((3, 6), (4, 1), (4, 1), (4, 5), (3, 3), (3, 3), (4, 7), (7,))",711.739961952595
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (2, 5), (3, 3), (3, 3), (2, 7), (7,))",714.7358502341835
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (2, 5), (3, 3), (3, 3), (2, 7), (7,))",714.7358502341835
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (2, 5), (3, 3), (3, 3), (2, 7), (7,))",714.7358502341835
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (2, 3))",715.1361370463994
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 7), (1, 7), (7,))",715.2170671449671
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 0), (3, 1), (2, 3))",716.2911973660257
alex,GGGGGGGB,"((3, 3), (4, 4), (4, 0), (4, 4), (4, 3), (3, 3), (3, 3), (7,))",716.9096353084277
alex,GGGGGGGB,"((3, 3), (4, 4), (4, 0), (4, 4), (4, 3), (3, 3), (3, 3), (7,))",716.9096353084277
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 5), (2, 1), (3, 4), (2, 5))",717.4127791096889
alex,GGGGGGGB,"((3, 6), (3, 3), (4, 0), (4, 4), (3, 3), (3, 7), (2, 5), (0,))",718.2385422670322
alex,GGGGGGGG,"((3, 6), (4, 2), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (4, 1))",719.1852141355306
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 3), (3, 3), (2, 5), (3, 1))",720.1720965418962
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (2, 4), (4, 0))",721.0667563812186
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (2, 4), (4, 0))",721.0667563812186
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (2, 4), (4, 0))",721.0667563812186
alex,GGGGGGGG,"((3, 5), (3, 2), (4, 2), (4, 6), (3, 3), (3, 3), (3, 3), (2, 1))",721.291579191467
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 7), (3, 4), (2, 3))",721.3132410251577
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (1, 2))",721.4593000001219
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (1, 1), (3, 3), (3, 3), (3, 3), (7,))",721.6188842108407
alex,GGGGGGGB,"((3, 6), (4, 4), (4, 0), (4, 4), (3, 3), (3, 7), (2, 5), (0,))",722.9496173895732
alex,GGGGGGGB,"((3, 6), (4, 4), (4, 0), (4, 4), (3, 3), (3, 7), (2, 5), (0,))",722.9496173895732
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 5), (3, 7), (3, 4), (4, 0))",723.2492804067114
alex,GGGGGGGG,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 5), (3, 7), (3, 4), (4, 0))",723.2492804067114
alex,GGGGGGGB,"((3, 5), (3, 2), (1, 2), (4, 1), (3, 3), (3, 3), (3, 3), (7,))",725.2834921933265
alex,GGGGGGGG,"((3, 6), (4, 1), (3, 0), (4, 1), (3, 6), (3, 0), (3, 1), (2, 3))",725.6707953401726
