graph,order,freq,score
google,GLLLLLLLLLL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",856.8757676691015
google,GLLLLLLLLLL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",856.8757676691015
google,GLLLLLLLLLL,"((4, 6), (4,), (4,), (5,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",858.7192443135546
google,GGLLLLLLLLL,"((4, 6), (4, 3), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",868.0442506693856
google,GGLLLLLLLLL,"((4, 6), (4, 3), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",868.0442506693856
google,GLLLLLLLLLB,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (2,), (6,))",873.3218144753203
google,BLLLLLLLLLL,"((6,), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",876.7039947481453
google,GLLLLLGLLLL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4, 2), (5,), (4,), (4,), (4,))",891.8751317829243
google,GLLLLLGLLLL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4, 2), (5,), (4,), (4,), (4,))",891.8751317829243
google,BBLLLLLLLLL,"((6,), (3,), (4,), (4,), (4,), (4,), (4,), (5,), (2,), (4,), (4,))",900.3948999509452
google,GLLLLLLLLGL,"((4, 3), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (2, 6), (4,))",901.4319704899706
google,GLLLLLBLLLL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (1,), (5,), (4,), (4,), (4,))",903.1277689441753
google,GLLLLLBLLLL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (1,), (5,), (4,), (4,), (4,))",903.1277689441753
google,GLGLLLLLLLB,"((4, 6), (4,), (2, 1), (5,), (4,), (5,), (4,), (5,), (4,), (4,), (6,))",916.7345290934518
google,GGLLGGLLLLL,"((4, 6), (4, 3), (4,), (4,), (4, 7), (4, 0), (4,), (5,), (4,), (4,), (4,))",921.2748036600967
google,GBLLLGLLLLL,"((4, 5), (3,), (4,), (4,), (4,), (3, 6), (3,), (5,), (4,), (2,), (3,))",922.0908289115711
google,GGLLLLGLLLL,"((4, 6), (3, 0), (4,), (4,), (4,), (5,), (2, 4), (5,), (4,), (4,), (4,))",924.8159106693615
google,GLLLLLLGLGL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4,), (4, 1), (4,), (2, 2), (5,))",929.0392107149611
google,GLLLLLLGLGB,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4,), (4, 1), (4,), (2, 2), (6,))",930.1364040900964
google,BLLLLLLGLLL,"((7,), (4,), (4,), (5,), (4,), (5,), (4,), (4, 6), (4,), (4,), (4,))",931.2767714172444
google,GGLLLGLLLLL,"((4, 4), (3, 0), (4,), (4,), (4,), (3, 6), (3,), (5,), (4,), (2,), (3,))",932.4366338349954
google,GLLLLLLLGLL,"((4, 6), (4,), (4,), (5,), (4,), (5,), (4,), (5,), (2, 6), (4,), (4,))",936.3467228948901
google,GBLLGLLLLLL,"((4, 2), (3,), (4,), (4,), (4, 7), (5,), (4,), (5,), (4,), (4,), (4,))",937.330608438698
google,GBLLGLLLLLL,"((4, 2), (3,), (4,), (4,), (4, 7), (5,), (4,), (5,), (4,), (4,), (4,))",937.330608438698
google,GBLLGLLLLLL,"((4, 2), (3,), (4,), (4,), (4, 7), (5,), (4,), (5,), (4,), (4,), (4,))",937.330608438698
google,GLLLBLGLLBB,"((4, 6), (4,), (4,), (4,), (6,), (5,), (4, 2), (5,), (4,), (3,), (4,))",938.6306888154468
google,GGLLLGLLLGB,"((4, 6), (4, 3), (4,), (4,), (4,), (3, 0), (4,), (5,), (4,), (2, 2), (6,))",941.3400089508369
google,GLLLLLLLGGL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (2, 5), (3, 3), (4,))",943.0733354415439
google,GLLLLLLLGGL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (2, 5), (3, 3), (4,))",943.0733354415439
google,GGLLBLLLGLL,"((4, 6), (3, 0), (4,), (4,), (6,), (5,), (4,), (5,), (4, 4), (4,), (4,))",944.9130311689235
google,GLLLLLLLLLL,"((1, 2), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",947.6966210931249
google,GLLLLLLLLLL,"((1, 2), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",947.6966210931249
google,GLLLLLLLLLL,"((1, 2), (4,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (4,), (4,))",947.6966210931249
google,GGLLLLGLLLL,"((4, 2), (3, 7), (4,), (4,), (3,), (5,), (4, 2), (5,), (4,), (4,), (4,))",949.2492558000556
google,GGLLLLGLLLL,"((4, 6), (2, 7), (4,), (4,), (4,), (5,), (4, 2), (5,), (4,), (4,), (4,))",950.4839688971657
google,GGLLLLLGGLL,"((4, 6), (3, 0), (4,), (4,), (3,), (5,), (4,), (4, 1), (4, 4), (4,), (4,))",950.8572997893959
google,BLLLLLLGLGB,"((6,), (4,), (4,), (4,), (4,), (5,), (4,), (4, 1), (4,), (2, 2), (6,))",951.2391098974647
google,GGLLLLLGLGB,"((4, 6), (3, 0), (4,), (4,), (3,), (5,), (4,), (4, 1), (4,), (2, 2), (6,))",952.844300384647
google,GGLLLLLGLGB,"((4, 6), (3, 0), (4,), (4,), (3,), (5,), (4,), (4, 1), (4,), (2, 2), (6,))",952.844300384647
google,GGLLLLLGLGB,"((4, 6), (3, 0), (4,), (4,), (3,), (5,), (4,), (4, 1), (4,), (2, 2), (6,))",952.844300384647
google,GLLLLGLLLGL,"((4, 6), (4,), (4,), (4,), (4,), (4, 7), (3,), (5,), (2,), (1, 4), (2,))",958.9660306844941
google,GLLLLLGLLLB,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4, 2), (5,), (4,), (4,), (0,))",961.7531616503059
google,BLLLLLGGLLL,"((6,), (4,), (4,), (4,), (4,), (5,), (2, 1), (3, 7), (4,), (2,), (3,))",964.3243699189512
google,BBLLLLGLLGL,"((6,), (3,), (4,), (4,), (4,), (5,), (2, 1), (5,), (4,), (2, 2), (4,))",965.7305040467779
google,GGLLLGLLLLL,"((4, 6), (2, 7), (4,), (4,), (4,), (3, 6), (3,), (5,), (4,), (2,), (3,))",965.744860576859
google,GGLLLGLLLLL,"((4, 6), (2, 7), (4,), (4,), (4,), (3, 6), (3,), (5,), (3,), (2,), (3,))",970.6679118157583
google,GBLLGGLLLLL,"((4, 2), (3,), (4,), (4,), (4, 7), (2, 2), (4,), (5,), (4,), (4,), (4,))",974.3334720962104
google,GLLLLLLGGGL,"((4, 6), (4,), (4,), (4,), (4,), (5,), (4,), (3, 0), (2, 5), (3, 3), (4,))",976.7612005522758
google,GGLLLLGGLLL,"((4, 6), (3, 0), (4,), (4,), (3,), (5,), (1, 0), (4, 1), (4,), (4,), (4,))",977.1519493191606
google,GGLLLGLGLLL,"((4, 6), (3, 0), (4,), (4,), (4,), (4, 1), (4,), (3, 7), (2,), (4,), (4,))",977.2036840386842
google,GBLLGLGLLLL,"((4, 2), (3,), (4,), (4,), (4, 7), (5,), (4, 2), (5,), (4,), (2,), (3,))",978.8103866021228
google,GGBLLLGLLGG,"((4, 6), (3, 7), (4,), (4,), (4,), (5,), (4, 2), (5,), (4,), (4, 0), (1, 4))",979.3008904909327
google,GBLLLLLGLGB,"((2, 6), (3,), (4,), (4,), (4,), (5,), (4,), (4, 1), (4,), (2, 2), (6,))",979.7252640187031
google,GBLGGLLLLLL,"((4, 6), (3,), (4,), (3, 2), (1, 0), (5,), (4,), (5,), (4,), (4,), (4,))",980.2699355937502
google,GBLGGLLLLLL,"((4, 6), (3,), (4,), (3, 2), (1, 0), (5,), (4,), (5,), (4,), (4,), (4,))",980.2699355937502
google,GGLLLGLLLLL,"((4, 3), (2, 7), (4,), (4,), (4,), (3, 6), (3,), (5,), (4,), (2,), (3,))",980.3284545721993
google,GGLLLLLGLGB,"((4, 2), (3, 7), (4,), (4,), (3,), (5,), (4,), (4, 1), (4,), (2, 2), (6,))",980.4269635240795
google,GBLLLLGGLLL,"((2, 6), (3,), (4,), (4,), (4,), (5,), (2, 1), (3, 7), (4,), (2,), (3,))",985.7145902865198
google,BBLLBLLGLGB,"((6,), (3,), (4,), (4,), (2,), (5,), (4,), (4, 1), (4,), (4, 2), (6,))",988.6641103332515
