graph,order,freq,score
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.1203782761477
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.1203782761477
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.1203782761477
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.1203782761477
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.1203782761477
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.1203782761477
squeeze,GGGGGGGGBB,"((4, 2), (4, 0), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",591.359084149574
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (3, 6), (4, 2), (3, 1), (4, 4), (1, 7), (5,), (7,))",591.9014326185525
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (3, 6), (4, 4), (3, 1), (3, 7), (2, 5), (5,), (7,))",594.6376818254475
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 6), (4, 4), (4, 3), (4, 0), (3, 7), (2, 5), (5,), (7,))",599.1439763416942
squeeze,GGGGGGGGGB,"((3, 3), (4, 7), (4, 2), (4, 7), (4, 4), (4, 4), (3, 3), (2, 5), (1, 5), (7,))",601.2473610966986
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 6), (4, 4), (4, 4), (2, 1), (4, 4), (2, 5), (5,), (7,))",602.1882904847992
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 6), (2, 7), (4, 4), (3, 2), (4, 3), (1, 7), (5,), (7,))",603.323803549392
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 6), (2, 7), (4, 4), (3, 2), (4, 3), (1, 7), (5,), (7,))",603.323803549392
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (4, 2), (3, 6), (4, 4), (4, 1), (4, 4), (2, 5), (3, 7), (7,))",604.6929551089327
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 3), (2, 0), (5,), (6,))",609.6945382787285
squeeze,GGGGGGGBBB,"((3, 3), (4, 4), (4, 0), (4, 4), (4, 4), (4, 4), (3, 7), (6,), (7,), (7,))",609.8363078216672
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 1), (4, 4), (3, 7), (1, 4), (3, 3), (2, 5), (5,), (7,))",615.9286033453134
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (3, 7), (2, 0), (7,), (7,))",615.9357919822846
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (2, 3), (4, 4), (4, 4), (3, 1), (4, 4), (2, 2), (5,), (7,))",616.9936135241275
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (0, 0), (4, 4), (4, 4), (4, 1), (4, 6), (7,), (7,))",617.7014708662915
squeeze,GGGGGGGGGB,"((3, 3), (1, 7), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (4, 5), (7,))",619.0983048985717
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (0, 3), (4, 4), (4, 3), (2, 5), (5,), (7,))",624.8084152082405
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (2, 7), (2, 5), (0, 3), (7,))",625.8575675902556
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (2, 7), (2, 5), (0, 3), (7,))",625.8575675902556
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (2, 7), (2, 5), (0, 3), (7,))",625.8575675902556
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (2, 2), (4, 1), (2, 5), (3, 2), (3, 7), (2, 5), (5,), (7,))",627.2320820471564
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (2, 7), (2, 0), (0, 3), (7,))",628.8149888097497
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 6), (2, 7), (4, 4), (3, 2), (4, 3), (2, 0), (7,), (7,))",629.069532292634
squeeze,GGGGGGGBBB,"((3, 3), (4, 3), (4, 2), (2, 7), (4, 4), (4, 4), (4, 4), (0,), (5,), (7,))",629.8172375823823
squeeze,GGGGGGGGGB,"((3, 3), (1, 7), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (4, 3), (7,))",630.8323216287715
squeeze,GGGGGGGGBB,"((2, 1), (4, 4), (3, 0), (4, 1), (4, 4), (3, 2), (3, 7), (2, 5), (5,), (7,))",630.9243812345228
squeeze,GGGGGGGGBB,"((2, 1), (4, 4), (3, 0), (4, 1), (4, 4), (3, 2), (3, 7), (2, 5), (5,), (7,))",630.9243812345228
squeeze,GGGGGGGGBB,"((3, 3), (3, 1), (4, 2), (1, 2), (4, 4), (3, 3), (3, 7), (2, 0), (7,), (7,))",633.4456713283562
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (4, 2), (4, 4), (3, 6), (2, 4), (3, 5), (2, 5), (2, 2), (7,))",634.9560622331487
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (4, 2), (4, 4), (3, 6), (2, 4), (3, 6), (2, 5), (2, 2), (7,))",635.3500220974344
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (4, 2), (4, 4), (3, 6), (2, 4), (3, 6), (2, 5), (2, 2), (7,))",635.3500220974344
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (3, 6), (0, 3), (4, 0), (3, 7), (0, 4), (5,), (7,))",635.6243335542093
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (2, 2), (4, 4), (2, 2), (4, 4), (2, 7), (2, 5), (5,), (7,))",635.6460349952397
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 6), (4, 4), (0, 7), (4, 4), (3, 5), (2, 5), (5,), (7,))",636.1878707474979
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (4, 0), (4, 4), (3, 6), (2, 4), (3, 6), (2, 5), (2, 2), (7,))",638.5635633139747
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 6), (4, 4), (0, 3), (4, 0), (3, 7), (3, 7), (5,), (7,))",639.1257926891941
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (0, 0), (4, 4), (4, 4), (4, 1), (2, 0), (7,), (7,))",640.5538398448947
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (0, 0), (4, 4), (4, 4), (4, 1), (2, 0), (7,), (7,))",640.5538398448947
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (0, 0), (2, 6), (4, 4), (2, 7), (2, 5), (5,), (7,))",640.5564292944038
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (0, 0), (2, 6), (4, 4), (2, 7), (2, 5), (5,), (7,))",640.5564292944038
squeeze,GGGGGGGGGB,"((3, 3), (4, 4), (3, 6), (4, 4), (4, 0), (2, 4), (3, 6), (2, 5), (0, 2), (7,))",641.1755628269192
