Graph,Layer,Dest,Src,Time
Alex,0,B,G,1.85698
Alex,1,G,B,0.205538
Alex,2,B,G,0.243133
Alex,3,G,B,0.248471
Alex,4,B,G,0.120458
Alex,5,G,B,0.0621833
Alex,6,B,G,0.0632041
Alex,0,G,B,1.40248
Alex,1,B,G,1.24005
Alex,2,G,B,0.255296
Alex,3,B,G,0.239458
Alex,4,G,B,0.0778751
Alex,5,B,G,0.0620082
Alex,6,G,B,0.0618336
Alex,0,L,G,0.280817
Alex,1,G,L,0.2156
Alex,2,L,G,0.259817
Alex,3,G,L,2.13789
Alex,4,L,G,1.23821
Alex,5,G,L,0.0719251
Alex,6,L,G,0.0622707
Alex,0,G,L,1.8324
Alex,1,L,G,1.30436
Alex,2,G,L,0.295838
Alex,3,L,G,0.245933
Alex,4,G,L,0.090125
Alex,5,L,G,0.0599667
Alex,6,G,L,0.0710792
Alex,0,L,B,0.282246
Alex,1,B,L,0.216825
Alex,2,L,B,0.23695
Alex,3,B,L,0.325354
Alex,4,L,B,0.0788959
Alex,5,B,L,0.0708456
Alex,6,L,B,0.061921
Alex,0,B,L,0.325792
Alex,1,L,B,0.195125
Alex,2,B,L,0.335359
Alex,3,L,B,0.236629
Alex,4,B,L,0.0911751
Alex,5,L,B,0.0609002
Alex,6,B,L,0.0715459
Google,0,B,G,0.891508
Google,1,G,B,2.21801
Google,2,B,G,2.46686
Google,3,G,B,0.331683
Google,4,B,G,0.34405
Google,5,G,B,0.331946
Google,6,B,G,0.37345
Google,7,G,B,0.348104
Google,8,B,G,0.172229
Google,9,G,B,0.167388
Google,0,G,B,0.796921
Google,1,B,G,0.555887
Google,2,G,B,2.29387
Google,3,B,G,2.03426
Google,4,G,B,0.418221
Google,5,B,G,0.347054
Google,6,G,B,0.384854
Google,7,B,G,0.35105
Google,8,G,B,0.203875
Google,9,B,G,0.16835
Google,0,L,G,2.46537
Google,1,G,L,0.653654
Google,2,L,G,0.721904
Google,3,G,L,0.401508
Google,4,L,G,0.341512
Google,5,G,L,0.422537
Google,6,L,G,0.345246
Google,7,G,L,0.437996
Google,8,L,G,0.178529
Google,9,G,L,0.215862
Google,0,G,L,2.99399
Google,1,L,G,2.20205
Google,2,G,L,0.83195
Google,3,L,G,0.343788
Google,4,G,L,0.455758
Google,5,L,G,0.337342
Google,6,G,L,0.4718
Google,7,L,G,0.374675
Google,8,G,L,0.217088
Google,9,L,G,0.16765
Google,0,L,B,0.833992
Google,1,B,L,0.622008
Google,2,L,B,0.668208
Google,3,B,L,0.410288
Google,4,L,B,0.334862
Google,5,B,L,0.4886
Google,6,L,B,0.35525
Google,7,B,L,0.440271
Google,8,L,B,0.178675
Google,9,B,L,0.202388
Google,0,B,L,0.902621
Google,1,L,B,0.601096
Google,2,B,L,0.807333
Google,3,L,B,0.336117
Google,4,B,L,0.444675
Google,5,L,B,0.353529
Google,6,B,L,0.461592
Google,7,L,B,0.363329
Google,8,B,L,0.201454
Google,9,L,B,0.165492
MobileV1,0,B,G,1.80247
MobileV1,1,G,B,5.97272
MobileV1,2,B,G,4.34286
MobileV1,3,G,B,1.48665
MobileV1,4,B,G,0.619792
MobileV1,5,G,B,0.700467
MobileV1,6,B,G,0.345421
MobileV1,7,G,B,0.368346
MobileV1,8,B,G,0.340783
MobileV1,9,G,B,0.341104
MobileV1,10,B,G,0.334979
MobileV1,11,G,B,0.365954
MobileV1,12,B,G,0.204896
MobileV1,0,G,B,5.07045
MobileV1,1,B,G,6.09653
MobileV1,2,G,B,1.64494
MobileV1,3,B,G,1.32845
MobileV1,4,G,B,0.772013
MobileV1,5,B,G,0.6804
MobileV1,6,G,B,0.328387
MobileV1,7,B,G,0.347258
MobileV1,8,G,B,0.340521
MobileV1,9,B,G,0.362046
MobileV1,10,G,B,0.341483
MobileV1,11,B,G,0.380159
MobileV1,12,G,B,0.192413
MobileV1,0,L,G,3.68145
MobileV1,1,G,L,3.24727
MobileV1,2,L,G,1.3592
MobileV1,3,G,L,1.69123
MobileV1,4,L,G,0.657242
MobileV1,5,G,L,0.814363
MobileV1,6,L,G,0.345771
MobileV1,7,G,L,0.449954
MobileV1,8,L,G,0.378204
MobileV1,9,G,L,0.439337
MobileV1,10,L,G,0.337166
MobileV1,11,G,L,0.448438
MobileV1,12,L,G,0.192413
MobileV1,0,G,L,2.09379
MobileV1,1,L,G,3.08578
MobileV1,2,G,L,1.62313
MobileV1,3,L,G,1.52335
MobileV1,4,G,L,2.92238
MobileV1,5,L,G,2.31551
MobileV1,6,G,L,0.427817
MobileV1,7,L,G,0.357817
MobileV1,8,G,L,0.488542
MobileV1,9,L,G,0.372633
MobileV1,10,G,L,0.432454
MobileV1,11,L,G,0.345275
MobileV1,12,G,L,0.255004
MobileV1,0,L,B,1.77844
MobileV1,1,B,L,3.33643
MobileV1,2,L,B,1.39064
MobileV1,3,B,L,1.66317
MobileV1,4,L,B,0.666692
MobileV1,5,B,L,0.850384
MobileV1,6,L,B,0.349359
MobileV1,7,B,L,0.446571
MobileV1,8,L,B,0.337779
MobileV1,9,B,L,0.4501
MobileV1,10,L,B,0.343846
MobileV1,11,B,L,0.415975
MobileV1,12,L,B,0.196992
MobileV1,0,B,L,2.02557
MobileV1,1,L,B,3.0739
MobileV1,2,B,L,1.66854
MobileV1,3,L,B,1.35538
MobileV1,4,B,L,0.833408
MobileV1,5,L,B,0.698192
MobileV1,6,B,L,0.421458
MobileV1,7,L,B,0.3486
MobileV1,8,B,L,0.461358
MobileV1,9,L,B,0.369804
MobileV1,10,B,L,0.437442
MobileV1,11,L,B,0.337283
MobileV1,12,B,L,0.254392
ResV1_50,0,B,G,2.84034
ResV1_50,1,G,B,2.83865
ResV1_50,2,B,G,2.83287
ResV1_50,3,G,B,0.690842
ResV1_50,4,B,G,1.31816
ResV1_50,5,G,B,1.43275
ResV1_50,6,B,G,1.28094
ResV1_50,7,G,B,0.340696
ResV1_50,8,B,G,0.645283
ResV1_50,9,G,B,0.645196
ResV1_50,10,B,G,0.708954
ResV1_50,11,G,B,0.671213
ResV1_50,12,B,G,0.63735
ResV1_50,13,G,B,0.204283
ResV1_50,14,B,G,0.336029
ResV1_50,15,G,B,0.335533
ResV1_50,16,B,G,0.0557081
ResV1_50,0,G,B,3.83935
ResV1_50,1,B,G,5.78451
ResV1_50,2,G,B,2.8355
ResV1_50,3,B,G,0.644058
ResV1_50,4,G,B,1.26099
ResV1_50,5,B,G,1.23372
ResV1_50,6,G,B,1.27677
ResV1_50,7,B,G,0.369046
ResV1_50,8,G,B,0.65695
ResV1_50,9,B,G,0.654996
ResV1_50,10,G,B,0.710471
ResV1_50,11,B,G,0.645779
ResV1_50,12,G,B,0.638838
ResV1_50,13,B,G,0.189671
ResV1_50,14,G,B,0.341454
ResV1_50,15,B,G,0.334513
ResV1_50,16,G,B,0.0538708
ResV1_50,0,L,G,0.813313
ResV1_50,1,G,L,7.51618
ResV1_50,2,L,G,6.69708
ResV1_50,3,G,L,0.8603
ResV1_50,4,L,G,1.24437
ResV1_50,5,G,L,1.6553
ResV1_50,6,L,G,1.26639
ResV1_50,7,G,L,0.453629
ResV1_50,8,L,G,0.638546
ResV1_50,9,G,L,0.826204
ResV1_50,10,L,G,0.648258
ResV1_50,11,G,L,0.785138
ResV1_50,12,L,G,0.628163
ResV1_50,13,G,L,0.235754
ResV1_50,14,L,G,0.334396
ResV1_50,15,G,L,0.441817
ResV1_50,16,L,G,0.0553291
ResV1_50,0,G,L,4.24874
ResV1_50,1,L,G,5.64436
ResV1_50,2,G,L,3.16581
