Layer,Freq,Energy_B,Energy_G,Energy_L,Power-Efficiency_B,Power-Efficiency_G,Power-Efficiency_L,Time_B,Time_G,Time_L
0,0,498.1024406411616,343.5915829501397,598.259125078697,2.007619153025614,2.910432180595981,1.6715165019312603,144.5394,96.38550000000001,182.43880000000001
0,1,342.62944746042365,301.75369943622553,420.0081218869575,2.9186049459905448,3.313961028044815,2.3809063393996546,94.0309,83.1728,124.90809999999999
0,2,275.0103961348131,281.68683874245863,308.5871095922166,3.6362261720091085,3.5500416152359984,3.24057606074814,70.5606,76.6649,88.2469
0,3,238.24807937476862,272.1846404386836,264.0644322808674,4.197305609448299,3.6739766005469185,3.7869545374303497,57.52119999999999,70.7731,72.3132
0,4,222.20074315906743,281.8256331609475,236.14281136982183,4.5004349930734815,3.548293279018062,4.2347255637348455,49.406800000000004,67.8253,61.5054
0,5,211.1627032831052,,222.21127326754177,4.735684779803671,,4.5002217272568465,42.436499999999995,,53.050399999999996
0,6,209.40633749708545,,,4.775404660395812,,,38.0539,,
0,7,219.50835588141305,,,4.555635233039779,,,34.7,,
1,0,426.27347667303957,304.913594985134,275.9508771130566,2.345911849371338,3.279617624293711,3.6238333810053507,116.5954,80.1036,74.1779
1,1,313.587940739221,225.47542565591135,204.19764762202857,3.1888981369714013,4.435073122008685,4.897216063188973,80.102,55.0411,51.7148
1,2,252.55480582236495,184.141779217588,168.4782458048148,3.959536611246877,5.430598119823568,5.935484401698476,59.1931,42.1784,39.4394
1,3,222.78352298005353,155.31499331719297,154.59654194798134,4.488662297029628,6.43852842949775,6.468449988593407,48.6858,30.2929,33.2525
1,4,208.8378010568077,157.85501623747055,149.68359574,4.788405139967844,6.334926971821037,6.680758803636688,41.5146,24.7492,29.4196
1,5,204.522793723205,,156.6580157411111,4.88943057052785,,6.383331202487422,36.209,,26.5853
1,6,207.22883384130026,,,4.825583300660847,,,32.7057,,
1,7,223.2671457478566,,,4.4789393291628095,,,29.8088,,
2,0,140.86744551147495,132.20221346115,100.8741920794216,7.098872250924297,7.564169871436139,9.913338381066454,39.7917,35.0371,28.0276
2,1,111.67403905254977,97.9166854787647,73.86793043516488,8.95463268351417,10.212763995334289,13.53767452409834,30.1679,24.3969,19.644
