kernels,order,transfer_time,transfer_power
960.0,BL,2.41287,3324.45
960.0,LB,1.33362,3217.65
960.0,GB,2.08522,3347.9
960.0,LG,1.38363,3134.0
960.0,BG,1.47556,3284.85
1920.0,BL,4.31862,3621.59166666666
1920.0,LB,2.64658,3694.2
1920.0,GB,3.65063,3896.55
1920.0,LG,2.67335,3727.91666666667
1920.0,BG,2.5694,3852.75
2880.0,BL,6.33726,3732.15
2880.0,LB,3.48713,4103.46666666667
2880.0,GB,5.36772,4091.03333333333
2880.0,LG,3.84951,4203.01666666667
2880.0,BG,3.80646,4283.06666666667
3840.0,BL,8.33588,3811.89809523809
3840.0,LB,4.45466,4452.25
3840.0,GB,6.91356,4297.41666666667
3840.0,LG,4.62939,4409.575
3840.0,BG,4.83449,4614.4
4800.0,BL,9.85909,3853.70119047619
4800.0,LB,5.36714,4698.25
4800.0,GB,8.52034,4426.79809523809
4800.0,LG,5.4079,4684.05833333333
4800.0,BG,5.72106,4817.995
5760.0,BL,11.8803,3908.00416666667
5760.0,LB,6.43908,4847.72166666667
5760.0,GB,9.95024,4559.15654761905
5760.0,LG,6.54124,4849.00666666667
5760.0,BG,6.74596,4981.85333333333
6720.0,BL,13.8024,3881.20666666667
6720.0,LB,7.24968,4922.89333333333
6720.0,GB,11.5371,4596.86607142857
6720.0,LG,7.50577,4929.55333333333
6720.0,BG,7.55638,5054.34571428571
7680.0,BL,15.8414,3892.99545454545
7680.0,LB,8.22038,4993.82952380952
7680.0,GB,12.9916,4661.06727272727
7680.0,LG,8.51076,5045.08904761905
7680.0,BG,8.56405,5116.80726190476
8640.0,BL,17.7268,3926.66794871795
8640.0,LB,9.52027,5057.18273809524
8640.0,GB,15.8487,4603.23026886512
8640.0,LG,9.39624,5121.94841269841
8640.0,BG,9.46885,5170.75476190476
9600.0,BL,19.836,3918.13956043956
9600.0,LB,10.5937,5139.43214285715
9600.0,GB,16.5845,4713.32848919055
9600.0,LG,10.3812,5097.84107142857
9600.0,BG,10.6245,5174.21448412698
14400.0,BL,29.6143,3922.46238095238
14400.0,LB,15.1598,5274.4853030303
14400.0,GB,23.5963,4862.18839869281
14400.0,LG,15.4004,5257.09317016317
14400.0,BG,15.4947,5352.02452214452
19200.0,BL,39.3437,3937.59074074074
19200.0,LB,19.8651,5365.21538461539
19200.0,GB,30.9312,4930.60358554489
24000.0,BL,51.3124,3929.60231231231
,,,
24000.0,GB,38.4884,5020.3722541507
28800.0,BL,59.8419,3952.83680955082
28800.0,LB,29.5015,5458.18062770563
28800.0,GB,46.7128,5013.7796095909
38400.0,BL,78.0387,3961.57303602058
38400.0,LB,39.3531,5525.44811344539
38400.0,GB,62.2643,5023.93382704701
48000.0,BL,97.5273,3977.14963396996
48000.0,LB,49.252,5530.15176549735
48000.0,GB,76.3908,5054.67716973139
24000.0,LB,26.1671,5356.263877831836
