kernels,order,SenderFreq,RecFreq,transfer_time,transfer_power,freq
14400,LG,"(0,)","(0, 0)",31.0497,3834.2864389233955,"((0,), (0, 0))"
14400,LG,"(0,)","(0, 1)",21.7457,4040.915238095239,"((0,), (0, 1))"
14400,LG,"(0,)","(0, 2)",17.3996,4254.725,"((0,), (0, 2))"
14400,LG,"(0,)","(0, 3)",16.8117,4361.3425990676005,"((0,), (0, 3))"
14400,LG,"(0,)","(0, 4)",16.7561,4507.800086580087,"((0,), (0, 4))"
14400,LG,"(0,)","(0, 5)",16.7231,4707.579533799534,"((0,), (0, 5))"
14400,LG,"(0,)","(0, 6)",16.6508,4883.256480186478,"((0,), (0, 6))"
14400,LG,"(0,)","(0, 7)",16.5781,5215.955303030303,"((0,), (0, 7))"
14400,BG,"(0,)","(0, 0)",30.9667,3835.4350707263757,"((0,), (0, 0))"
14400,BG,"(1,)","(0, 1)",21.7365,4063.888543417369,"((1,), (0, 1))"
14400,BG,"(2,)","(0, 2)",17.2302,4290.820088245088,"((2,), (0, 2))"
14400,BG,"(3,)","(0, 3)",15.7242,4448.478939393939,"((3,), (0, 3))"
14400,BG,"(4,)","(0, 4)",15.6922,4611.810151515151,"((4,), (0, 4))"
14400,BG,"(5,)","(0, 5)",15.6704,4804.251212121212,"((5,), (0, 5))"
14400,BG,"(6,)","(0, 6)",15.5962,5002.346515151516,"((6,), (0, 6))"
14400,BG,"(7,)","(0, 7)",15.508,5343.521515151516,"((7,), (0, 7))"
14400,BL,"(0,)","(0,)",39.0974,3627.591078270388,"((0,), (0,))"
14400,BL,"(0,)","(1,)",34.5953,3662.6933115942024,"((0,), (1,))"
14400,BL,"(0,)","(2,)",32.7944,3711.174447957839,"((0,), (2,))"
14400,BL,"(0,)","(3,)",31.7157,3760.3376190476206,"((0,), (3,))"
14400,BL,"(0,)","(4,)",30.8661,3821.6976190476194,"((0,), (4,))"
14400,BL,"(0,)","(5,)",30.8882,3913.115000000001,"((0,), (5,))"
14400,LB,"(0,)","(0,)",30.9068,3838.910962262374,"((0,), (0,))"
14400,LB,"(0,)","(1,)",21.5974,4043.465238095239,"((0,), (1,))"
14400,LB,"(0,)","(2,)",18.0149,4246.557126207126,"((0,), (2,))"
14400,LB,"(0,)","(3,)",17.2325,4363.778613053612,"((0,), (3,))"
14400,LB,"(0,)","(4,)",16.9223,4488.140909090911,"((0,), (4,))"
14400,LB,"(0,)","(5,)",16.8102,4674.444347319346,"((0,), (5,))"
14400,LB,"(0,)","(6,)",16.8486,4911.876398601397,"((0,), (6,))"
14400,LB,"(0,)","(7,)",16.6955,5224.564230769229,"((0,), (7,))"
14400,GB,"(0, 0)","(0,)",50.8231,3569.807053572502,"((0, 0), (0,))"
14400,GB,"(0, 1)","(1,)",37.2891,3696.4824004533134,"((0, 1), (1,))"
14400,GB,"(0, 2)","(2,)",31.8783,3804.2955958453767,"((0, 2), (2,))"
14400,GB,"(0, 3)","(3,)",26.4251,3984.6169934640534,"((0, 3), (3,))"
14400,GB,"(0, 4)","(4,)",25.3898,4176.032592879257,"((0, 4), (4,))"
14400,GB,"(0, 5)","(5,)",26.0683,4289.1526274509815,"((0, 5), (5,))"
14400,GB,"(0, 6)","(6,)",24.343,4562.443672969188,"((0, 6), (6,))"
14400,GB,"(0, 7)","(7,)",24.05,4875.547279411764,"((0, 7), (7,))"
