graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
google,GBLGGGLBBLL,"((0, 6), (1,), (5,), (2, 2), (0, 7), (1, 1), (1,), (4,), (7,), (0,), (1,))",149.365,580.1964,729.5614,3258.25556995922,3594.75703486379,486.669343206959,2085.66509050264,2572.3344337096
google,GBLGGGLBBLL,"((2, 1), (7,), (0,), (0, 2), (0, 3), (3, 4), (0,), (2,), (3,), (4,), (4,))",147.675,585.5662,733.2412,3258.82797215856,3589.68233104399,481.247420788516,2101.99664179657,2583.24406258508
google,GBLGGGLBBLL,"((1, 7), (3,), (2,), (0, 6), (0, 6), (0, 4), (2,), (3,), (6,), (4,), (0,))",147.579,583.3873,730.9663,3264.55078261608,3597.42289962853,481.779139947698,2098.69083237246,2580.46997232016
google,GBLGGGLBBLL,"((2, 4), (6,), (1,), (4, 3), (1, 7), (4, 6), (1,), (5,), (7,), (4,), (4,))",147.491,590.5291,738.0201,3261.24029609059,3593.094322664,481.003592510698,2121.82675657788,2602.83034908858
google,GBLGGGLBBLL,"((3, 1), (0,), (1,), (4, 1), (0, 7), (0, 4), (1,), (3,), (5,), (0,), (2,))",147.71,586.6099,734.3199,3265.66865288307,3600.63500955923,482.371916717358,2112.16814289404,2594.5400596114
google,GBLGGGLBBLL,"((0, 6), (6,), (0,), (2, 7), (3, 3), (1, 7), (0,), (7,), (0,), (1,), (0,))",147.666,585.9992,733.6652,3280.19281749382,3609.24541512348,484.372952588043,2115.01492586603,2599.38787845407
google,GBLGGGLBBLL,"((4, 4), (1,), (0,), (4, 6), (0, 3), (2, 2), (0,), (2,), (5,), (0,), (2,))",147.909,584.0605,731.9695,3272.31852108411,3606.49218031434,484.00536013503,2106.40962608048,2590.41498621551
google,GBLGGGLBBLL,"((4, 7), (0,), (2,), (3, 0), (3, 2), (4, 3), (1,), (7,), (5,), (0,), (4,))",147.632,582.9342,730.5662,3269.98861862395,3611.04157066966,482.754959744692,2104.99962916506,2587.75458890975
google,GBLGGGLBBLL,"((2, 1), (2,), (0,), (3, 3), (0, 0), (4, 2), (1,), (2,), (5,), (2,), (1,))",148.038,584.7854,732.8234,3273.88632799004,3607.1941857636,484.65958422299,2109.43449479944,2594.09407902243
google,GBLGGGLBBLL,"((2, 3), (7,), (0,), (3, 4), (0, 7), (2, 6), (1,), (0,), (5,), (4,), (4,))",147.585,583.5572,731.1422,3278.32491375256,3609.38912437204,483.831582396171,2106.285011129,2590.11659352517
google,LGBLBLLGGGB,"((0,), (4, 0), (2,), (4,), (2,), (4,), (3,), (2, 6), (1, 2), (1, 7), (1,))",214.117,434.6482,648.7652,3140.52660074906,3952.89005225115,672.440134172585,1718.11654600887,2390.55668018145
google,LGBLBLLGGGB,"((5,), (1, 3), (2,), (4,), (2,), (4,), (0,), (1, 3), (2, 7), (1, 5), (4,))",214.481,456.5178,670.9988,3131.72570902199,3902.26047676747,671.695661796745,1781.45136788084,2453.14702967758
google,LGBLBLLGGGB,"((1,), (3, 0), (1,), (0,), (7,), (3,), (3,), (2, 7), (0, 4), (4, 1), (2,))",214.667,459.93,674.597,3135.04505447084,3897.46819505686,672.990716708093,1792.5625469525,2465.55326366059
google,LGBLBLLGGGB,"((4,), (1, 3), (7,), (4,), (4,), (0,), (2,), (1, 5), (2, 5), (1, 7), (6,))",214.56,456.6093,671.1693,3139.89966084041,3902.20128699279,673.696871229918,1781.78139811288,2455.47826934279
google,LGBLBLLGGGB,"((3,), (2, 0), (1,), (5,), (0,), (1,), (0,), (0, 6), (0, 0), (4, 5), (4,))",214.636,465.8624,680.4984,3136.35595448855,3883.32475688012,673.174896647604,1809.09499121959,2482.26988786719
google,LGBLBLLGGGB,"((0,), (4, 7), (3,), (4,), (2,), (0,), (2,), (3, 4), (2, 7), (2, 2), (3,))",214.558,452.2899,666.8479,3152.26480830585,3932.06725413817,676.343632740487,1778.43430516743,2454.77793790791
