graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
mobile,BLLGGBGBGBLGLL,"((0,), (2,), (3,), (2, 1), (3, 1), (3,), (2, 6), (6,), (4, 4), (3,), (5,), (0, 6), (4,), (2,))",159.152,175.91017000000005,335.06217000000004,3358.024319340755,4422.213092711643,534.4362864717199,777.9122569151311,1312.348543386851
mobile,BLLGGBGBGBLGLL,"((5,), (4,), (4,), (1, 0), (4, 5), (0,), (2, 2), (7,), (2, 3), (6,), (5,), (0, 1), (5,), (0,))",116.692,195.16335,311.85535,4116.648680780006,4331.226910555481,480.3799678575804,845.2967534741579,1325.6767213317382
mobile,BLLGGBGBGBLGLL,"((7,), (5,), (3,), (2, 7), (1, 1), (4,), (2, 1), (4,), (3, 0), (4,), (5,), (4, 5), (5,), (3,))",113.948,148.06502000000006,262.01302000000004,4870.1149456099465,4759.847579404267,554.9398578223621,704.7669270414447,1259.706784863807
mobile,BLLGGBGBGBLGLL,"((4,), (1,), (3,), (1, 1), (3, 4), (5,), (0, 5), (2,), (4, 0), (2,), (0,), (3, 1), (2,), (0,))",121.08,193.3136000000001,314.39360000000005,3888.420553221287,4231.484224663872,470.8099605840334,818.0034488129821,1288.8134093970154
mobile,BLLGGBGBGBLGLL,"((4,), (5,), (1,), (3, 3), (4, 2), (6,), (4, 5), (1,), (4, 6), (6,), (3,), (3, 4), (5,), (1,))",120.768,146.63880000000003,267.40680000000003,3913.764285714285,4819.782327462683,472.6574852571428,706.767096760335,1179.424582017478
mobile,BLLGGBGBGBLGLL,"((2,), (5,), (1,), (3, 3), (4, 5), (7,), (3, 0), (5,), (3, 0), (5,), (3,), (4, 0), (1,), (2,))",130.271,149.70045000000002,279.97145,3628.76732513101,4742.510209480748,472.7231482121417,709.9559124888623,1182.679060701004
mobile,BLLGGBGBGBLGLL,"((2,), (0,), (5,), (1, 7), (4, 4), (3,), (2, 5), (4,), (0, 7), (1,), (2,), (2, 3), (4,), (4,))",129.85,196.14397,325.99397,3639.6316779597214,4308.073013897772,472.6061733830698,845.0025439957742,1317.608717378844
mobile,BLLGGBGBGBLGLL,"((4,), (3,), (3,), (4, 7), (4, 2), (7,), (1, 5), (7,), (2, 1), (0,), (5,), (0, 6), (1,), (4,))",120.341,177.81986,298.16086,3973.8213748832864,4541.719403346028,478.21363807482953,807.6079084622744,1285.821546537104
mobile,BLLGGBGBGBLGLL,"((6,), (0,), (4,), (0, 7), (0, 2), (5,), (4, 7), (2,), (4, 7), (2,), (1,), (4, 4), (5,), (0,))",115.929,190.71010000000004,306.63910000000004,4392.739315268065,4481.677727446443,509.24587607971154,854.701207569084,1363.9470836487956
mobile,BLLGGBGBGBLGLL,"((5,), (0,), (1,), (2, 6), (4, 3), (2,), (1, 5), (0,), (3, 3), (5,), (5,), (1, 2), (2,), (3,))",117.981,192.54076999999995,310.52176999999995,4212.18490842491,4267.632400746246,496.9577876808792,821.6932285166306,1318.6510161975098
mobile,LBBBLGBBGGLBLG,"((4,), (0,), (1,), (7,), (5,), (2, 3), (0,), (4,), (1, 6), (2, 7), (1,), (1,), (4,), (1, 3))",138.566,214.54294000000007,353.1089400000001,3414.0720067270527,4229.699017869916,473.0743016841408,907.4520626089248,1380.5263642930656
