Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
alex,B,0,-1,0,in,61.3228,3188.8661054170148
alex,B,0,-1,0,task,89.1421,3478.3000108395922
alex,B,0,-1,1,task,120.4167,3558.194852611721
alex,B,0,-1,2,task,42.5322,3437.6050511240255
alex,B,0,-1,3,task,32.3162,3476.3771769181035
alex,B,0,-1,4,task,22.2887,3483.7989590659786
alex,B,0,-1,5,task,82.6164,3739.1014824338185
alex,B,0,-1,6,task,36.1668,3710.7437349023908
alex,B,0,-1,7,task,9.5853,3605.2297546897544
alex,B,1,-1,0,in,41.6273,3315.9933244284457
alex,B,1,-1,0,task,53.3292,3766.163262698822
alex,B,1,-1,1,task,81.2171,3819.459431097364
alex,B,1,-1,2,task,32.8787,3576.2940909367708
alex,B,1,-1,3,task,24.1556,3634.7097366962807
alex,B,1,-1,4,task,16.3602,3635.5094776546994
alex,B,1,-1,5,task,56.2902,4039.162051977426
alex,B,1,-1,6,task,24.7998,3984.9350626361656
alex,B,1,-1,7,task,6.5195,3782.4
alex,B,2,-1,0,in,30.6458,3494.1978384687204
alex,B,2,-1,0,task,39.7267,4083.2688548758156
alex,B,2,-1,1,task,61.1049,4157.174101684795
alex,B,2,-1,2,task,27.9817,3730.142439431912
alex,B,2,-1,3,task,19.9553,3804.8020809187356
alex,B,2,-1,4,task,13.8184,3806.9391666666675
alex,B,2,-1,5,task,42.8582,4385.486282002718
alex,B,2,-1,6,task,18.7095,4300.568498168497
alex,B,2,-1,7,task,4.9203,3917.4916666666663
alex,B,3,-1,0,in,24.8953,3675.8756127450984
alex,B,3,-1,0,task,33.2766,4354.591152926784
alex,B,3,-1,1,task,50.1399,4477.094093852183
alex,B,3,-1,2,task,24.8669,3871.2759545923636
alex,B,3,-1,3,task,17.5445,3960.2674178762413
alex,B,3,-1,4,task,11.9994,3958.9557081807084
alex,B,3,-1,5,task,36.4724,4680.839049609809
alex,B,3,-1,6,task,15.9406,4552.457902097901
alex,B,3,-1,7,task,4.274,4055.843333333334
alex,B,4,-1,0,in,21.0491,3991.7463369963357
alex,B,4,-1,0,task,29.4536,4740.646006384247
alex,B,4,-1,1,task,43.0075,4904.759301011888
alex,B,4,-1,2,task,22.9667,4088.5708333333337
alex,B,4,-1,3,task,15.7965,4194.881818181818
alex,B,4,-1,4,task,10.8947,4202.539285714286
alex,B,4,-1,5,task,34.3368,5022.070553359683
alex,B,4,-1,6,task,15.0708,4870.880606060606
alex,B,4,-1,7,task,4.0555,4214.991666666666
alex,B,5,-1,0,in,17.7611,4306.994848484848
alex,B,5,-1,0,task,24.613,5322.725495127563
alex,B,5,-1,1,task,37.1926,5513.082174603173
alex,B,5,-1,2,task,21.403,4366.1024221611715
alex,B,5,-1,3,task,14.8341,4481.546117216117
alex,B,5,-1,4,task,10.1879,4465.686507936506
alex,B,5,-1,5,task,34.3606,5296.495754355145
alex,B,5,-1,6,task,14.8611,5155.141818181818
alex,B,5,-1,7,task,3.9336,4283.75
alex,B,6,-1,0,in,15.6686,4676.612323232324
alex,B,6,-1,0,task,22.0551,5949.793753501399
alex,B,6,-1,1,task,33.2665,6221.762723508375
alex,B,6,-1,2,task,20.8509,4699.9123386520605
alex,B,6,-1,3,task,14.3124,4782.5600505050525
alex,B,6,-1,4,task,9.5626,4799.2380952380945
alex,B,6,-1,5,task,34.0618,5629.372529644268
alex,B,6,-1,6,task,14.8714,5429.523333333333
alex,B,6,-1,7,task,3.916,4528.791666666666
alex,B,7,-1,0,in,14.0233,5235.080555555557
alex,B,7,-1,0,task,20.521,7002.43417261102
alex,B,7,-1,1,task,30.5336,7352.457528822054
alex,B,7,-1,2,task,20.287,5147.5505952380945
alex,B,7,-1,3,task,13.3795,5354.503073593074
alex,B,7,-1,4,task,9.187,5290.747142857141
alex,B,7,-1,5,task,34.0615,6186.838718708825
alex,B,7,-1,6,task,14.8142,5966.939999999999
alex,B,7,-1,7,task,3.8893,4832.966666666665
alex,G,0,0,0,in,54.2732,3240.8604562489413
alex,G,0,0,0,task,43.1607,3749.2530923248046
alex,G,0,0,1,task,80.0398,3709.2447761449084
alex,G,0,0,2,task,34.9285,3679.288333333332
alex,G,0,0,3,task,29.9002,3525.7877056277066
alex,G,0,0,4,task,22.8608,3468.550147058823
alex,G,0,0,5,task,56.2803,4012.570672088351
alex,G,0,0,6,task,24.6982,3952.867279411766
alex,G,0,0,7,task,17.3619,3365.5972527472522
alex,G,0,1,0,in,36.8548,3349.293442829311
alex,G,0,1,0,task,42.6251,3759.877727957577
alex,G,0,1,1,task,79.6872,3712.67911903261
alex,G,0,1,2,task,34.6569,3687.295770801662
alex,G,0,1,3,task,29.6749,3536.8159626338565
alex,G,0,1,4,task,22.2849,3485.791964285714
alex,G,0,1,5,task,55.9407,4018.2499823449825
alex,G,0,1,6,task,24.4693,3964.269035947714
alex,G,0,1,7,task,17.0343,3375.4859557109557
alex,G,0,2,0,in,27.3522,3495.71369883041
alex,G,0,2,0,task,42.3437,3781.2775132275146
alex,G,0,2,1,task,79.5895,3726.1269230769226
alex,G,0,2,2,task,34.5469,3702.2464426877477
alex,G,0,2,3,task,29.5652,3548.1423684210536
alex,G,0,2,4,task,22.1318,3501.027142857143
alex,G,0,2,5,task,55.9506,4029.780252884464
alex,G,0,2,6,task,24.337,3980.9215931372546
alex,G,0,2,7,task,16.834,3387.943939393941
alex,G,0,3,0,in,22.1594,3634.878690476191
alex,G,0,3,0,task,42.3569,3802.162169312168
alex,G,0,3,1,task,79.4861,3736.129100856598
alex,G,0,3,2,task,34.4326,3716.135770750989
alex,G,0,3,3,task,29.4005,3570.5427777777786
alex,G,0,3,4,task,21.9853,3510.9342857142856
alex,G,0,3,5,task,55.679,4046.5152077265243
alex,G,0,3,6,task,24.3093,3996.5742401960783
alex,G,0,3,7,task,16.7581,3401.092424242424
alex,G,0,4,0,in,18.6146,3871.3453096903104
alex,G,0,4,0,task,42.2589,3852.1306878306877
alex,G,0,4,1,task,79.4483,3754.805336662965
alex,G,0,4,2,task,34.363,3753.5602766798424
alex,G,0,4,3,task,29.3073,3588.2139473684197
alex,G,0,4,4,task,21.8431,3539.78619047619
alex,G,0,4,5,task,55.6298,4087.8130226467074
alex,G,0,4,6,task,24.1476,4009.565784313726
alex,G,0,4,7,task,16.693,3413.690151515152
alex,G,0,5,0,in,15.8909,4142.842727272728
alex,G,0,5,0,task,42.1256,3897.2882275132283
alex,G,0,5,1,task,79.4205,3795.6543527135095
alex,G,0,5,2,task,34.3645,3776.5152173913043
alex,G,0,5,3,task,29.334,3641.3615204678354
alex,G,0,5,4,task,21.8992,3604.3576190476174
alex,G,0,5,5,task,55.6224,4113.643528501966
alex,G,0,5,6,task,24.2454,4067.59362745098
alex,G,0,5,7,task,16.6833,3461.820454545452
alex,G,0,6,0,in,14.0987,4466.278611111109
alex,G,0,6,0,task,42.1774,3967.1485449735455
alex,G,0,6,1,task,79.3539,3842.9952111613875
alex,G,0,6,2,task,34.3068,3821.7796442687745
alex,G,0,6,3,task,29.2444,3691.15
alex,G,0,6,4,task,21.7843,3638.913333333334
alex,G,0,6,5,task,55.6649,4157.187823579882
alex,G,0,6,6,task,24.1268,4116.831642156863
alex,G,0,6,7,task,16.6034,3500.6409090909083
alex,G,0,7,0,in,12.63,4913.673015873015
alex,G,0,7,0,task,42.1591,4075.998544973546
alex,G,0,7,1,task,79.3678,3930.873227752639
alex,G,0,7,2,task,34.2625,3908.965019762846
alex,G,0,7,3,task,29.178,3785.7672807017534
alex,G,0,7,4,task,21.7412,3750.213809523809
alex,G,0,7,5,task,55.7037,4237.468221341644
alex,G,0,7,6,task,24.1764,4188.859632352941
alex,G,0,7,7,task,16.5988,3604.968181818183
alex,G,1,0,0,in,54.3625,3262.876646300525
alex,G,1,0,0,task,30.018,4036.8684210526317
alex,G,1,0,1,task,54.8318,4022.4927799227817
alex,G,1,0,2,task,24.4446,3927.608995098039
alex,G,1,0,3,task,21.101,3709.1389010989033
alex,G,1,0,4,task,16.3568,3617.900606060606
alex,G,1,0,5,task,39.9198,4370.808826210825
alex,G,1,0,6,task,17.8484,4259.807867132868
alex,G,1,0,7,task,12.6852,3468.717626262625
alex,G,1,1,0,in,37.3856,3369.587704647205
alex,G,1,1,0,task,29.57,4052.856842105264
alex,G,1,1,1,task,54.4732,4032.648253968253
alex,G,1,1,2,task,24.0905,3946.473431372549
alex,G,1,1,3,task,20.6293,3723.9340659340646
alex,G,1,1,4,task,15.7718,3635.168181818183
alex,G,1,1,5,task,39.7433,4395.748176638175
alex,G,1,1,6,task,17.5756,4286.196212121212
alex,G,1,1,7,task,12.3328,3486.640000000001
alex,G,1,2,0,in,27.3125,3517.653355263157
alex,G,1,2,0,task,29.1667,4085.6918421052633
alex,G,1,2,1,task,54.3698,4041.1218361218343
alex,G,1,2,2,task,23.8994,3968.589583333334
alex,G,1,2,3,task,20.3671,3749.487362637363
alex,G,1,2,4,task,15.6237,3652.6530303030304
alex,G,1,2,5,task,39.5344,4408.172700854703
alex,G,1,2,6,task,17.4225,4299.779545454546
alex,G,1,2,7,task,12.2085,3494.8508333333325
alex,G,1,3,0,in,22.2143,3648.1622069597083
alex,G,1,3,0,task,29.0282,4119.869883040938
alex,G,1,3,1,task,54.2365,4065.41603174603
alex,G,1,3,2,task,23.7389,3972.3958333333326
alex,G,1,3,3,task,20.175,3771.085164835163
alex,G,1,3,4,task,15.3957,3701.8624242424244
alex,G,1,3,5,task,39.3465,4438.709474358975
alex,G,1,3,6,task,17.3342,4314.946212121212
alex,G,1,3,7,task,12.0681,3513.306944444443
alex,G,1,4,0,in,18.6619,3886.729160839161
alex,G,1,4,0,task,28.9685,4163.1484210526305
alex,G,1,4,1,task,54.219,4089.5958730158704
alex,G,1,4,2,task,23.7198,4008.049583333334
alex,G,1,4,3,task,20.1476,3790.570329670328
alex,G,1,4,4,task,15.3668,3725.2889898989893
alex,G,1,4,5,task,39.4225,4454.730415954417
alex,G,1,4,6,task,17.2086,4341.018181818182
