graph,order,freq,score,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",698.657386783466,13.4823,122.4866,135.9689,4965.88103174603,5584.34737976704,66.9514978343095,684.007723766574,750.959221600883
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (3, 3), (7,))",699.922243319999,13.5181,123.27728,136.79538,4929.51014430015,5582.66399505014,66.6376110816638,688.215632463715,754.853243545379
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 7), (3, 3), (3, 4), (7,))",700.438871327745,13.6956,122.49757,136.19317,4934.9956962482,5609.98238753956,67.5877270575368,687.209210216394,754.796937273931
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (2, 4), (7,))",700.46556676731,13.5969,123.77831,137.37521,4950.64450577201,5542.91162560804,67.3134182805314,686.092233497116,753.405651777647
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",704.333860063731,14.9272,116.16128,131.08848,4704.72227994228,5925.35168445124,70.2283304171544,688.296436116012,758.524766533167
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.569329303213,15.1732,116.97977,132.15297,4713.60882756133,5949.4327338085,71.5205294623535,695.96327283139,767.483802293743
alex,GGGGGGGB,"((3, 6), (4, 4), (4, 1), (4, 4), (4, 3), (3, 3), (3, 3), (7,))",705.584386495274,13.9181,115.69379,129.61189,4962.85916305916,5999.62077807692,69.0735701173738,694.118866378467,763.192436495841
google,GBBBBBBBBBB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (6,), (6,))",963.683366367935,106.692,165.191,271.883,5024.75857142857,5801.07114694196,536.101541502857,958.284743834489,1494.38628533735
google,GBBBBBBBGGG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (4, 0), (3, 6), (3, 7))",983.093714293958,110.826,181.0186,291.8446,5307.77997835498,5615.99909541588,588.240023881169,1016.60029385345,1604.84031773462
google,GBBBBBBBBGB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (2, 1), (6,))",984.454492945896,107.511,192.026,299.537,5007.99075396826,5441.74343732813,538.414093949881,1044.95622529637,1583.37031924625
