graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
squeeze,BGLGLBLLBB,"((0,), (2, 2), (4,), (0, 1), (1,), (6,), (5,), (3,), (1,), (2,))",153.766,251.8357,405.6017,3397.173437345945,3995.03620120662,522.3697707669365,1006.0927382562102,1528.4625090231466
squeeze,BGLGLBLLBB,"((4,), (2, 2), (2,), (2, 2), (4,), (7,), (3,), (1,), (7,), (2,))",116.115,177.74100000000004,293.85600000000005,3992.573881951383,4452.167815719035,463.5977163027848,791.3327597337174,1254.930476036502
squeeze,BGLGLBLLBB,"((7,), (1, 1), (1,), (2, 3), (4,), (1,), (5,), (3,), (3,), (6,))",109.322,168.50721999999996,277.82922,5155.559285714286,4789.250070580148,563.6160522328571,807.0232152782643,1370.6392675111215
squeeze,BGLGLBLLBB,"((0,), (1, 5), (4,), (0, 0), (5,), (6,), (3,), (5,), (2,), (2,))",154.252,247.23247,401.48447,3387.445038371039,4038.073460470012,522.5201720588095,998.3428756734482,1520.8630477322577
squeeze,BGLGLBLLBB,"((4,), (0, 0), (4,), (3, 1), (1,), (2,), (3,), (2,), (1,), (7,))",113.35,176.16328,289.51328,4312.185353535356,4478.472309896559,488.7862098232325,788.9423715005543,1277.7285813237868
squeeze,BGLGLBLLBB,"((6,), (1, 1), (3,), (3, 5), (5,), (4,), (4,), (1,), (0,), (6,))",111.562,168.34646999999995,279.90847,4734.070854978356,4674.738684332927,528.1424127230953,786.9757556798924,1315.1181684029875
squeeze,BGLGLBLLBB,"((1,), (1, 7), (0,), (4, 0), (2,), (4,), (5,), (4,), (5,), (0,))",139.504,224.84907,364.35307,3478.869293279986,4149.781418054318,485.3161818897311,933.0744925527948,1418.3906744425258
squeeze,BGLGLBLLBB,"((7,), (4, 5), (3,), (0, 6), (4,), (2,), (1,), (1,), (1,), (1,))",112.854,211.0947,323.9487,4700.638452103452,4397.769468972984,530.4858518736829,928.3458267220112,1458.8316785956945
squeeze,BGLGLBLLBB,"((6,), (3, 4), (3,), (3, 2), (0,), (5,), (5,), (1,), (0,), (5,))",112.467,167.73200000000003,280.199,4625.240945165945,4655.386669069572,520.1869733799783,780.8573167763776,1301.044290156356
squeeze,BGLGLBLLBB,"((0,), (2, 2), (0,), (3, 5), (5,), (4,), (3,), (0,), (3,), (7,))",147.797,238.72094000000007,386.51794000000007,3484.518215192103,4101.251595884478,515.0013386507472,979.054636146043,1494.0559747967902
squeeze,BGGBBGBGBL,"((3,), (0, 2), (2, 4), (3,), (5,), (1, 1), (6,), (4, 3), (7,), (5,))",122.954,157.27186999999998,280.22587,3760.25278987911,4676.974908676875,462.3381215267961,735.5565898306913,1197.8947113574875
squeeze,BGGBBGBGBL,"((5,), (1, 1), (3, 7), (3,), (1,), (2, 7), (5,), (4, 1), (4,), (4,))",117.692,143.57778000000002,261.26978,4180.842953019203,4908.645143189011,492.05176882673607,704.7723724668605,1196.8241412935963
squeeze,BGGBBGBGBL,"((7,), (1, 1), (3, 3), (2,), (6,), (2, 4), (2,), (1, 0), (4,), (2,))",114.583,164.42882,279.01182,4774.327499167498,4749.080927036402,547.0567678371094,780.8857729171016,1327.942540754211
squeeze,BGGBBGBGBL,"((3,), (0, 7), (2, 5), (2,), (0,), (0, 3), (3,), (0, 6), (2,), (4,))",124.8,206.23355,331.03355,3730.114245048895,4240.754612180146,465.51825778210207,874.5858783487846,1340.104136130887
