graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
alex,GBBBBBBB,"((4, 6), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",12.0055,155.5354,167.5409,4918.2701984127,5689.38693525431,59.0462928670437,884.901072729554,943.947365596597
alex,BBBBBBBB,"((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,))",60.616,269.952,330.568,3368.69574780695,4177.39529875295,204.196861449066,1127.69621568896,1331.89307713802
alex,BBBBBBBB,"((7,), (6,), (5,), (4,), (3,), (2,), (1,), (0,))",15.7584,182.7166,198.475,4681.17252525253,5086.25408683064,73.7677891219394,929.343053481798,1003.11084260374
alex,BGGGLLBG,"((0,), (3, 5), (0, 0), (4, 7), (4,), (0,), (1,), (1, 1))",62.7271,270.116,332.8431,3270.29124788401,4018.90707792546,205.135886135145,1085.57110426091,1290.70699039606
alex,BGGGLLBG,"((7,), (4, 6), (1, 7), (2, 6), (5,), (0,), (7,), (0, 0))",16.722,197.1232,213.8452,4570.09392718393,4875.14808950521,76.4211106503697,961.004791877154,1037.42590252752
alex,BGGGLLBG,"((5,), (2, 4), (0, 0), (1, 4), (1,), (5,), (1,), (2, 2))",19.0688,228.2286,247.2974,4105.09902597403,4287.19949836819,78.2793123064935,978.461539433274,1056.74085173977
alex,BGGGLLBG,"((3,), (1, 6), (2, 7), (3, 0), (0,), (5,), (7,), (4, 0))",28.1574,227.72569,255.88309,3686.41192252579,4399.17368657768,103.799775067328,1001.80486320575,1105.60463827307
alex,BGGGLLBG,"((3,), (1, 0), (2, 1), (3, 6), (2,), (3,), (2,), (4, 5))",24.8993,215.31818,240.21748,3839.17383304604,4247.05819690004,95.5927410211632,914.468841310599,1010.06158233176
alex,BGGGLLBG,"((3,), (2, 6), (3, 0), (3, 6), (0,), (0,), (2,), (4, 4))",25.3807,225.2605,250.6412,3790.63726423903,4222.44198521562,96.2090272124715,951.149392810664,1047.35842002314
alex,BGGGLLBG,"((5,), (1, 6), (4, 3), (4, 4), (0,), (3,), (7,), (2, 4))",18.5415,203.52,222.0615,4190.45532634032,4609.1713535277,77.6973274333391,938.058553869957,1015.7558813033
alex,BGGGLLBG,"((3,), (3, 5), (3, 4), (4, 1), (0,), (5,), (2,), (2, 6))",25.0757,198.9229,223.9986,3793.87191059757,4536.81713128557,95.1339938685716,902.476820525006,997.610814393577
alex,BGGGLLBG,"((6,), (4, 7), (4, 4), (0, 2), (2,), (2,), (7,), (0, 4))",16.7956,187.6181,204.4137,4444.61666666667,4922.20078866172,74.6500036866667,923.493959787214,998.143963473881
alex,BGGGLLBG,"((3,), (3, 5), (0, 7), (2, 4), (1,), (3,), (7,), (4, 4))",25.2442,211.71819,236.96239,3812.37047969188,4480.52636308011,96.2402428634377,948.608931838604,1044.84917470204
alex,LLBLGGBL,"((4,), (5,), (5,), (2,), (1, 7), (0, 3), (6,), (2,))",40.5252,205.00341,245.52861,3382.6926236283,4467.03762197148,137.084295111062,915.757945102444,1052.84224021351
alex,LLBLGGBL,"((4,), (3,), (7,), (3,), (0, 3), (3, 2), (7,), (3,))",39.6678,189.29943,228.96723,3396.59447179832,4587.24976293141,134.735430188401,868.363765390551,1003.09919557895
alex,LLBLGGBL,"((5,), (3,), (1,), (4,), (2, 3), (2, 0), (1,), (4,))",33.8576,198.40639,232.26399,3545.30360916168,4296.37505522776,120.035471477552,852.428264793791,972.463736271343
