graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
alex,GGLGBBLL,"((3, 4), (1, 0), (3,), (3, 6), (7,), (1,), (4,), (2,))",20.3232,197.7203,218.0435,3975.990365582132,4361.329627450935,80.80484739779878,862.3234023384871,943.128249736286
alex,GGLGBBLL,"((3, 5), (1, 7), (2,), (3, 7), (1,), (3,), (1,), (4,))",18.2887,191.3091,209.5978,4205.419065085243,4422.487844918022,76.91164765562449,846.0621693722063,922.9738170278308
alex,GGLGBBLL,"((3, 4), (4, 0), (3,), (2, 7), (3,), (5,), (1,), (3,))",20.3873,153.21259999999998,173.5999,4015.609214804805,4957.441705137006,81.86742974499,759.5425329924739,841.4099627374638
alex,GGLGBBLL,"((0, 0), (0, 0), (1,), (0, 5), (2,), (7,), (1,), (5,))",52.8218,264.2939,317.1157,3361.107357910907,4111.49358180539,177.53974063809835,1086.6426735603154,1264.182414198414
alex,GGLGBBLL,"((3, 6), (4, 1), (5,), (3, 0), (2,), (5,), (0,), (3,))",16.1273,155.3906,171.5179,4496.780763403262,4985.803115751959,72.52093240563345,774.7469376385664,847.2678700441998
alex,GGLGBBLL,"((4, 5), (3, 1), (3,), (2, 6), (6,), (0,), (4,), (5,))",17.758,196.5865,214.3445,4430.315058275059,4496.9167669715935,78.67353480484849,884.033128010261,962.7066628151094
alex,GGLGBBLL,"((3, 0), (1, 2), (5,), (2, 1), (6,), (3,), (4,), (0,))",52.872,183.409,236.281,3425.228148586376,4473.689193876854,181.09866267205885,820.51486135976,1001.6135240318188
alex,GGLGBBLL,"((4, 6), (1, 4), (1,), (0, 3), (7,), (6,), (5,), (0,))",16.2704,205.6237,221.8941,4456.541025086024,4578.910570081979,72.50970509455964,941.532533389366,1014.0422384839256
alex,GGLGBBLL,"((1, 0), (1, 4), (2,), (4, 2), (7,), (0,), (1,), (2,))",52.8905,243.7653,296.6558,3360.180963590318,4118.282492069873,177.72165125477372,1003.8943671641604,1181.616018418934
alex,GGLGBBLL,"((1, 2), (0, 7), (4,), (0, 6), (0,), (0,), (3,), (3,))",27.6536,299.0013,326.6549,3647.995059769522,3965.163020268468,100.88019618484246,1185.5888977721984,1286.4690939570407
