graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
google,BBGLGBGGGBG,"((2,), (1,), (1, 4), (3,), (3, 7), (2,), (0, 0), (2, 7), (3, 6), (1,), (2, 0))",32.713,333.1631,365.8761,3565.43028077719,4154.56229671336,116.63592077506422,1384.1468539161428,1500.7827746912071
google,BBGLGBGGGBG,"((4,), (6,), (4, 7), (1,), (4, 0), (4,), (3, 7), (3, 6), (0, 1), (5,), (0, 2))",21.346,307.5701,328.9161,3936.09566291552,4379.80145861605,84.01989802059468,1347.0959726066844,1431.115870627279
google,BBGLGBGGGBG,"((2,), (2,), (4, 2), (4,), (0, 3), (7,), (4, 7), (3, 4), (4, 7), (6,), (4, 2))",31.5678,250.0704,281.6382,3678.95238854713,4761.5250170186,116.13643321117809,1190.7164656158482,1306.8528988270264
google,BBGLGBGGGBG,"((7,), (7,), (2, 5), (2,), (2, 6), (3,), (2, 7), (1, 2), (4, 6), (3,), (0, 3))",15.099,275.9011,291.0001,4786.90151875902,4696.66565174535,72.27742603174245,1295.8152196487588,1368.0926456805012
google,BBGLGBGGGBG,"((5,), (6,), (1, 5), (1,), (1, 5), (7,), (4, 6), (3, 5), (2, 5), (7,), (0, 4))",18.6153,284.1054,302.7207,4240.98497557998,4557.78625334625,78.947207615914,1294.8916866214379,1373.838894237352
google,BBGLGBGGGBG,"((5,), (2,), (1, 1), (5,), (0, 4), (7,), (0, 2), (0, 7), (2, 2), (2,), (2, 2))",18.4205,341.2832,359.7037,4175.65006049506,4243.68196964134,76.91756193934926,1448.2973623814994,1525.2149243208487
google,BBGLGBGGGBG,"((2,), (5,), (1, 0), (5,), (2, 2), (5,), (1, 4), (2, 4), (1, 3), (3,), (3, 5))",27.9827,296.9141,324.8968,3768.67004110183,4346.1639516951,105.4575631591402,1290.437358169994,1395.8949213291341
google,BBGLGBGGGBG,"((6,), (0,), (3, 7), (1,), (2, 0), (7,), (2, 1), (2, 0), (1, 7), (0,), (1, 3))",15.8789,353.678,369.5569,4491.00950854701,4190.63127404263,71.31229088526712,1482.1340877408493,1553.4463786261165
google,BBGLGBGGGBG,"((1,), (0,), (0, 1), (4,), (1, 6), (2,), (2, 6), (0, 6), (0, 4), (6,), (4, 0))",42.7028,409.9952,452.698,3474.60476613503,3984.02611247309,148.37535240731097,1633.431582788627,1781.806935195938
google,BBGLGBGGGBG,"((7,), (5,), (2, 4), (1,), (0, 5), (4,), (3, 2), (2, 7), (4, 2), (4,), (2, 5))",15.2364,268.5855,283.8219,4864.76838383838,4655.94177134988,74.1215570035151,1250.518448628893,1324.6400056324082
