graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
res50,GGBBBBGLGLBBBBBGGG,"((2, 2), (4, 7), (4,), (5,), (0,), (2,), (1, 1), (0,), (2, 1), (1,), (0,), (3,), (1,), (0,), (1,), (3, 0), (1, 6), (4, 3))",75.483,911.4331,986.9161,3724.815962219325,4150.852435766007,281.16028327620137,3783.2243031727626,4064.384586448964
res50,GGBBBBGLGLBBBBBGGG,"((1, 3), (3, 5), (7,), (2,), (5,), (7,), (1, 0), (3,), (3, 6), (5,), (5,), (5,), (6,), (2,), (3,), (0, 2), (0, 6), (4, 7))",109.831,732.7508,842.5818,4242.985082140085,4645.317254826672,466.0112945565277,3403.859934728048,3869.871229284576
res50,GGBBBBGLGLBBBBBGGG,"((4, 0), (0, 3), (7,), (2,), (3,), (0,), (3, 2), (4,), (4, 4), (5,), (6,), (4,), (2,), (5,), (7,), (3, 5), (3, 3), (4, 6))",136.747,657.8502999999998,794.5972999999999,3722.950683796595,4951.079022692412,509.102337157133,3257.0688204019093,3766.1711575590425
res50,GGBBBBGLGLBBBBBGGG,"((0, 4), (2, 0), (6,), (5,), (6,), (3,), (0, 1), (4,), (2, 1), (1,), (1,), (2,), (7,), (5,), (2,), (1, 0), (4, 4), (2, 0))",109.312,780.4780999999999,889.7900999999999,3881.146914751915,4538.469499469686,424.25593154536136,3542.176051854051,3966.431983399412
res50,GGBBBBGLGLBBBBBGGG,"((0, 6), (1, 7), (4,), (2,), (3,), (0,), (3, 4), (1,), (3, 4), (0,), (4,), (1,), (6,), (3,), (5,), (3, 3), (2, 5), (3, 1))",105.47,787.4909,892.9609,4381.249754689754,4476.359782590742,462.09041162712833,3525.0925939161875,3987.183005543316
res50,GGBBBBGLGLBBBBBGGG,"((2, 6), (2, 1), (6,), (0,), (7,), (2,), (4, 0), (0,), (1, 1), (5,), (2,), (2,), (7,), (5,), (5,), (4, 4), (0, 6), (1, 0))",107.55,764.7536000000001,872.3036000000001,4352.01386215092,4689.7955415157785,468.0590908743314,3586.538023638142,4054.5971145124736
res50,GGBBBBGLGLBBBBBGGG,"((3, 4), (2, 4), (0,), (1,), (1,), (7,), (3, 0), (1,), (3, 2), (3,), (2,), (0,), (2,), (7,), (5,), (2, 3), (2, 2), (3, 5))",109.949,777.4713,887.4203,4251.080516150515,4499.305070548911,467.40205167023294,3498.080562296254,3965.482613966487
res50,GGBBBBGLGLBBBBBGGG,"((4, 7), (4, 2), (1,), (7,), (4,), (2,), (3, 5), (5,), (4, 6), (2,), (1,), (7,), (6,), (6,), (6,), (4, 0), (1, 0), (2, 4))",106.315,618.6185,724.9335,5070.663690476191,5218.875813595625,539.0876102529762,3228.4931274928053,3767.580737745781
res50,GGBBBBGLGLBBBBBGGG,"((1, 0), (3, 2), (0,), (0,), (2,), (3,), (2, 0), (1,), (0, 2), (0,), (6,), (7,), (1,), (5,), (3,), (2, 4), (4, 1), (2, 6))",135.775,867.6206,1003.3956,3560.5275888927363,4366.621727748495,483.43063338191126,3788.5709634021855,4272.001596784096
res50,GGBBBBGLGLBBBBBGGG,"((3, 7), (0, 4), (3,), (2,), (0,), (4,), (2, 1), (0,), (3, 5), (2,), (0,), (5,), (0,), (2,), (5,), (0, 6), (0, 5), (4, 5))",99.4977,960.1215999999998,1059.6192999999998,5136.575912698412,4217.934978002628,511.0774891888928,4049.730479775847,4560.80796896474
res50,GLLBGBGGGBBGLGLGBG,"((2, 0), (3,), (5,), (6,), (1, 7), (3,), (3, 1), (1, 5), (1, 0), (6,), (6,), (2, 2), (5,), (0, 7), (3,), (4, 4), (3,), (2, 4))",112.821,766.7947,879.6157000000001,3468.6827919414086,4678.858114188598,391.3402612696217,3587.723604011812,3979.0638652814337
res50,GLLBGBGGGBBGLGLGBG,"((0, 4), (3,), (2,), (6,), (4, 7), (0,), (1, 7), (3, 0), (4, 2), (4,), (3,), (4, 2), (2,), (4, 3), (4,), (3, 7), (1,), (2, 5))",106.321,724.5869199999999,830.9079199999999,4150.058352758351,4817.631482473665,441.23835412362064,3490.7927575806257,3932.031111704247
res50,GLLBGBGGGBBGLGLGBG,"((0, 3), (4,), (1,), (0,), (2, 0), (6,), (3, 5), (2, 7), (3, 1), (3,), (0,), (1, 6), (5,), (4, 6), (1,), (3, 6), (3,), (3, 7))",109.205,856.5600900000001,965.76509,4138.2179204129225,4436.526292037228,451.9140879986932,3800.151359994775,4252.065447993468
res50,GLLBGBGGGBBGLGLGBG,"((3, 1), (2,), (0,), (0,), (0, 6), (4,), (1, 7), (4, 5), (1, 6), (3,), (1,), (1, 4), (0,), (4, 1), (1,), (4, 4), (2,), (2, 0))",125.71,946.38747,1072.0974700000002,3618.274169834193,4303.777001070635,454.85324588985634,4073.040627487426,4527.893873377283
res50,GLLBGBGGGBBGLGLGBG,"((2, 3), (4,), (4,), (5,), (2, 2), (5,), (3, 6), (3, 7), (4, 3), (6,), (6,), (3, 2), (0,), (4, 0), (4,), (3, 1), (1,), (4, 5))",112.039,674.48105,786.52005,4057.244094516594,4902.701766473376,454.5695711055447,3306.7794352878173,3761.349006393362
res50,GLLBGBGGGBBGLGLGBG,"((3, 4), (2,), (2,), (3,), (1, 7), (4,), (2, 4), (2, 6), (0, 1), (0,), (0,), (4, 1), (4,), (1, 1), (2,), (4, 0), (2,), (3, 3))",109.738,882.7466700000002,992.4846700000002,4181.403292540791,4346.221301694951,458.8588345168413,3836.612381154284,4295.471215671126
res50,GLLBGBGGGBBGLGLGBG,"((2, 6), (0,), (2,), (5,), (4, 6), (7,), (3, 7), (1, 0), (4, 3), (7,), (2,), (4, 3), (4,), (1, 6), (1,), (0, 7), (2,), (3, 1))",109.325,773.9404599999999,883.26546,4434.291977466977,4718.93245638862,484.77897043657725,3652.172756006338,4136.951726442915
res50,GLLBGBGGGBBGLGLGBG,"((1, 7), (1,), (1,), (6,), (1, 6), (7,), (0, 0), (3, 3), (3, 0), (6,), (4,), (4, 0), (2,), (3, 1), (3,), (0, 5), (4,), (0, 3))",105.994,794.1509,900.1449,4877.69667027417,4591.041886069301,517.0065808690404,3645.980045759633,4162.986626628673
res50,GLLBGBGGGBBGLGLGBG,"((0, 6), (1,), (1,), (3,), (1, 4), (5,), (0, 3), (0, 2), (0, 0), (2,), (7,), (3, 2), (5,), (2, 1), (0,), (2, 2), (3,), (3, 7))",105.123,966.47077,1071.5937700000002,4911.055476190476,4227.643699696376,516.2648848235714,4085.894061731206,4602.158946554778
res50,GLLBGBGGGBBGLGLGBG,"((3, 0), (3,), (1,), (6,), (4, 6), (1,), (4, 7), (2, 6), (1, 2), (4,), (1,), (0, 0), (0,), (1, 5), (5,), (0, 4), (4,), (3, 2))",140.727,866.72447,1007.45147,3547.07643361298,4415.3857032001015,499.1694252730539,3826.922833451685,4326.092258724739
res50,BLLLGGGBBBLBGBLGLB,"((6,), (0,), (0,), (5,), (0, 2), (3, 2), (2, 0), (2,), (1,), (5,), (2,), (1,), (3, 7), (5,), (1,), (1, 7), (4,), (7,))",59.0424,840.1154099999999,899.1578099999999,4914.251092241091,4301.346279230408,290.1491786885354,3613.627292927628,3903.776471616164
res50,BLLLGGGBBBLBGBLGLB,"((1,), (0,), (0,), (2,), (3, 0), (4, 2), (1, 1), (1,), (3,), (1,), (1,), (3,), (1, 1), (5,), (0,), (1, 1), (0,), (4,))",130.485,896.8098999999999,1027.2949,3537.098368746016,4121.559013879476,461.53828064582393,3696.254927081351,4157.793207727174
res50,BLLLGGGBBBLBGBLGLB,"((7,), (5,), (1,), (5,), (4, 6), (4, 0), (2, 7), (6,), (0,), (7,), (1,), (4,), (1, 7), (5,), (0,), (3, 1), (2,), (4,))",103.247,721.6782300000001,824.92523,4989.217077922079,4691.328994648935,515.1216956442208,3385.630005205923,3900.751700850144
res50,BLLLGGGBBBLBGBLGLB,"((7,), (2,), (0,), (2,), (1, 5), (1, 0), (0, 4), (3,), (5,), (0,), (5,), (4,), (3, 7), (0,), (3,), (2, 0), (1,), (6,))",104.178,818.0788900000001,922.25689,5147.368784271286,4343.894994757107,536.242585207814,3553.648795587451,4089.891380795265
res50,BLLLGGGBBBLBGBLGLB,"((3,), (3,), (2,), (4,), (2, 3), (1, 6), (4, 3), (2,), (5,), (1,), (5,), (0,), (2, 5), (5,), (1,), (0, 6), (3,), (5,))",113.948,790.76333,904.71133,3923.5898979696776,4377.756455197054,447.0852216938488,3461.769272440618,3908.854494134466
res50,BLLLGGGBBBLBGBLGLB,"((1,), (3,), (2,), (2,), (4, 3), (1, 4), (1, 4), (1,), (0,), (1,), (2,), (3,), (1, 3), (0,), (0,), (4, 0), (4,), (2,))",130.029,882.3786100000001,1012.40761,3529.1898492627715,4190.080135562343,458.8970269097889,3697.237085806112,4156.1341127159
res50,BLLLGGGBBBLBGBLGLB,"((5,), (1,), (2,), (2,), (2, 3), (4, 7), (0, 1), (5,), (3,), (0,), (4,), (3,), (1, 4), (2,), (0,), (3, 0), (0,), (6,))",105.267,830.62104,935.88804,4472.15514069264,4253.692576821865,470.7703551952921,3533.2065520000574,4003.9769071953497
res50,BLLLGGGBBBLBGBLGLB,"((0,), (5,), (5,), (5,), (4, 2), (0, 1), (4, 1), (3,), (5,), (5,), (4,), (5,), (2, 6), (6,), (4,), (1, 1), (4,), (2,))",146.695,671.2155399999999,817.91054,3413.227561984951,4763.577698151642,500.7034172053824,3197.387376996811,3698.090794202193
res50,BLLLGGGBBBLBGBLGLB,"((1,), (1,), (4,), (3,), (1, 0), (0, 1), (1, 0), (5,), (5,), (3,), (3,), (7,), (2, 6), (1,), (2,), (1, 2), (4,), (0,))",128.172,782.7387900000001,910.91079,3496.200963553327,4380.29897662589,448.115069900557,3428.629920802388,3876.744990702945
res50,BLLLGGGBBBLBGBLGLB,"((5,), (4,), (5,), (3,), (3, 6), (4, 0), (2, 5), (1,), (3,), (4,), (1,), (6,), (1, 6), (3,), (3,), (2, 7), (3,), (4,))",105.982,665.46806,771.45006,4347.143457098455,4675.173233258343,460.7189578702085,3111.1784617003573,3571.897419570566
res50,GLLLBLBGBGGGBLLLGB,"((4, 1), (4,), (0,), (1,), (1,), (5,), (5,), (4, 6), (3,), (0, 0), (2, 1), (2, 0), (7,), (0,), (2,), (5,), (3, 2), (6,))",82.684,751.4281500000001,834.11215,3911.445652562489,4510.6876269339855,323.41397233647683,3389.457658734895,3712.871631071372
res50,GLLLBLBGBGGGBLLLGB,"((2, 0), (4,), (4,), (5,), (1,), (5,), (3,), (4, 5), (3,), (0, 3), (0, 4), (0, 4), (2,), (2,), (5,), (4,), (4, 3), (6,))",137.002,769.2791500000001,906.28115,3561.457098991822,4483.872664358682,487.92674547607766,3449.349751946083,3937.27649742216
res50,GLLLBLBGBGGGBLLLGB,"((4, 5), (4,), (2,), (0,), (5,), (1,), (5,), (0, 6), (2,), (2, 0), (4, 1), (2, 2), (1,), (4,), (2,), (0,), (2, 7), (5,))",104.471,751.25753,855.72853,4901.719592352091,4474.06417175086,512.0875475326154,3361.1743987310465,3873.261946263662
res50,GLLLBLBGBGGGBLLLGB,"((1, 2), (4,), (0,), (2,), (1,), (3,), (0,), (1, 7), (3,), (2, 7), (0, 6), (4, 3), (7,), (2,), (0,), (1,), (1, 0), (4,))",118.652,873.56508,992.21708,3744.915128271281,4264.896699116204,444.341669799644,3725.664826155183,4170.006495954826
res50,GLLLBLBGBGGGBLLLGB,"((2, 1), (4,), (5,), (0,), (5,), (5,), (6,), (4, 0), (6,), (1, 5), (1, 4), (1, 2), (2,), (4,), (4,), (1,), (1, 3), (2,))",125.402,702.3419999999999,827.7439999999999,3603.5925939796207,4631.090836322087,451.8977184702324,3252.6096001641267,3704.5073186343593
res50,GLLLBLBGBGGGBLLLGB,"((0, 5), (4,), (4,), (1,), (1,), (3,), (7,), (1, 7), (4,), (3, 7), (4, 3), (3, 4), (6,), (2,), (1,), (2,), (1, 7), (4,))",106.001,716.08671,822.08771,4506.066093073592,4614.391543441335,477.64751193189386,3304.304458994728,3781.9519709266215
res50,GLLLBLBGBGGGBLLLGB,"((1, 6), (0,), (0,), (1,), (0,), (1,), (0,), (1, 4), (2,), (3, 4), (1, 0), (3, 0), (1,), (0,), (1,), (2,), (0, 4), (0,))",105.277,1013.68844,1118.96544,4407.8360606060605,4014.0109260307945,464.04375695242425,4068.956473751111,4533.000230703536
res50,GLLLBLBGBGGGBLLLGB,"((4, 5), (0,), (4,), (4,), (5,), (4,), (2,), (3, 6), (2,), (3, 1), (0, 3), (3, 7), (4,), (0,), (2,), (1,), (2, 5), (4,))",107.335,737.6004900000001,844.9354900000002,4659.741608946608,4502.457917045231,500.1533655962841,3321.015165816942,3821.168531413226
res50,GLLLBLBGBGGGBLLLGB,"((4, 5), (2,), (5,), (2,), (1,), (2,), (7,), (1, 5), (4,), (3, 4), (1, 2), (2, 3), (2,), (2,), (0,), (5,), (1, 3), (4,))",108.644,741.20225,849.84625,4612.051208513709,4486.635186546531,501.07169149776337,3325.504095197459,3826.575786695222
res50,GLLLBLBGBGGGBLLLGB,"((0, 1), (0,), (0,), (5,), (6,), (3,), (6,), (3, 6), (5,), (1, 1), (1, 5), (1, 5), (0,), (4,), (1,), (0,), (2, 4), (2,))",127.411,837.07899,964.48999,3595.7150860539896,4336.910838779979,458.1336548292248,3630.336944645997,4088.470599475222
res50,LGGGGGGBGBGBGLLGGG,"((3,), (0, 4), (1, 1), (0, 1), (4, 7), (4, 5), (1, 1), (2,), (4, 3), (0,), (4, 2), (3,), (4, 6), (3,), (1,), (0, 7), (2, 6), (0, 4))",107.277,886.2886000000001,993.5656,3375.967576128936,4434.175165103396,362.1636736643839,3929.958899234258,4292.122572898642
res50,LGGGGGGBGBGBGLLGGG,"((0,), (0, 7), (1, 5), (0, 5), (2, 4), (2, 3), (2, 1), (4,), (2, 6), (7,), (4, 2), (6,), (2, 0), (2,), (5,), (0, 2), (3, 7), (4, 3))",206.802,879.2320999999998,1086.0341,3232.1130982308823,4437.874363339382,668.407452940343,3901.9215960150473,4570.32904895539
res50,LGGGGGGBGBGBGLLGGG,"((2,), (1, 7), (4, 1), (1, 6), (0, 0), (2, 4), (1, 4), (0,), (1, 4), (0,), (1, 7), (4,), (4, 4), (1,), (1,), (2, 2), (2, 2), (3, 7))",147.173,957.4653999999998,1104.6383999999998,3337.820884481372,4219.467803533523,491.2371130317769,4039.994428297345,4531.231541329122
res50,LGGGGGGBGBGBGLLGGG,"((3,), (3, 3), (0, 5), (2, 1), (4, 7), (2, 2), (0, 4), (1,), (3, 6), (6,), (3, 7), (2,), (0, 4), (2,), (2,), (0, 7), (3, 7), (4, 1))",137.376,865.998,1003.374,3410.519346033868,4447.049344706377,468.5235056807487,3851.1358384170335,4319.659344097782
