Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
alex,B,0,-1,0,in,61.3225,3267.4598461869314
alex,B,0,-1,0,task,83.2169,3577.8025163562143
alex,B,0,-1,1,task,116.5954,3656.0059545491467
alex,B,0,-1,2,task,39.7917,3540.121319558474
alex,B,0,-1,3,task,29.0519,3595.4541304380605
alex,B,0,-1,4,task,22.4653,3563.872725975455
alex,B,0,-1,5,task,82.3645,3825.4775349918996
alex,B,0,-1,6,task,36.3183,3801.940930115222
alex,B,0,-1,7,task,9.5707,3698.0986111111106
alex,B,1,-1,0,in,41.6048,3389.406433041415
alex,B,1,-1,0,task,52.4261,3845.6774525479145
alex,B,1,-1,1,task,80.102,3914.8578155254672
alex,B,1,-1,2,task,30.1679,3701.7505047600193
alex,B,1,-1,3,task,21.664,3779.563831630149
alex,B,1,-1,4,task,16.6108,3720.6702734765236
alex,B,1,-1,5,task,56.3871,4126.855987187304
alex,B,1,-1,6,task,24.7785,4070.0104274165806
alex,B,1,-1,7,task,6.5238,3867.755
alex,B,2,-1,0,in,30.6417,3576.474365987433
alex,B,2,-1,0,task,39.9189,4143.930357663563
alex,B,2,-1,1,task,59.1931,4266.6257692596755
alex,B,2,-1,2,task,25.9365,3852.4984292827808
alex,B,2,-1,3,task,17.7589,3976.4606171606174
alex,B,2,-1,4,task,13.8026,3891.5206379731385
alex,B,2,-1,5,task,43.0173,4470.834808117378
alex,B,2,-1,6,task,18.9058,4383.296488095238
alex,B,2,-1,7,task,4.9436,4000.8349999999987
alex,B,3,-1,0,in,24.8109,3753.7520133053226
alex,B,3,-1,0,task,32.7103,4436.343095228464
alex,B,3,-1,1,task,48.6858,4575.944587129174
alex,B,3,-1,2,task,22.6418,4015.1311509066268
alex,B,3,-1,3,task,15.3629,4145.364179292929
alex,B,3,-1,4,task,12.126,4060.8704797979794
alex,B,3,-1,5,task,36.8648,4765.885739296713
alex,B,3,-1,6,task,15.9797,4639.5642890442905
alex,B,3,-1,7,task,4.2279,4136.7249999999985
alex,B,4,-1,0,in,20.9057,4027.7421428571433
alex,B,4,-1,0,task,28.5011,4841.847305652724
alex,B,4,-1,1,task,41.5146,5030.466415593736
alex,B,4,-1,2,task,20.9904,4229.509413919413
alex,B,4,-1,3,task,14.1567,4382.756111111111
alex,B,4,-1,4,task,11.0789,4298.89785103785
alex,B,4,-1,5,task,34.5107,5095.276544788546
alex,B,4,-1,6,task,14.925,4951.2619075369075
alex,B,4,-1,7,task,3.9557,4273.7
alex,B,5,-1,0,in,17.7702,4385.768205128204
alex,B,5,-1,0,task,24.6663,5401.163738555681
alex,B,5,-1,1,task,36.209,5648.396634074539
alex,B,5,-1,2,task,19.5957,4522.346794871795
alex,B,5,-1,3,task,13.3849,4700.964102564102
alex,B,5,-1,4,task,10.4755,4542.570833333334
alex,B,5,-1,5,task,34.2105,5398.5939119455425
alex,B,5,-1,6,task,14.8565,5215.506565656567
alex,B,5,-1,7,task,3.9242,4468.625000000001
alex,B,6,-1,0,in,15.6623,4769.818888888888
alex,B,6,-1,0,task,22.3916,6015.6488644688625
alex,B,6,-1,1,task,32.7057,6336.168736376236
alex,B,6,-1,2,task,18.6714,4836.8847152847175
alex,B,6,-1,3,task,12.6816,5022.270833333332
alex,B,6,-1,4,task,9.9838,4823.362716450216
alex,B,6,-1,5,task,34.0841,5705.907915273132
alex,B,6,-1,6,task,14.8614,5510.205
alex,B,6,-1,7,task,3.8941,4587.516666666666
alex,B,7,-1,0,in,14.0197,5329.235833333332
alex,B,7,-1,0,task,20.6803,7001.545831967125
alex,B,7,-1,1,task,29.8088,7489.974294431731
alex,B,7,-1,2,task,18.1452,5306.532272727273
alex,B,7,-1,3,task,12.029,5562.371266233767
alex,B,7,-1,4,task,9.6199,5277.849523809524
alex,B,7,-1,5,task,34.0352,6251.4961337285895
alex,B,7,-1,6,task,14.7659,5998.37212121212
alex,B,7,-1,7,task,3.9104,4857.549999999999
alex,G,0,0,0,in,53.2217,3346.530480578686
alex,G,0,0,0,task,43.1638,3833.8501631442336
alex,G,0,0,1,task,80.1036,3806.490532075138
alex,G,0,0,2,task,35.0371,3773.2065
alex,G,0,0,3,task,30.0779,3624.6560822510805
alex,G,0,0,4,task,22.8412,3562.3919117647056
alex,G,0,0,5,task,56.3867,4112.067537523453
alex,G,0,0,6,task,24.7455,4051.1290441176466
alex,G,0,0,7,task,17.3265,3470.657417582417
alex,G,0,1,0,in,36.1046,3440.4824636844633
alex,G,0,1,0,task,42.6929,3840.8159982579114
alex,G,0,1,1,task,79.8428,3794.8098229456796
alex,G,0,1,2,task,34.6481,3775.282228590251
alex,G,0,1,3,task,29.7823,3620.866789701527
alex,G,0,1,4,task,22.2353,3567.0763690476183
alex,G,0,1,5,task,55.988,4112.5247690111
alex,G,0,1,6,task,24.493,4060.2470098039216
alex,G,0,1,7,task,16.9677,3465.2288461538437
alex,G,0,2,0,in,26.751,3597.0713071895425
alex,G,0,2,0,task,42.5588,3872.557849844918
alex,G,0,2,1,task,79.676,3818.0561320754705
alex,G,0,2,2,task,34.5176,3792.8924901185783
alex,G,0,2,3,task,29.5908,3646.05605263158
alex,G,0,2,4,task,22.0968,3592.1909523809513
alex,G,0,2,5,task,55.8207,4136.614871977239
alex,G,0,2,6,task,24.3759,4078.6215196078433
alex,G,0,2,7,task,16.8611,3499.7541958041957
alex,G,0,3,0,in,21.7299,3729.6924358974356
alex,G,0,3,0,task,42.4093,3886.355820105817
alex,G,0,3,1,task,79.5794,3831.1187412846116
alex,G,0,3,2,task,34.4294,3804.8144268774713
alex,G,0,3,3,task,29.4526,3653.228947368421
alex,G,0,3,4,task,21.9989,3605.885238095237
alex,G,0,3,5,task,55.8365,4141.757590146536
alex,G,0,3,6,task,24.262,4084.0616421568634
alex,G,0,3,7,task,16.7305,3489.75681818182
alex,G,0,4,0,in,18.4524,3966.534948384948
alex,G,0,4,0,task,42.3267,3932.470502645502
alex,G,0,4,1,task,79.536,3845.4225305216432
alex,G,0,4,2,task,34.3565,3815.570355731224
alex,G,0,4,3,task,29.3885,3663.541052631578
alex,G,0,4,4,task,21.8483,3614.6876190476164
alex,G,0,4,5,task,55.7888,4178.480952155164
alex,G,0,4,6,task,24.1574,4094.6866421568625
alex,G,0,4,7,task,16.6724,3504.8795454545457
alex,G,0,5,0,in,15.7414,4235.191843434344
alex,G,0,5,0,task,42.2345,3987.3924603174614
alex,G,0,5,1,task,79.4966,3888.61338256638
alex,G,0,5,2,task,34.3122,3853.734189723322
alex,G,0,5,3,task,29.3408,3721.755263157894
alex,G,0,5,4,task,21.8255,3675.3042857142864
alex,G,0,5,5,task,55.9175,4200.831517645465
alex,G,0,5,6,task,24.1444,4150.317573529411
alex,G,0,5,7,task,16.6219,3549.8469696969696
alex,G,0,6,0,in,13.93,4533.997261904763
alex,G,0,6,0,task,42.2353,4054.080555555554
alex,G,0,6,1,task,79.4716,3938.020611713479
alex,G,0,6,2,task,34.2551,3916.902173913044
alex,G,0,6,3,task,29.2963,3775.640263157895
alex,G,0,6,4,task,21.7705,3731.5466666666675
alex,G,0,6,5,task,55.7401,4248.829398463036
alex,G,0,6,6,task,24.117,4189.3171323529405
alex,G,0,6,7,task,16.5958,3611.7196969696965
alex,G,0,7,0,in,12.5436,4981.041587301587
alex,G,0,7,0,task,42.1686,4160.570238095238
alex,G,0,7,1,task,79.446,4026.994834087483
alex,G,0,7,2,task,34.2837,3985.924703557314
alex,G,0,7,3,task,29.2594,3868.7344736842106
alex,G,0,7,4,task,21.7286,3846.1076190476197
alex,G,0,7,5,task,55.6198,4331.544773307144
alex,G,0,7,6,task,24.0393,4280.708455882353
alex,G,0,7,7,task,16.5725,3695.547727272729
alex,G,1,0,0,in,53.1268,3351.9320047293854
alex,G,1,0,0,task,30.046,4116.231052631579
alex,G,1,0,1,task,55.0411,4096.491996996996
alex,G,1,0,2,task,24.3969,4013.488823529412
alex,G,1,0,3,task,21.2444,3784.8682417582404
alex,G,1,0,4,task,16.5093,3702.7110606060633
alex,G,1,0,5,task,40.0174,4461.452871794872
alex,G,1,0,6,task,17.7767,4358.979895104895
alex,G,1,0,7,task,12.649,3567.359848484848
alex,G,1,1,0,in,36.0574,3466.945761904761
alex,G,1,1,0,task,29.559,4141.120204678362
alex,G,1,1,1,task,54.8336,4107.229731874732
alex,G,1,1,2,task,24.0676,4026.848749999999
alex,G,1,1,3,task,20.7676,3792.958241758242
alex,G,1,1,4,task,15.9429,3722.538181818182
alex,G,1,1,5,task,39.7,4479.188478632477
alex,G,1,1,6,task,17.5821,4374.08712121212
alex,G,1,1,7,task,12.3272,3585.6805555555557
alex,G,1,2,0,in,26.7293,3609.197054093567
alex,G,1,2,0,task,29.2899,4165.86394736842
alex,G,1,2,1,task,54.5427,4109.533650793649
alex,G,1,2,2,task,23.8024,4046.4191666666675
alex,G,1,2,3,task,20.4502,3818.445054945053
alex,G,1,2,4,task,15.6678,3748.1490909090912
alex,G,1,2,5,task,39.6348,4493.567133903134
alex,G,1,2,6,task,17.3807,4361.49015151515
alex,G,1,2,7,task,12.1686,3594.1138888888877
alex,G,1,3,0,in,21.7961,3754.3458241758244
alex,G,1,3,0,task,29.2149,4192.732953216375
alex,G,1,3,1,task,54.4771,4135.630634920635
alex,G,1,3,2,task,23.6857,4069.425
alex,G,1,3,3,task,20.2612,3834.5681318681304
alex,G,1,3,4,task,15.4659,3762.7340909090913
alex,G,1,3,5,task,39.5381,4523.50094017094
alex,G,1,3,6,task,17.2975,4395.375757575759
alex,G,1,3,7,task,12.0538,3619.0333333333333
alex,G,1,4,0,in,18.3595,3996.226736596736
alex,G,1,4,0,task,29.0227,4249.064824561405
alex,G,1,4,1,task,54.4182,4154.849047619048
alex,G,1,4,2,task,23.6592,4100.445000000001
alex,G,1,4,3,task,20.209,3877.781868131869
alex,G,1,4,4,task,15.3937,3799.6428282828274
alex,G,1,4,5,task,39.4888,4536.541287749289
alex,G,1,4,6,task,17.2531,4426.719696969696
alex,G,1,4,7,task,12.0106,3640.8291666666673
alex,G,1,5,0,in,15.6708,4282.674545454546
alex,G,1,5,0,task,29.0256,4317.613888888887
alex,G,1,5,1,task,54.402,4210.121746031746
alex,G,1,5,2,task,23.6116,4146.939166666666
alex,G,1,5,3,task,20.1735,3906.6527472527487
alex,G,1,5,4,task,15.3989,3830.9690909090914
alex,G,1,5,5,task,39.3523,4578.665736467237
alex,G,1,5,6,task,17.2579,4470.967727272728
alex,G,1,5,7,task,11.9789,3677.179166666666
alex,G,1,6,0,in,13.8072,4590.5851190476205
alex,G,1,6,0,task,28.9724,4389.814795321636
alex,G,1,6,1,task,54.3487,4264.018015873018
alex,G,1,6,2,task,23.5759,4185.705416666668
alex,G,1,6,3,task,20.1384,3988.695604395602
alex,G,1,6,4,task,15.3334,3897.050202020202
