Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power,Time_sum,Time_Percentage
alex,B,0,-1,0,in,61.3228,3188.8661054170148,496.3872,12.353823789171035
alex,B,0,-1,0,task,89.1421,3478.300010839592,496.3872,17.958178615403458
alex,B,0,-1,1,task,120.4167,3558.194852611721,496.3872,24.25862310712283
alex,B,0,-1,2,task,42.5322,3437.605051124025,496.3872,8.568351480457192
alex,B,0,-1,3,task,32.3162,3476.3771769181035,496.3872,6.510280684111114
alex,B,0,-1,4,task,22.2887,3483.7989590659786,496.3872,4.49018427550106
alex,B,0,-1,5,task,82.6164,3739.1014824338185,496.3872,16.643539559440697
alex,B,0,-1,6,task,36.1668,3710.743734902391,496.3872,7.286005763242888
alex,B,0,-1,7,task,9.5853,3605.2297546897535,496.3872,1.931012725549732
alex,B,1,-1,0,in,41.6273,3315.9933244284457,337.1776,12.34580826247058
alex,B,1,-1,0,task,53.3292,3766.163262698822,337.1776,15.8163531622504
alex,B,1,-1,1,task,81.2171,3819.459431097364,337.1776,24.087335576266042
alex,B,1,-1,2,task,32.8787,3576.2940909367708,337.1776,9.75115191519247
alex,B,1,-1,3,task,24.1556,3634.7097366962807,337.1776,7.164058347885506
alex,B,1,-1,4,task,16.3602,3635.5094776546994,337.1776,4.852101681725002
alex,B,1,-1,5,task,56.2902,4039.162051977426,337.1776,16.69452537772379
alex,B,1,-1,6,task,24.7998,3984.9350626361656,337.1776,7.355114930529194
alex,B,1,-1,7,task,6.5195,3782.4,337.1776,1.933550745957027
alex,B,2,-1,0,in,30.6458,3494.1978384687204,259.7208,11.799517019815125
alex,B,2,-1,0,task,39.7267,4083.268854875816,259.7208,15.295925470736268
alex,B,2,-1,1,task,61.1049,4157.174101684795,259.7208,23.52714915401462
alex,B,2,-1,2,task,27.9817,3730.142439431912,259.7208,10.773761670224333
alex,B,2,-1,3,task,19.9553,3804.802080918736,259.7208,7.683366137791044
alex,B,2,-1,4,task,13.8184,3806.939166666668,259.7208,5.320482610557184
alex,B,2,-1,5,task,42.8582,4385.486282002718,259.7208,16.501643303116268
alex,B,2,-1,6,task,18.7095,4300.568498168497,259.7208,7.2036972009942986
alex,B,2,-1,7,task,4.9203,3917.4916666666654,259.7208,1.8944574327508616
alex,B,3,-1,0,in,24.8953,3675.8756127450974,219.4096,11.346495321991378
alex,B,3,-1,0,task,33.2766,4354.591152926784,219.4096,15.166428451626546
alex,B,3,-1,1,task,50.1399,4477.094093852183,219.4096,22.852190606062813
alex,B,3,-1,2,task,24.8669,3871.275954592364,219.4096,11.3335514945563
alex,B,3,-1,3,task,17.5445,3960.267417876241,219.4096,7.996231705449533
alex,B,3,-1,4,task,11.9994,3958.955708180709,219.4096,5.4689493987501
alex,B,3,-1,5,task,36.4724,4680.839049609809,219.4096,16.62297365293041
alex,B,3,-1,6,task,15.9406,4552.457902097901,219.4096,7.265224493367656
alex,B,3,-1,7,task,4.274,4055.843333333334,219.4096,1.9479548752652571
alex,B,4,-1,0,in,21.0491,3991.746336996336,196.63119999999998,10.70486270744419
alex,B,4,-1,0,task,29.4536,4740.646006384247,196.63119999999998,14.979108096782202
alex,B,4,-1,1,task,43.0075,4904.759301011888,196.63119999999998,21.872164742929915
alex,B,4,-1,2,task,22.9667,4088.5708333333337,196.63119999999998,11.68008942629654
alex,B,4,-1,3,task,15.7965,4194.881818181818,196.63119999999998,8.033567409444688
alex,B,4,-1,4,task,10.8947,4202.539285714286,196.63119999999998,5.540677166187259
alex,B,4,-1,5,task,34.3368,5022.070553359683,196.63119999999998,17.46253900703449
alex,B,4,-1,6,task,15.0708,4870.880606060606,196.63119999999998,7.664500852357103
alex,B,4,-1,7,task,4.0555,4214.991666666666,196.63119999999998,2.0624905915236242
alex,B,5,-1,0,in,17.7611,4306.994848484848,179.147,9.914260356020476
alex,B,5,-1,0,task,24.613,5322.725495127563,179.147,13.73899646658889
alex,B,5,-1,1,task,37.1926,5513.082174603173,179.147,20.760939340318284
alex,B,5,-1,2,task,21.403,4366.102422161172,179.147,11.947171875610533
alex,B,5,-1,3,task,14.8341,4481.546117216117,179.147,8.280406593467934
alex,B,5,-1,4,task,10.1879,4465.686507936506,179.147,5.68689400324873
alex,B,5,-1,5,task,34.3606,5296.495754355145,179.147,19.18011465444579
alex,B,5,-1,6,task,14.8611,5155.141818181818,179.147,8.29547801526121
alex,B,5,-1,7,task,3.9336,4283.75,179.147,2.195738695038153
alex,B,6,-1,0,in,15.6686,4676.612323232324,168.56529999999998,9.295270141600911
alex,B,6,-1,0,task,22.0551,5949.793753501399,168.56529999999998,13.084009579670314
alex,B,6,-1,1,task,33.2665,6221.762723508375,168.56529999999998,19.735081894079034
alex,B,6,-1,2,task,20.8509,4699.9123386520605,168.56529999999998,12.369627675446845
