kernels,order,SenderFreq,RecFreq,transfer_time,transfer_power,freq,time_ratio,power_ratio
14400,LG,"(0,)","(0, 0)",31.0497,3834.286438923396,"((0,), (0, 0))",1.0,1.0
14400,LG,"(0,)","(0, 1)",21.7457,4040.915238095239,"((0,), (0, 1))",0.7003513721549645,1.0538897660524968
14400,LG,"(0,)","(0, 2)",17.3996,4254.725,"((0,), (0, 2))",0.5603790052721926,1.1096523610778168
14400,LG,"(0,)","(0, 3)",16.8117,4361.3425990676005,"((0,), (0, 3))",0.5414448448777283,1.137458734119038
14400,LG,"(0,)","(0, 4)",16.7561,4507.800086580087,"((0,), (0, 4))",0.5396541673510533,1.1756555380994964
14400,LG,"(0,)","(0, 5)",16.7231,4707.579533799534,"((0,), (0, 5))",0.5385913551499691,1.227758960835838
14400,LG,"(0,)","(0, 6)",16.6508,4883.256480186478,"((0,), (0, 6))",0.5362628302366851,1.2735763375981934
14400,LG,"(0,)","(0, 7)",16.5781,5215.955303030303,"((0,), (0, 7))",0.5339214227512664,1.3603457608385818
14400,BG,"(0,)","(0, 0)",30.9667,3835.435070726376,"((0,), (0, 0))",1.0,1.0
14400,BG,"(1,)","(0, 1)",21.7365,4063.888543417369,"((1,), (0, 1))",0.7019314295678907,1.059563900438478
14400,BG,"(2,)","(0, 2)",17.2302,4290.820088245088,"((2,), (0, 2))",0.5564105958981745,1.118730993778098
14400,BG,"(3,)","(0, 3)",15.7242,4448.478939393939,"((3,), (0, 3))",0.5077777096041878,1.1598368522378508
14400,BG,"(4,)","(0, 4)",15.6922,4611.810151515151,"((4,), (0, 4))",0.5067443415023235,1.2024216461684856
14400,BG,"(5,)","(0, 5)",15.6704,4804.251212121212,"((5,), (0, 5))",0.5060403594829285,1.252596152334644
14400,BG,"(6,)","(0, 6)",15.5962,5002.346515151516,"((6,), (0, 6))",0.5036442371967307,1.304244869983979
14400,BG,"(7,)","(0, 7)",15.508,5343.521515151516,"((7,), (0, 7))",0.5007960163659673,1.3931982725859389
14400,BL,"(0,)","(0,)",39.0974,3627.591078270388,"((0,), (0,))",1.0,1.0
14400,BL,"(0,)","(1,)",34.5953,3662.6933115942015,"((0,), (1,))",0.8848491204018681,1.0096764581691908
14400,BL,"(0,)","(2,)",32.7944,3711.174447957839,"((0,), (2,))",0.8387872339337143,1.023041012033612
14400,BL,"(0,)","(3,)",31.7157,3760.3376190476206,"((0,), (3,))",0.8111971640057906,1.0365935790206335
14400,BL,"(0,)","(4,)",30.8661,3821.6976190476194,"((0,), (4,))",0.7894668187654422,1.0535083852035991
14400,BL,"(0,)","(5,)",30.8882,3913.115000000001,"((0,), (5,))",0.7900320737440342,1.0787089601801945
14400,LB,"(0,)","(0,)",30.9068,3838.910962262374,"((0,), (0,))",1.0,1.0
14400,LB,"(0,)","(1,)",21.5974,4043.465238095239,"((0,), (1,))",0.6987912045245707,1.053284454326681
14400,LB,"(0,)","(2,)",18.0149,4246.557126207126,"((0,), (2,))",0.5828782015608216,1.1061879704822628
14400,LB,"(0,)","(3,)",17.2325,4363.778613053612,"((0,), (3,))",0.5575633841096458,1.1367230592089377
14400,LB,"(0,)","(4,)",16.9223,4488.140909090911,"((0,), (4,))",0.5475267578655829,1.169118261197162
14400,LB,"(0,)","(5,)",16.8102,4674.444347319346,"((0,), (5,))",0.5438997243325093,1.2176485449312346
14400,LB,"(0,)","(6,)",16.8486,4911.876398601397,"((0,), (6,))",0.545142169360788,1.2794973488279853
14400,LB,"(0,)","(7,)",16.6955,5224.564230769229,"((0,), (7,))",0.5401885669173127,1.3609495719302256
14400,GB,"(0, 0)","(0,)",50.8231,3569.807053572502,"((0, 0), (0,))",1.0,1.0
14400,GB,"(0, 1)","(1,)",37.2891,3696.4824004533134,"((0, 1), (1,))",0.7337037685619334,1.0354852082983141
14400,GB,"(0, 2)","(2,)",31.8783,3804.2955958453767,"((0, 2), (2,))",0.6272403690447848,1.0656866152018523
14400,GB,"(0, 3)","(3,)",26.4251,3984.616993464053,"((0, 3), (3,))",0.519942703219599,1.1161995406660503
14400,GB,"(0, 4)","(4,)",25.3898,4176.032592879257,"((0, 4), (4,))",0.4995720449952876,1.1698202536465023
14400,GB,"(0, 5)","(5,)",26.0683,4289.1526274509815,"((0, 5), (5,))",0.5129222735330982,1.201508250469333
14400,GB,"(0, 6)","(6,)",24.343,4562.443672969188,"((0, 6), (6,))",0.4789751117110133,1.2780645016663577
14400,GB,"(0, 7)","(7,)",24.05,4875.547279411764,"((0, 7), (7,))",0.4732100167050023,1.3657733334726134
