graph,order,freq,score,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",698.657386783466,13.4823,122.4866,135.9689,4965.881031746031,5584.347379767042,66.9514978343095,684.0077237665738,750.9592216008833
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",698.657386783466,,,,,,,,
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (3, 3), (7,))",699.922243319999,13.5181,123.27727999999999,136.79538,4929.510144300145,5582.663995050144,66.63761108166379,688.2156324637151,754.8532435453789
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 7), (3, 3), (3, 4), (7,))",700.438871327745,13.6956,122.49756999999998,136.19316999999998,4934.9956962481965,5609.982387539557,67.5877270575368,687.2092102163939,754.7969372739307
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (2, 4), (7,))",700.46556676731,13.5969,123.77830999999998,137.37520999999998,4950.644505772006,5542.911625608038,67.31341828053138,686.0922334971156,753.4056517776469
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",704.333860063731,14.9272,116.16128,131.08848,4704.72227994228,5925.3516844512405,70.2283304171544,688.2964361160123,758.5247665331667
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.569329303213,15.1732,116.97977000000002,132.15297,4713.6088275613265,5949.4327338084995,71.52052946235352,695.9632728313895,767.4838022937431
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.569329303213,,,,,,,,
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.569329303213,,,,,,,,
alex,GGGGGGGB,"((3, 6), (4, 4), (4, 1), (4, 4), (4, 3), (3, 3), (3, 3), (7,))",705.584386495274,13.9181,115.69378999999999,129.61189,4962.859163059164,5999.620778076917,69.07357011737375,694.1188663784674,763.1924364958411
