graph,order,freq,score,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
alex,LLLLLLLL,"((5,), (2,), (1,), (3,), (2,), (2,), (1,), (5,))",1172.43346941491,34.5845,278.4445,313.029,3533.51277950311,3893.57799201339,122.204772722725,1084.14537719717,1206.3501499199
alex,LLLLLLLL,"((5,), (3,), (1,), (3,), (2,), (2,), (1,), (5,))",1172.4348257675,34.6391,271.4679,306.107,3530.98677695493,3933.06071871712,122.310204065619,1067.69973388263,1190.00993794825
alex,LLLLLLLL,"((5,), (2,), (1,), (3,), (2,), (2,), (3,), (5,))",1172.80056084958,34.5838,278.6702,313.254,3530.85548654244,3908.69030677006,122.110399975486,1089.23550952568,1211.34590950116
alex,LLLLLLLL,"((5,), (3,), (1,), (4,), (2,), (2,), (1,), (5,))",1174.20743803226,34.61,270.797,305.407,3533.64740062112,3945.7464690783,122.299536535497,1068.49630658699,1190.79584312249
alex,LLLLLLLL,"((5,), (3,), (1,), (4,), (2,), (2,), (3,), (5,))",1174.57452946692,34.578,270.529,305.107,3531.67004658385,3959.54416396626,122.118086870776,1071.17152313363,1193.28961000441
alex,BBBBBBBB,"((5,), (5,), (4,), (5,), (3,), (3,), (5,), (6,))",874.67908249032,17.8665,167.8665,185.733,4459.19018648018,5103.30672969532,79.6701214667482,856.6742391404,936.344360607148
alex,BBBBBBBB,"((5,), (5,), (4,), (3,), (3,), (3,), (5,), (6,))",876.688208040858,17.885,171.12,189.005,4428.22376456877,5029.98714262406,79.1987820293124,860.731399845829,939.930181875141
alex,BBBBBBBB,"((5,), (5,), (5,), (5,), (3,), (3,), (2,), (7,))",877.456147661231,17.8851,170.7589,188.644,4557.44163170163,5062.8179807702,81.5102993271469,864.521229296541,946.031528623688
alex,BBBBBBBB,"((5,), (5,), (4,), (6,), (3,), (3,), (2,), (7,))",877.638121680062,17.846,171.282,189.128,4540.94924242424,5052.96856002922,81.037780180303,865.482560898925,946.520341079228
alex,BBBBBBBB,"((6,), (3,), (3,), (5,), (3,), (3,), (5,), (6,))",882.859948611798,15.8124,181.4106,197.223,4783.4097979798,4908.69621499817,75.6371890895757,890.489525580547,966.126714670123
alex,BBBBBBBB,"((6,), (5,), (4,), (2,), (3,), (3,), (5,), (6,))",883.9343862525,15.7681,171.4149,187.183,4823.7003030303,5150.50573597882,76.0605887482121,882.873425682236,958.934014430448
alex,BBBBBBBB,"((5,), (5,), (6,), (2,), (3,), (3,), (5,), (6,))",883.97438492272,17.8686,171.6964,189.565,4520.41636363636,5193.02154652651,80.7735118352727,891.623104661034,972.396616496307
alex,BBBBBBBB,"((6,), (3,), (3,), (5,), (3,), (3,), (7,), (6,))",884.806246868464,15.7797,181.1413,196.921,4848.06464646465,5018.69984409121,76.5010057018182,909.093814068478,985.594819770297
