graph,order,freq,score,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",698.657386783466,51.9292,170.5851,222.5143,3241.87026149866,4942.48796546081,168.347729183416,843.114803836929,1011.46253302035
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",698.657386783466,,,,,,,,
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (3, 3), (7,))",699.922243319999,52.6808,170.3076,222.9884,3249.59825900817,4957.83765183592,171.191435963158,844.35743167381,1015.54886763697
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 7), (3, 3), (3, 4), (7,))",700.438871327745,51.9998,169.7137,221.7135,3251.09023747821,4964.62079809092,169.05604213082,842.564164740962,1011.62020687178
alex,GGGGGGGB,"((3, 6), (3, 2), (4, 2), (4, 4), (3, 3), (3, 4), (2, 4), (7,))",700.46556676731,52.1848,170.4334,222.6182,3255.88899376273,4973.88243744439,169.907915961709,847.715695013935,1017.62361097564
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 2), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",704.333860063731,52.0732,171.6765,223.7497,3257.5469408141,4970.18721187839,169.630893358401,853.264344880041,1022.89523823844
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.569329303213,52.1262,171.2739,223.4001,3269.04998561227,4983.31670348973,170.403153360022,853.51208674183,1023.91524010185
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.569329303213,,,,,,,,
alex,GGGGGGGB,"((3, 5), (4, 4), (4, 1), (4, 4), (3, 3), (3, 3), (3, 4), (7,))",705.569329303213,,,,,,,,
alex,GGGGGGGB,"((3, 6), (4, 4), (4, 1), (4, 4), (4, 3), (3, 3), (3, 3), (7,))",705.584386495274,51.5403,170.6992,222.2395,3337.77431296339,5118.14113148788,172.029889422427,873.662596632076,1045.6924860545
google,GBBBBBBBBBB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (6,), (6,))",963.683366367935,125.061,424.188,549.249,3358.36479443698,3844.59523263187,420.000459557084,1630.83116253965,2050.83162209673
google,GBBBBBBBBBB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (6,), (6,))",963.683366367935,,,,,,,,
google,GBBBBBBBGGG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (4, 0), (3, 6), (3, 7))",983.093714293958,144.427,511.563,655.99,3269.16599025259,3674.06032221958,472.155836474211,1879.51332061561,2351.66915708982
google,GBBBBBBBBGB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (2, 1), (6,))",984.454492945896,130.38,461.1277,591.5077,3313.50254196694,3773.5478359387,432.01446142165,1740.08743442639,2172.10189584804
google,GBBBBBBBBGB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (5,), (5,), (2, 1), (6,))",984.454492945896,,,,,,,,
google,GBBBBBBBBGG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (4,), (5,), (5,), (3, 6), (2, 2))",985.370904647192,140.919,472.0286,612.9476,3287.76128359007,3736.37803667119,463.308032322229,1763.67729372065,2226.98532604288
google,GBBBBBBGBBB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (4, 6), (5,), (6,), (6,))",985.948205753333,136.71,480.3071,617.0171,3271.46072199565,3721.56102311723,447.241395304026,1787.49218248647,2234.73357779049
