kernels,order,freq,transfer_time,transfer_power
14400,BL,"((0,), (0,))",38.6025,3628.12208994709
14400,BL,"((0,), (1,))",34.2861,3659.582028985506
14400,BL,"((0,), (2,))",32.2303,3702.790316205534
14400,BL,"((0,), (3,))",31.2724,3761.5642857142875
14400,BL,"((0,), (4,))",30.5475,3818.843521303258
14400,BL,"((0,), (5,))",30.5015,3915.6747744360905
14400,LB,"((0,), (0,))",30.9877,3822.075217108978
14400,LB,"((0,), (1,))",21.5042,4029.733685807657
14400,LB,"((0,), (2,))",16.9432,4269.186899766899
14400,LB,"((0,), (3,))",15.1518,4387.199949494949
14400,LB,"((0,), (4,))",15.2981,4551.820151515152
14400,LB,"((0,), (5,))",15.2241,4741.505656565657
14400,LB,"((0,), (6,))",15.1965,4962.237878787879
14400,LB,"((0,), (7,))",15.158,5275.334747474748
14400,GB,"((0, 0), (0,))",49.9981,3570.2296187923016
14400,GB,"((0, 1), (1,))",37.2079,3713.5275059612673
14400,GB,"((0, 2), (2,))",30.4417,3851.1495481105044
14400,GB,"((0, 3), (3,))",28.4075,3956.2590643274866
14400,GB,"((0, 4), (4,))",27.4682,4107.783058135535
14400,GB,"((0, 5), (5,))",26.7105,4307.793232886137
14400,GB,"((0, 6), (6,))",26.2146,4513.334590385276
14400,GB,"((0, 7), (7,))",26.2001,4816.615671224629
14400,LG,"((0,), (0, 0))",30.7256,3838.608322981369
14400,LG,"((0,), (0, 1))",21.6434,4053.8227240896354
14400,LG,"((0,), (0, 2))",17.0096,4259.358041958043
14400,LG,"((0,), (0, 3))",15.7034,4399.956969696969
14400,LG,"((0,), (0, 4))",15.7828,4556.482727272728
14400,LG,"((0,), (0, 5))",15.6263,4729.604393939395
14400,LG,"((0,), (0, 6))",15.8153,4963.493702180172
14400,LG,"((0,), (0, 7))",15.6392,5234.2716666666665
14400,BG,"((0,), (0, 0))",30.8199,3836.5010194805195
14400,BG,"((1,), (0, 1))",21.6967,4058.9050490196078
14400,BG,"((2,), (0, 2))",17.0776,4281.2001631701605
14400,BG,"((3,), (0, 3))",15.6006,4420.211666666667
14400,BG,"((4,), (0, 4))",15.6229,4574.867727272727
14400,BG,"((5,), (0, 5))",15.4207,4777.028181818182
14400,BG,"((6,), (0, 6))",15.6766,5031.174999999999
14400,BG,"((7,), (0, 7))",15.4748,5338.247424242424
