kernels,order,freq,transfer_time,transfer_power
19200,BL,"((0,), (0,))",51.0579,3610.86992063492
19200,BL,"((0,), (1,))",45.2463,3658.996383186705
19200,BL,"((0,), (2,))",42.4465,3709.798907133734
19200,BL,"((0,), (3,))",41.2496,3767.07033730159
19200,BL,"((0,), (4,))",40.1489,3828.2011396011403
19200,BL,"((0,), (5,))",40.2038,3934.2667073667085
19200,LB,"((0,), (0,))",40.915,3840.373828181523
19200,LB,"((0,), (1,))",28.8623,4058.8938607883347
19200,LB,"((0,), (2,))",23.4414,4269.034093137256
19200,LB,"((0,), (3,))",22.5621,4378.8958613445375
19200,LB,"((0,), (4,))",22.612,4519.611488095237
19200,LB,"((0,), (5,))",22.4921,4696.60851190476
19200,LB,"((0,), (6,))",22.4822,4923.37236528822
19200,LB,"((0,), (7,))",22.6601,5224.806726190475
