kernels,c,transfer_time,transfer_power
960,BL,2.67663,3358.8
960,LB,1.50207,3199.45
960,BG,1.48719,3351.25
960,GB,2.37208,3462.2
960,LG,1.57321,3237.9
1920,BL,4.75597,3643.0166666666646
1920,LB,2.80132,3747.4666666666662
1920,BG,2.61505,3760.2
1920,GB,4.0252,3943.2499999999986
1920,LG,2.73218,3657.0
2880,BL,6.7378,3722.545
2880,LB,4.04462,4250.666666666667
2880,BG,3.66631,4262.499999999999
2880,GB,5.60673,4124.078333333333
2880,LG,3.82648,4234.125
3840,BL,8.67562,3780.3214285714266
3840,LB,4.63829,4531.500000000001
3840,BG,4.65607,4604.116666666668
3840,GB,7.27224,4428.607222222223
3840,LG,4.8358,4478.858333333332
4800,BL,10.235,3842.041071428571
4800,LB,5.52314,4755.868333333334
4800,BG,5.75222,4765.918333333334
4800,GB,8.78944,4564.8223809523815
4800,LG,5.79948,4756.565
5760,BL,12.208,3926.1277777777777
5760,LB,6.4534,4850.665
5760,BG,6.66971,4890.47
5760,GB,10.3501,4613.819642857142
5760,LG,6.74104,4857.05
6720,BL,14.1432,3889.8528282828274
6720,LB,7.47655,4948.886666666667
6720,BG,7.69852,5004.283333333334
6720,GB,11.6497,4689.983333333334
6720,LG,7.70677,4972.943809523809
7680,BL,16.7826,3878.7005827505823
7680,LB,8.46234,5013.724761904761
7680,BG,8.77463,5131.657619047618
7680,GB,13.0377,4774.0735353535365
7680,LG,8.68797,5059.496190476193
8640,BL,18.1896,3903.4499084249073
8640,LB,9.51187,5104.933928571429
8640,BG,9.575,5148.466666666665
8640,GB,14.8016,4796.67643939394
8640,LG,9.67856,5168.4077380952385
9600,BL,20.1385,3921.529523809523
9600,LB,10.7456,5093.210119047617
9600,BG,10.5971,5200.630357142857
9600,GB,16.2273,4909.73111888112
9600,LG,10.6969,5172.2162698412685
14400,BL,30.3418,3918.2824675324687
14400,LB,15.8542,5239.097727272726
14400,BG,15.4335,5327.276363636363
14400,GB,23.9948,4978.244530443755
14400,LG,15.5446,5314.5144755244755
19200,BL,40.3329,3942.2619458128092
19200,LB,20.2336,5399.172852564105
24000,BL,48.3732,3917.6067068225907
24000,LB,25.4388,5412.081282962308
28800,BL,57.758,3977.6222402588573
28800,LB,29.9086,5419.81751082251
33600,BL,67.2059,3986.995384289237
33600,LB,35.1748,5458.039630036629
38400,BL,76.8378,3976.6128207047996
38400,LB,39.7177,5485.823430031017
43200,BL,90.3097,3946.9149657578105
43200,LB,44.7097,5631.408955278592
48000,BL,102.223,4036.4669711001056
48000,LB,49.8221,5705.471365694639
52800,BL,112.351,4034.3781288226533
52800,LB,58.2759,5586.340031974076
57600,BL,120.536,3933.003492457225
57600,LB,63.0348,5446.597297392531
