kernels,order,transfer_time,transfer_power
960,BL,2.67663,3358.8
960,LB,1.50207,3199.45
960,BG,1.48719,3351.25
960,GB,2.37208,3462.2
960,LG,1.57321,3237.9
1920,BL,4.75597,3643.01666666666
1920,LB,2.80132,3747.46666666667
1920,BG,2.61505,3760.2
1920,GB,4.0252,3943.25
1920,LG,2.73218,3657.0
2880,BL,6.7378,3722.545
2880,LB,4.04462,4250.66666666667
2880,BG,3.66631,4262.5
2880,GB,5.60673,4124.07833333333
2880,LG,3.82648,4234.125
3840,BL,8.67562,3780.32142857143
3840,LB,4.63829,4531.5
3840,BG,4.65607,4604.11666666667
3840,GB,7.27224,4428.60722222222
3840,LG,4.8358,4478.85833333333
4800,BL,10.235,3842.04107142857
4800,LB,5.52314,4755.86833333333
4800,BG,5.75222,4765.91833333333
4800,GB,8.78944,4564.82238095238
4800,LG,5.79948,4756.565
5760,BL,12.208,3926.12777777778
5760,LB,6.4534,4850.665
5760,BG,6.66971,4890.47
5760,GB,10.3501,4613.81964285714
5760,LG,6.74104,4857.05
6720,BL,14.1432,3889.85282828283
6720,LB,7.47655,4948.88666666667
6720,BG,7.69852,5004.28333333333
6720,GB,11.6497,4689.98333333333
6720,LG,7.70677,4972.94380952381
7680,BL,16.7826,3878.70058275058
7680,LB,8.46234,5013.72476190476
7680,BG,8.77463,5131.65761904762
7680,GB,13.0377,4774.07353535354
7680,LG,8.68797,5059.49619047619
8640,BL,18.1896,3903.44990842491
8640,LB,9.51187,5104.93392857143
8640,BG,9.575,5148.46666666667
8640,GB,14.8016,4796.67643939394
8640,LG,9.67856,5168.40773809524
9600,BL,20.1385,3921.52952380952
9600,LB,10.7456,5093.21011904762
9600,BG,10.5971,5200.63035714286
9600,GB,16.2273,4909.73111888112
9600,LG,10.6969,5172.21626984127
14400,BL,30.3418,3918.28246753247
14400,LB,15.8542,5239.09772727273
14400,BG,15.4335,5327.27636363636
14400,GB,23.9948,4978.24453044376
14400,LG,15.5446,5314.51447552448
19200,BL,40.3329,3942.26194581281
19200,LB,20.2336,5399.17285256411
24000,BL,48.3732,3917.60670682259
24000,LB,25.4388,5412.08128296231
28800,BL,57.758,3977.62224025886
28800,LB,29.9086,5419.81751082251
33600,BL,67.2059,3986.99538428924
33600,LB,35.1748,5458.03963003663
38400,BL,76.8378,3976.6128207048
38400,LB,39.7177,5485.82343003102
43200,BL,90.3097,3946.91496575781
43200,LB,44.7097,5631.40895527859
48000,BL,102.223,4036.46697110011
48000,LB,49.8221,5705.47136569464
52800,BL,112.351,4034.37812882265
52800,LB,58.2759,5586.34003197408
57600,BL,120.536,3933.00349245722
57600,LB,63.0348,5446.59729739253
19200,GB,3875.52,5541.13869917789
19200,LG,31.4958,5233.53297571993
24000,,39.1481,5059.3062969911725
