kernels,order,transfer_time,transfer_power
960,BL,2.37925,3348.5
960,LB,1.30172,3246.6
960,GB,2.1053,3431.9
960,LG,1.30807,3128.4
960,BG,1.38044,3196.85
1920,BL,4.48509,3548.191666666666
1920,LB,2.38472,3481.9
1920,GB,3.60278,3725.566666666666
1920,LG,2.41488,3495.25
1920,BG,2.47635,3625.2
2880,BL,6.43203,3703.72
2880,LB,3.31312,3909.1333333333337
2880,GB,5.35852,3931.891666666667
2880,LG,3.45348,4046.7999999999984
2880,BG,3.50637,4202.033333333335
3840,BL,8.39573,3731.1571428571433
3840,LB,4.36944,4288.825
3840,GB,6.96981,4212.428333333333
3840,LG,4.48688,4346.016666666666
3840,BG,4.6733,4450.666666666668
4800,BL,9.98397,3789.4196428571427
4800,LB,5.24139,4551.241666666666
4800,GB,8.48056,4350.462380952384
4800,LG,5.76046,4529.345
4800,BG,5.6023,4667.879999999999
5760,BL,12.3017,3791.890277777778
5760,LB,6.14985,4672.135
5760,GB,9.97676,4457.024404761904
5760,LG,6.39995,4694.878333333333
5760,BG,6.52363,4799.918333333333
6720,BL,13.9208,3829.0751515151514
6720,LB,7.30063,4834.39238095238
6720,GB,11.4384,4564.9319444444445
6720,LG,7.4032,4856.581904761904
6720,BG,7.26134,4949.04
7680,BL,15.7469,3858.7590909090904
7680,LB,8.13201,4897.65761904762
7680,GB,13.0554,4592.13404040404
7680,LG,8.28591,4858.758095238097
7680,BG,8.33587,5002.443333333335
8640,BL,18.1565,3851.186446886446
8640,LB,9.00277,4953.045238095238
8640,GB,14.2046,4633.065757575758
8640,LG,9.37321,4977.142261904763
8640,BG,9.19509,5071.517857142858
9600,BL,19.7402,3851.5203296703303
9600,LB,10.2734,4970.069642857144
9600,GB,16.0577,4695.105151515153
9600,LG,10.4062,5047.050793650792
9600,BG,10.1973,5097.671428571427
14400,BL,29.8332,3861.59880952381
14400,LB,14.9591,5226.038181818181
14400,GB,23.6925,4778.064215686275
14400,LG,15.2865,5183.874801864803
14400,BG,15.2132,5279.8310606060595
19200,BL,39.2173,3882.568465608463
19200,LB,20.6045,5260.000357142859
19200,GB,30.7743,4856.625974025976
24000,BL,49.2863,3885.389495798318
24000,LB,24.7425,5324.919367966487
24000,GB,39.2646,4884.451333978921
28800,BL,59.555,3884.8238675958182
28800,LB,29.6099,5373.636997929605
28800,GB,46.3985,4914.286745638137
38400,BL,78.3785,3894.8256441609074
38400,LB,39.3155,5426.198830240538
38400,GB,61.3311,4955.980028339041
48000,BL,97.6813,3903.5878160349134
48000,LB,48.7943,5456.635824954058
48000,GB,79.3541,4951.288185214917
