kernels,order,transfer_time,transfer_power
960,BL,3.05048,3282.583333333333
960,LB,2.48531,3156.266666666667
960,GB,4.66696,3142.6333333333337
960,LG,2.97812,3233.9666666666662
960,BG,2.86255,3193.5333333333333
1920,BL,5.57241,3413.505
1920,LB,4.81832,3437.091666666666
1920,GB,8.02502,3294.2914285714282
1920,LG,4.98846,3459.984999999999
1920,BG,5.12161,3492.3583333333327
2880,BL,8.33563,3480.7942857142875
2880,LB,6.60483,3535.151666666666
2880,GB,11.0984,3350.830357142858
2880,LG,6.58008,3538.451666666667
2880,BG,6.74856,3594.731666666666
3840,BL,10.6488,3486.8000000000006
3840,LB,8.65863,3593.1588095238094
3840,GB,14.5325,3393.8113131313135
3840,LG,8.61494,3601.516666666667
3840,BG,8.83533,3628.9246031746043
4800,BL,13.1147,3506.6722222222224
4800,LB,10.6439,3645.4722222222226
4800,GB,17.5335,3411.5166666666682
4800,LG,10.6367,3647.4896825396822
4800,BG,10.9747,3653.950595238096
5760,BL,15.6319,3529.3390909090904
5760,LB,12.589,3662.0880555555555
5760,GB,20.929,3429.1945833333343
5760,LG,12.8015,3665.74138888889
5760,BG,12.8639,3699.1992171717184
6720,BL,18.1284,3525.5463369963377
6720,LB,14.8356,3680.6654545454553
6720,GB,24.0439,3444.898002665977
6720,LG,14.5784,3685.43893939394
6720,BG,14.9271,3699.557540792539
7680,BL,20.7676,3532.8126190476196
7680,LB,16.9057,3727.1483849483857
7680,GB,27.4417,3464.384839272095
7680,LG,16.7084,3705.753787878789
7680,BG,17.1961,3720.943772893772
8640,BL,23.1458,3553.147426470588
8640,LB,18.5523,3739.456258349493
8640,GB,31.0681,3468.459978776846
8640,LG,18.6749,3713.5687362637377
8640,BG,18.9791,3722.733278388278
9600,BL,26.6794,3536.882748538013
9600,LB,20.6231,3739.647233893557
9600,GB,33.8612,3477.2034326325834
9600,LG,20.8294,3719.6305188215642
9600,BG,20.9037,3737.2336974789905
14400,BL,38.1875,3555.442480667482
14400,LB,30.8328,3762.18918831169
14400,GB,49.4556,3495.738243874125
14400,LG,30.8313,3770.354081910846
14400,BG,31.0569,3762.43472063319
19200,BL,50.8898,3555.1828592878596
19200,LB,40.3525,3757.688219656173
19200,GB,65.2905,3506.7836149868926
24000,BL,63.5603,3552.5348860700033
24000,LB,50.5008,3775.3022258638252
24000,GB,80.8854,3518.8916987993857
28800,BL,80.7427,3540.1530109364317
28800,LB,59.9593,3777.3121927366315
28800,GB,97.1532,3524.587784945518
38400,BL,100.825,3566.0914985565587
38400,LB,80.053,3791.3691977304325
38400,GB,129.068,3553.256906702274
48000,BL,126.204,3567.406413966894
48000,LB,99.4833,3800.5990439925345
48000,GB,160.836,3536.8103111473015
